#Index            X            Y            Z         Mass
     1 -9.95665E-01  1.83747E-02  0.00000E+00  1.00000E+00
     2  1.00234E+00  1.83752E-02  0.00000E+00  1.00000E+00
     3 -6.67129E-03 -3.67499E-02  0.00000E+00  1.00000E+00
     1 -9.89301E-01  3.66583E-02  0.00000E+00  1.00000E+00
     2  1.00271E+00  3.66654E-02  0.00000E+00  1.00000E+00
     3 -1.34061E-02 -7.33237E-02  0.00000E+00  1.00000E+00
     1 -9.80886E-01  5.47559E-02  0.00000E+00  1.00000E+00
     2  1.00115E+00  5.47913E-02  0.00000E+00  1.00000E+00
     3 -2.02664E-02 -1.09547E-01  0.00000E+00  1.00000E+00
     1 -9.70403E-01  7.25693E-02  0.00000E+00  1.00000E+00
     2  9.97714E-01  7.26803E-02  0.00000E+00  1.00000E+00
     3 -2.73108E-02 -1.45250E-01  0.00000E+00  1.00000E+00
     1 -9.57845E-01  8.99983E-02  0.00000E+00  1.00000E+00
     2  9.92438E-01  9.02669E-02  0.00000E+00  1.00000E+00
     3 -3.45936E-02 -1.80265E-01  0.00000E+00  1.00000E+00
     1 -9.43206E-01  1.06942E-01  0.00000E+00  1.00000E+00
     2  9.85370E-01  1.07493E-01  0.00000E+00  1.00000E+00
     3 -4.21636E-02 -2.14434E-01  0.00000E+00  1.00000E+00
     1 -9.26492E-01  1.23298E-01  0.00000E+00  1.00000E+00
     2  9.76554E-01  1.24306E-01  0.00000E+00  1.00000E+00
     3 -5.00628E-02 -2.47604E-01  0.00000E+00  1.00000E+00
     1 -9.07708E-01  1.38966E-01  0.00000E+00  1.00000E+00
     2  9.66035E-01  1.40663E-01  0.00000E+00  1.00000E+00
     3 -5.83266E-02 -2.79629E-01  0.00000E+00  1.00000E+00
     1 -8.86869E-01  1.53845E-01  0.00000E+00  1.00000E+00
     2  9.53852E-01  1.56525E-01  0.00000E+00  1.00000E+00
     3 -6.69829E-02 -3.10370E-01  0.00000E+00  1.00000E+00
     1 -8.63990E-01  1.67838E-01  0.00000E+00  1.00000E+00
     2  9.40042E-01  1.71858E-01  0.00000E+00  1.00000E+00
     3 -7.60523E-02 -3.39696E-01  0.00000E+00  1.00000E+00
     1 -8.39087E-01  1.80845E-01  0.00000E+00  1.00000E+00
     2  9.24636E-01  1.86634E-01  0.00000E+00  1.00000E+00
     3 -8.55481E-02 -3.67480E-01  0.00000E+00  1.00000E+00
     1 -8.12181E-01  1.92770E-01  0.00000E+00  1.00000E+00
     2  9.07657E-01  2.00830E-01  0.00000E+00  1.00000E+00
     3 -9.54762E-02 -3.93600E-01  0.00000E+00  1.00000E+00
     1 -7.83290E-01  2.03516E-01  0.00000E+00  1.00000E+00
     2  8.89125E-01  2.14423E-01  0.00000E+00  1.00000E+00
     3 -1.05835E-01 -4.17939E-01  0.00000E+00  1.00000E+00
     1 -7.52431E-01  2.12986E-01  0.00000E+00  1.00000E+00
     2  8.69049E-01  2.27395E-01  0.00000E+00  1.00000E+00
     3 -1.16618E-01 -4.40381E-01  0.00000E+00  1.00000E+00
     1 -7.19621E-01  2.21081E-01  0.00000E+00  1.00000E+00
     2  8.47428E-01  2.39728E-01  0.00000E+00  1.00000E+00
     3 -1.27807E-01 -4.60810E-01  0.00000E+00  1.00000E+00
     1 -6.84873E-01  2.27702E-01  0.00000E+00  1.00000E+00
     2  8.24254E-01  2.51407E-01  0.00000E+00  1.00000E+00
     3 -1.39381E-01 -4.79109E-01  0.00000E+00  1.00000E+00
     1 -6.48195E-01  2.32744E-01  0.00000E+00  1.00000E+00
     2  7.99505E-01  2.62413E-01  0.00000E+00  1.00000E+00
     3 -1.51309E-01 -4.95157E-01  0.00000E+00  1.00000E+00
     1 -6.09593E-01  2.36101E-01  0.00000E+00  1.00000E+00
     2  7.73144E-01  2.72728E-01  0.00000E+00  1.00000E+00
     3 -1.63551E-01 -5.08829E-01  0.00000E+00  1.00000E+00
     1 -5.69065E-01  2.37658E-01  0.00000E+00  1.00000E+00
     2  7.45121E-01  2.82333E-01  0.00000E+00  1.00000E+00
     3 -1.76056E-01 -5.19991E-01  0.00000E+00  1.00000E+00
     1 -5.26599E-01  2.37296E-01  0.00000E+00  1.00000E+00
     2  7.15362E-01  2.91201E-01  0.00000E+00  1.00000E+00
     3 -1.88763E-01 -5.28497E-01  0.00000E+00  1.00000E+00
     1 -4.82175E-01  2.34889E-01  0.00000E+00  1.00000E+00
     2  6.83770E-01  2.99302E-01  0.00000E+00  1.00000E+00
     3 -2.01594E-01 -5.34191E-01  0.00000E+00  1.00000E+00
     1 -4.35761E-01  2.30303E-01  0.00000E+00  1.00000E+00
     2  6.50215E-01  3.06596E-01  0.00000E+00  1.00000E+00
     3 -2.14454E-01 -5.36899E-01  0.00000E+00  1.00000E+00
     1 -3.87302E-01  2.23401E-01  0.00000E+00  1.00000E+00
     2  6.14523E-01  3.13027E-01  0.00000E+00  1.00000E+00
     3 -2.27222E-01 -5.36428E-01  0.00000E+00  1.00000E+00
     1 -3.36717E-01  2.14044E-01  0.00000E+00  1.00000E+00
     2  5.76462E-01  3.18520E-01  0.00000E+00  1.00000E+00
     3 -2.39745E-01 -5.32564E-01  0.00000E+00  1.00000E+00
     1 -2.83881E-01  2.02106E-01  0.00000E+00  1.00000E+00
     2  5.35712E-01  3.22962E-01  0.00000E+00  1.00000E+00
     3 -2.51832E-01 -5.25069E-01  0.00000E+00  1.00000E+00
     1 -2.28595E-01  1.87499E-01  0.00000E+00  1.00000E+00
     2  4.91827E-01  3.26180E-01  0.00000E+00  1.00000E+00
     3 -2.63232E-01 -5.13679E-01  0.00000E+00  1.00000E+00
     1 -1.70532E-01  1.70227E-01  0.00000E+00  1.00000E+00
     2  4.44158E-01  3.27886E-01  0.00000E+00  1.00000E+00
     3 -2.73626E-01 -4.98113E-01  0.00000E+00  1.00000E+00
     1 -1.09115E-01  1.50527E-01  0.00000E+00  1.00000E+00
     2  3.91715E-01  3.27555E-01  0.00000E+00  1.00000E+00
     3 -2.82601E-01 -4.78082E-01  0.00000E+00  1.00000E+00
     1 -4.32724E-02  1.29201E-01  0.00000E+00  1.00000E+00
     2  3.32907E-01  3.24118E-01  0.00000E+00  1.00000E+00
     3 -2.89635E-01 -4.53319E-01  0.00000E+00  1.00000E+00
     1  2.90781E-02  1.08643E-01  0.00000E+00  1.00000E+00
     2  2.65018E-01  3.14980E-01  0.00000E+00  1.00000E+00
     3 -2.94096E-01 -4.23623E-01  0.00000E+00  1.00000E+00
     1  1.11451E-01  9.66420E-02  0.00000E+00  1.00000E+00
     2  1.83846E-01  2.92285E-01  0.00000E+00  1.00000E+00
     3 -2.95298E-01 -3.88927E-01  0.00000E+00  1.00000E+00
     1  1.98513E-01  1.17325E-01  0.00000E+00  1.00000E+00
     2  9.41167E-02  2.31946E-01  0.00000E+00  1.00000E+00
     3 -2.92629E-01 -3.49270E-01  0.00000E+00  1.00000E+00
     1  2.47800E-01  1.75304E-01  0.00000E+00  1.00000E+00
     2  3.77523E-02  1.29073E-01  0.00000E+00  1.00000E+00
     3 -2.85552E-01 -3.04377E-01  0.00000E+00  1.00000E+00
     1  2.60138E-01  2.28836E-01  0.00000E+00  1.00000E+00
     2  1.25384E-02  2.40720E-02  0.00000E+00  1.00000E+00
     3 -2.72676E-01 -2.52908E-01  0.00000E+00  1.00000E+00
     1  2.57032E-01  2.70679E-01  0.00000E+00  1.00000E+00
     2 -7.48773E-03 -7.84302E-02  0.00000E+00  1.00000E+00
     3 -2.49544E-01 -1.92249E-01  0.00000E+00  1.00000E+00
     1  2.46012E-01  3.03470E-01  0.00000E+00  1.00000E+00
     2 -4.46455E-02 -1.81665E-01  0.00000E+00  1.00000E+00
     3 -2.01366E-01 -1.21805E-01  0.00000E+00  1.00000E+00
     1  2.29219E-01  3.28908E-01  0.00000E+00  1.00000E+00
     2 -1.20821E-01 -2.57752E-01  0.00000E+00  1.00000E+00
     3 -1.08399E-01 -7.11555E-02  0.00000E+00  1.00000E+00
     1  2.06943E-01  3.46813E-01  0.00000E+00  1.00000E+00
     2 -1.99880E-01 -2.89151E-01  0.00000E+00  1.00000E+00
     3 -7.06282E-03 -5.76617E-02  0.00000E+00  1.00000E+00
     1  1.79685E-01  3.55587E-01  0.00000E+00  1.00000E+00
     2 -2.66703E-01 -3.02658E-01  0.00000E+00  1.00000E+00
     3  8.70178E-02 -5.29291E-02  0.00000E+00  1.00000E+00
     1  1.49082E-01  3.53450E-01  0.00000E+00  1.00000E+00
     2 -3.24965E-01 -3.08689E-01  0.00000E+00  1.00000E+00
     3  1.75883E-01 -4.47606E-02  0.00000E+00  1.00000E+00
     1  1.17770E-01  3.39458E-01  0.00000E+00  1.00000E+00
     2 -3.77305E-01 -3.10302E-01  0.00000E+00  1.00000E+00
     3  2.59535E-01 -2.91558E-02  0.00000E+00  1.00000E+00
     1  8.86224E-02  3.14100E-01  0.00000E+00  1.00000E+00
     2 -4.25120E-01 -3.08628E-01  0.00000E+00  1.00000E+00
     3  3.36497E-01 -5.47188E-03  0.00000E+00  1.00000E+00
     1  6.37975E-02  2.79168E-01  0.00000E+00  1.00000E+00
     2 -4.69129E-01 -3.04161E-01  0.00000E+00  1.00000E+00
     3  4.05332E-01  2.49924E-02  0.00000E+00  1.00000E+00
     1  4.42283E-02  2.37061E-01  0.00000E+00  1.00000E+00
     2 -5.09677E-01 -2.97149E-01  0.00000E+00  1.00000E+00
     3  4.65448E-01  6.00883E-02  0.00000E+00  1.00000E+00
     1  2.97228E-02  1.90065E-01  0.00000E+00  1.00000E+00
     2 -5.46874E-01 -2.87751E-01  0.00000E+00  1.00000E+00
     3  5.17152E-01  9.76854E-02  0.00000E+00  1.00000E+00
     1  1.93851E-02  1.39994E-01  0.00000E+00  1.00000E+00
     2 -5.80694E-01 -2.76109E-01  0.00000E+00  1.00000E+00
     3  5.61309E-01  1.36115E-01  0.00000E+00  1.00000E+00
     1  1.20296E-02  8.81395E-02  0.00000E+00  1.00000E+00
     2 -6.11024E-01 -2.62392E-01  0.00000E+00  1.00000E+00
     3  5.98994E-01  1.74253E-01  0.00000E+00  1.00000E+00
     1  6.45513E-03  3.53879E-02  0.00000E+00  1.00000E+00
     2 -6.37716E-01 -2.46817E-01  0.00000E+00  1.00000E+00
     3  6.31261E-01  2.11429E-01  0.00000E+00  1.00000E+00
     1  1.58826E-03 -1.76449E-02  0.00000E+00  1.00000E+00
     2 -6.60620E-01 -2.29649E-01  0.00000E+00  1.00000E+00
     3  6.59032E-01  2.47294E-01  0.00000E+00  1.00000E+00
     1 -3.46039E-03 -7.05036E-02  0.00000E+00  1.00000E+00
     2 -6.79612E-01 -2.11198E-01  0.00000E+00  1.00000E+00
     3  6.83072E-01  2.81702E-01  0.00000E+00  1.00000E+00
     1 -9.38711E-03 -1.22823E-01  0.00000E+00  1.00000E+00
     2 -6.94607E-01 -1.91806E-01  0.00000E+00  1.00000E+00
     3  7.03994E-01  3.14629E-01  0.00000E+00  1.00000E+00
     1 -1.67098E-02 -1.74288E-01  0.00000E+00  1.00000E+00
     2 -7.05570E-01 -1.71830E-01  0.00000E+00  1.00000E+00
     3  7.22280E-01  3.46118E-01  0.00000E+00  1.00000E+00
     1 -2.57922E-02 -2.24616E-01  0.00000E+00  1.00000E+00
     2 -7.12513E-01 -1.51628E-01  0.00000E+00  1.00000E+00
     3  7.38305E-01  3.76244E-01  0.00000E+00  1.00000E+00
     1 -3.68712E-02 -2.73544E-01  0.00000E+00  1.00000E+00
     2 -7.15491E-01 -1.31551E-01  0.00000E+00  1.00000E+00
     3  7.52363E-01  4.05094E-01  0.00000E+00  1.00000E+00
     1 -5.00819E-02 -3.20828E-01  0.00000E+00  1.00000E+00
     2 -7.14600E-01 -1.11928E-01  0.00000E+00  1.00000E+00
     3  7.64682E-01  4.32756E-01  0.00000E+00  1.00000E+00
     1 -6.54796E-02 -3.66243E-01  0.00000E+00  1.00000E+00
     2 -7.09960E-01 -9.30693E-02  0.00000E+00  1.00000E+00
     3  7.75439E-01  4.59312E-01  0.00000E+00  1.00000E+00
     1 -8.30576E-02 -4.09578E-01  0.00000E+00  1.00000E+00
     2 -7.01718E-01 -7.52611E-02  0.00000E+00  1.00000E+00
     3  7.84775E-01  4.84839E-01  0.00000E+00  1.00000E+00
     1 -1.02762E-01 -4.50636E-01  0.00000E+00  1.00000E+00
     2 -6.90037E-01 -5.87658E-02  0.00000E+00  1.00000E+00
     3  7.92799E-01  5.09402E-01  0.00000E+00  1.00000E+00
     1 -1.24500E-01 -4.89235E-01  0.00000E+00  1.00000E+00
     2 -6.75095E-01 -4.38234E-02  0.00000E+00  1.00000E+00
