#Index            X            Y            Z         Mass
     1  1.01087E+00 -1.98635E-01  0.00000E+00  1.00000E+00
     2 -9.17095E-01  2.84418E-01  0.00000E+00  1.00000E+00
     3 -9.37867E-02 -8.57829E-02  0.00000E+00  1.00000E+00
     1  1.04116E+00 -1.52683E-01  0.00000E+00  1.00000E+00
     2 -8.50553E-01  3.19998E-01  0.00000E+00  1.00000E+00
     3 -1.90625E-01 -1.67315E-01  0.00000E+00  1.00000E+00
     1  1.06228E+00 -1.06133E-01  0.00000E+00  1.00000E+00
     2 -7.69637E-01  3.46028E-01  0.00000E+00  1.00000E+00
     3 -2.92667E-01 -2.39895E-01  0.00000E+00  1.00000E+00
     1  1.07527E+00 -5.94176E-02  0.00000E+00  1.00000E+00
     2 -6.75140E-01  3.57804E-01  0.00000E+00  1.00000E+00
     3 -4.00164E-01 -2.98387E-01  0.00000E+00  1.00000E+00
     1  1.08080E+00 -1.26907E-02  0.00000E+00  1.00000E+00
     2 -5.70202E-01  3.50815E-01  0.00000E+00  1.00000E+00
     3 -5.10647E-01 -3.38124E-01  0.00000E+00  1.00000E+00
     1  1.07918E+00  3.40315E-02  0.00000E+00  1.00000E+00
     2 -4.60088E-01  3.22537E-01  0.00000E+00  1.00000E+00
     3 -6.19144E-01 -3.56568E-01  0.00000E+00  1.00000E+00
     1  1.07030E+00  8.07607E-02  0.00000E+00  1.00000E+00
     2 -3.50493E-01  2.73755E-01  0.00000E+00  1.00000E+00
     3 -7.19875E-01 -3.54516E-01  0.00000E+00  1.00000E+00
     1  1.05372E+00  1.27433E-01  0.00000E+00  1.00000E+00
     2 -2.45370E-01  2.08196E-01  0.00000E+00  1.00000E+00
     3 -8.08419E-01 -3.35628E-01  0.00000E+00  1.00000E+00
     1  1.02857E+00  1.73786E-01  0.00000E+00  1.00000E+00
     2 -1.45886E-01  1.30914E-01  0.00000E+00  1.00000E+00
     3 -8.82765E-01 -3.04700E-01  0.00000E+00  1.00000E+00
     1  9.93668E-01  2.19203E-01  0.00000E+00  1.00000E+00
     2 -5.07977E-02  4.68997E-02  0.00000E+00  1.00000E+00
     3 -9.42959E-01 -2.66102E-01  0.00000E+00  1.00000E+00
     1  9.47515E-01  2.62486E-01  0.00000E+00  1.00000E+00
     2  4.25783E-02 -3.93911E-02  0.00000E+00  1.00000E+00
     3 -9.90190E-01 -2.23095E-01  0.00000E+00  1.00000E+00
     1  8.88532E-01  3.01588E-01  0.00000E+00  1.00000E+00
     2  1.37399E-01 -1.23775E-01  0.00000E+00  1.00000E+00
     3 -1.02604E+00 -1.77813E-01  0.00000E+00  1.00000E+00
     1  8.15466E-01  3.33353E-01  0.00000E+00  1.00000E+00
     2  2.36422E-01 -2.01835E-01  0.00000E+00  1.00000E+00
     3 -1.05200E+00 -1.31517E-01  0.00000E+00  1.00000E+00
     1  7.28137E-01  3.53493E-01  0.00000E+00  1.00000E+00
     2  3.41061E-01 -2.68627E-01  0.00000E+00  1.00000E+00
     3 -1.06932E+00 -8.48653E-02  0.00000E+00  1.00000E+00
     1  6.28349E-01  3.57200E-01  0.00000E+00  1.00000E+00
     2  4.50387E-01 -3.19056E-01  0.00000E+00  1.00000E+00
     3 -1.07887E+00 -3.81432E-02  0.00000E+00  1.00000E+00
     1  5.20328E-01  3.40640E-01  0.00000E+00  1.00000E+00
     2  5.60675E-01 -3.49212E-01  0.00000E+00  1.00000E+00
     3 -1.08114E+00  8.57302E-03  0.00000E+00  1.00000E+00
     1  4.09813E-01  3.02719E-01  0.00000E+00  1.00000E+00
     2  6.66303E-01 -3.58010E-01  0.00000E+00  1.00000E+00
     3 -1.07627E+00  5.52927E-02  0.00000E+00  1.00000E+00
     1  3.01935E-01  2.45713E-01  0.00000E+00  1.00000E+00
     2  7.61883E-01 -3.47718E-01  0.00000E+00  1.00000E+00
     3 -1.06398E+00  1.02006E-01  0.00000E+00  1.00000E+00
     1  1.99410E-01  1.74170E-01  0.00000E+00  1.00000E+00
     2  8.44061E-01 -3.22745E-01  0.00000E+00  1.00000E+00
     3 -1.04364E+00  1.48576E-01  0.00000E+00  1.00000E+00
     1  1.02205E-01  9.32346E-02  0.00000E+00  1.00000E+00
     2  9.11859E-01 -2.87837E-01  0.00000E+00  1.00000E+00
     3 -1.01424E+00  1.94603E-01  0.00000E+00  1.00000E+00
     1  8.29537E-03  7.65571E-03  0.00000E+00  1.00000E+00
     2  9.65957E-01 -2.46892E-01  0.00000E+00  1.00000E+00
     3 -9.74441E-01  2.39237E-01  0.00000E+00  1.00000E+00
     1 -8.53264E-02 -7.82938E-02  0.00000E+00  1.00000E+00
     2  1.00780E+00 -2.02636E-01  0.00000E+00  1.00000E+00
     3 -9.22669E-01  2.80931E-01  0.00000E+00  1.00000E+00
     1 -1.81743E-01 -1.60388E-01  0.00000E+00  1.00000E+00
     2  1.03896E+00 -1.56772E-01  0.00000E+00  1.00000E+00
     3 -8.57426E-01  3.17162E-01  0.00000E+00  1.00000E+00
     1 -2.83227E-01 -2.33984E-01  0.00000E+00  1.00000E+00
     2  1.06085E+00 -1.10253E-01  0.00000E+00  1.00000E+00
     3 -7.77838E-01  3.44237E-01  0.00000E+00  1.00000E+00
     1 -3.90240E-01 -2.93968E-01  0.00000E+00  1.00000E+00
     2  1.07453E+00 -6.35440E-02  0.00000E+00  1.00000E+00
     3 -6.84519E-01  3.57513E-01  0.00000E+00  1.00000E+00
     1 -5.00579E-01 -3.35578E-01  0.00000E+00  1.00000E+00
     2  1.08072E+00 -1.68185E-02  0.00000E+00  1.00000E+00
     3 -5.80375E-01  3.52398E-01  0.00000E+00  1.00000E+00
     1 -6.09461E-01 -3.56016E-01  0.00000E+00  1.00000E+00
     2  1.07973E+00  2.98999E-02  0.00000E+00  1.00000E+00
     3 -4.70519E-01  3.26117E-01  0.00000E+00  1.00000E+00
     1 -7.11090E-01 -3.55757E-01  0.00000E+00  1.00000E+00
     2  1.07153E+00  7.66245E-02  0.00000E+00  1.00000E+00
     3 -3.60694E-01  2.79134E-01  0.00000E+00  1.00000E+00
     1 -8.00858E-01 -3.38255E-01  0.00000E+00  1.00000E+00
     2  1.05567E+00  1.23303E-01  0.00000E+00  1.00000E+00
