#Index            X            Y            Z         Mass         Time
     1 -3.37328E-01  3.66901E-02  0.00000E+00  1.00000E+00  3.99990E-02
     2  2.11587E+00 -3.69035E-03  0.00000E+00  1.00000E+00  3.99990E-02
     3 -1.77857E+00 -3.30017E-02  0.00000E+00  1.00000E+00  3.99990E-02
     1 -3.38081E-01  7.33388E-02  0.00000E+00  1.00000E+00  7.99990E-02
     2  2.11426E+00 -7.37883E-03  0.00000E+00  1.00000E+00  7.99990E-02
     3 -1.77629E+00 -6.59752E-02  0.00000E+00  1.00000E+00  7.99990E-02
     1 -3.39331E-01  1.09905E-01  0.00000E+00  1.00000E+00  1.19999E-01
     2  2.11158E+00 -1.10636E-02  0.00000E+00  1.00000E+00  1.19999E-01
     3 -1.77250E+00 -9.88924E-02  0.00000E+00  1.00000E+00  1.19999E-01
     1 -3.41071E-01  1.46348E-01  0.00000E+00  1.00000E+00  1.59999E-01
     2  2.10782E+00 -1.47427E-02  0.00000E+00  1.00000E+00  1.59999E-01
     3 -1.76719E+00 -1.31725E-01  0.00000E+00  1.00000E+00  1.59999E-01
     1 -3.43288E-01  1.82629E-01  0.00000E+00  1.00000E+00  1.99999E-01
     2  2.10298E+00 -1.84142E-02  0.00000E+00  1.00000E+00  1.99999E-01
     3 -1.76035E+00 -1.64443E-01  0.00000E+00  1.00000E+00  1.99999E-01
     1 -3.45971E-01  2.18709E-01  0.00000E+00  1.00000E+00  2.39999E-01
     2  2.09706E+00 -2.20763E-02  0.00000E+00  1.00000E+00  2.39999E-01
     3 -1.75198E+00 -1.97019E-01  0.00000E+00  1.00000E+00  2.39999E-01
     1 -3.49104E-01  2.54552E-01  0.00000E+00  1.00000E+00  2.79999E-01
     2  2.09004E+00 -2.57270E-02  0.00000E+00  1.00000E+00  2.79999E-01
     3 -1.74208E+00 -2.29422E-01  0.00000E+00  1.00000E+00  2.79999E-01
     1 -3.52667E-01  2.90124E-01  0.00000E+00  1.00000E+00  3.19999E-01
     2  2.08193E+00 -2.93643E-02  0.00000E+00  1.00000E+00  3.19999E-01
     3 -1.73063E+00 -2.61622E-01  0.00000E+00  1.00000E+00  3.19999E-01
     1 -3.56642E-01  3.25392E-01  0.00000E+00  1.00000E+00  3.59999E-01
     2  2.07271E+00 -3.29861E-02  0.00000E+00  1.00000E+00  3.59999E-01
     3 -1.71763E+00 -2.93588E-01  0.00000E+00  1.00000E+00  3.59999E-01
     1 -3.61005E-01  3.60324E-01  0.00000E+00  1.00000E+00  3.99999E-01
     2  2.06237E+00 -3.65903E-02  0.00000E+00  1.00000E+00  3.99999E-01
     3 -1.70308E+00 -3.25288E-01  0.00000E+00  1.00000E+00  3.99999E-01
     1 -3.65734E-01  3.94894E-01  0.00000E+00  1.00000E+00  4.39999E-01
     2  2.05091E+00 -4.01749E-02  0.00000E+00  1.00000E+00  4.39999E-01
     3 -1.68695E+00 -3.56688E-01  0.00000E+00  1.00000E+00  4.39999E-01
     1 -3.70803E-01  4.29074E-01  0.00000E+00  1.00000E+00  4.79999E-01
     2  2.03830E+00 -4.37375E-02  0.00000E+00  1.00000E+00  4.79999E-01
     3 -1.66925E+00 -3.87754E-01  0.00000E+00  1.00000E+00  4.79999E-01
     1 -3.76188E-01  4.62841E-01  0.00000E+00  1.00000E+00  5.19999E-01
     2  2.02455E+00 -4.72757E-02  0.00000E+00  1.00000E+00  5.19999E-01
     3 -1.64995E+00 -4.18451E-01  0.00000E+00  1.00000E+00  5.19999E-01
     1 -3.81861E-01  4.96174E-01  0.00000E+00  1.00000E+00  5.59999E-01
     2  2.00962E+00 -5.07872E-02  0.00000E+00  1.00000E+00  5.59999E-01
     3 -1.62904E+00 -4.48740E-01  0.00000E+00  1.00000E+00  5.59999E-01
     1 -3.87795E-01  5.29053E-01  0.00000E+00  1.00000E+00  5.99999E-01
     2  1.99350E+00 -5.42694E-02  0.00000E+00  1.00000E+00  5.99999E-01
     3 -1.60651E+00 -4.78584E-01  0.00000E+00  1.00000E+00  5.99999E-01
     1 -3.93965E-01  5.61461E-01  0.00000E+00  1.00000E+00  6.39999E-01
     2  1.97618E+00 -5.77195E-02  0.00000E+00  1.00000E+00  6.39999E-01
     3 -1.58234E+00 -5.07940E-01  0.00000E+00  1.00000E+00  6.39999E-01
