#Index            X            Y            Z         Mass         Time
     1  8.91061E-01  3.98215E-02  0.00000E+00  1.00000E+00  3.99990E-02
     2 -6.58284E-01 -6.44670E-02  0.00000E+00  1.00000E+00  3.99990E-02
     3 -2.32778E-01  2.46455E-02  0.00000E+00  1.00000E+00  3.99990E-02
     1  8.88167E-01  7.95812E-02  0.00000E+00  1.00000E+00  7.99990E-02
     2 -6.44804E-01 -1.27166E-01  0.00000E+00  1.00000E+00  7.99990E-02
     3 -2.43363E-01  4.75846E-02  0.00000E+00  1.00000E+00  7.99990E-02
     1  8.83363E-01  1.19216E-01  0.00000E+00  1.00000E+00  1.19999E-01
     2 -6.23036E-01 -1.86465E-01  0.00000E+00  1.00000E+00  1.19999E-01
     3 -2.60326E-01  6.72485E-02  0.00000E+00  1.00000E+00  1.19999E-01
     1  8.76676E-01  1.58661E-01  0.00000E+00  1.00000E+00  1.59999E-01
     2 -5.93932E-01 -2.40974E-01  0.00000E+00  1.00000E+00  1.59999E-01
     3 -2.82744E-01  8.23129E-02  0.00000E+00  1.00000E+00  1.59999E-01
     1  8.68142E-01  1.97846E-01  0.00000E+00  1.00000E+00  1.99999E-01
     2 -5.58660E-01 -2.89603E-01  0.00000E+00  1.00000E+00  1.99999E-01
     3 -3.09482E-01  9.17568E-02  0.00000E+00  1.00000E+00  1.99999E-01
     1  8.57803E-01  2.36702E-01  0.00000E+00  1.00000E+00  2.39999E-01
     2 -5.18508E-01 -3.31575E-01  0.00000E+00  1.00000E+00  2.39999E-01
     3 -3.39295E-01  9.48734E-02  0.00000E+00  1.00000E+00  2.39999E-01
     1  8.45704E-01  2.75152E-01  0.00000E+00  1.00000E+00  2.79999E-01
     2 -4.74789E-01 -3.66399E-01  0.00000E+00  1.00000E+00  2.79999E-01
     3 -3.70915E-01  9.12469E-02  0.00000E+00  1.00000E+00  2.79999E-01
     1  8.31892E-01  3.13119E-01  0.00000E+00  1.00000E+00  3.19999E-01
     2 -4.28789E-01 -3.93830E-01  0.00000E+00  1.00000E+00  3.19999E-01
     3 -4.03103E-01  8.07104E-02  0.00000E+00  1.00000E+00  3.19999E-01
     1  8.16416E-01  3.50525E-01  0.00000E+00  1.00000E+00  3.59999E-01
     2 -3.81732E-01 -4.13825E-01  0.00000E+00  1.00000E+00  3.59999E-01
     3 -4.34685E-01  6.33007E-02  0.00000E+00  1.00000E+00  3.59999E-01
     1  7.99326E-01  3.87287E-01  0.00000E+00  1.00000E+00  3.99999E-01
     2 -3.34766E-01 -4.26505E-01  0.00000E+00  1.00000E+00  3.99999E-01
     3 -4.64561E-01  3.92188E-02  0.00000E+00  1.00000E+00  3.99999E-01
     1  7.80672E-01  4.23322E-01  0.00000E+00  1.00000E+00  4.39999E-01
     2 -2.88965E-01 -4.32122E-01  0.00000E+00  1.00000E+00  4.39999E-01
     3 -4.91707E-01  8.79988E-03  0.00000E+00  1.00000E+00  4.39999E-01
     1  7.60481E-01  4.58537E-01  0.00000E+00  1.00000E+00  4.79999E-01
     2 -2.45330E-01 -4.31043E-01  0.00000E+00  1.00000E+00  4.79999E-01
     3 -5.15171E-01 -2.75058E-02  0.00000E+00  1.00000E+00  4.79999E-01
     1  7.38748E-01  4.92822E-01  0.00000E+00  1.00000E+00  5.19999E-01
     2 -2.04800E-01 -4.23741E-01  0.00000E+00  1.00000E+00  5.19999E-01
     3 -5.34064E-01 -6.91408E-02  0.00000E+00  1.00000E+00  5.19999E-01
     1  7.15516E-01  5.26106E-01  0.00000E+00  1.00000E+00  5.59999E-01
     2 -1.68251E-01 -4.10797E-01  0.00000E+00  1.00000E+00  5.59999E-01
     3 -5.47557E-01 -1.15440E-01  0.00000E+00  1.00000E+00  5.59999E-01
     1  6.90832E-01  5.58322E-01  0.00000E+00  1.00000E+00  5.99999E-01
     2 -1.36496E-01 -3.92908E-01  0.00000E+00  1.00000E+00  5.99999E-01
     3 -5.54882E-01 -1.65620E-01  0.00000E+00  1.00000E+00  5.99999E-01
     1  6.64746E-01  5.89407E-01  0.00000E+00  1.00000E+00  6.39999E-01
     2 -1.10274E-01 -3.70904E-01  0.00000E+00  1.00000E+00  6.39999E-01
     3 -5.55347E-01 -2.18770E-01  0.00000E+00  1.00000E+00  6.39999E-01
     1  6.37313E-01  6.19297E-01  0.00000E+00  1.00000E+00  6.79999E-01
     2 -9.02242E-02 -3.45755E-01  0.00000E+00  1.00000E+00  6.79999E-01
     3 -5.48357E-01 -2.73834E-01  0.00000E+00  1.00000E+00  6.79999E-01
     1  6.08589E-01  6.47933E-01  0.00000E+00  1.00000E+00  7.19999E-01
     2 -7.68493E-02 -3.18591E-01  0.00000E+00  1.00000E+00  7.19999E-01
     3 -5.33453E-01 -3.29602E-01  0.00000E+00  1.00000E+00  7.19999E-01
     1  5.78634E-01  6.75260E-01  0.00000E+00  1.00000E+00  7.59999E-01
     2 -7.04617E-02 -2.90694E-01  0.00000E+00  1.00000E+00  7.59999E-01
     3 -5.10364E-01 -3.84714E-01  0.00000E+00  1.00000E+00  7.59999E-01
     1  5.47510E-01  7.01224E-01  0.00000E+00  1.00000E+00  7.99999E-01
     2 -7.11210E-02 -2.63475E-01  0.00000E+00  1.00000E+00  7.99999E-01
     3 -4.79074E-01 -4.37683E-01  0.00000E+00  1.00000E+00  7.99999E-01
     1  5.15280E-01  7.25774E-01  0.00000E+00  1.00000E+00  8.39999E-01
     2 -7.85698E-02 -2.38423E-01  0.00000E+00  1.00000E+00  8.39999E-01
     3 -4.39880E-01 -4.86956E-01  0.00000E+00  1.00000E+00  8.39999E-01
     1  4.82010E-01  7.48864E-01  0.00000E+00  1.00000E+00  8.79999E-01
     2 -9.21872E-02 -2.17013E-01  0.00000E+00  1.00000E+00  8.79999E-01
     3 -3.93449E-01 -5.30997E-01  0.00000E+00  1.00000E+00  8.79999E-01
     1  4.47769E-01  7.70448E-01  0.00000E+00  1.00000E+00  9.19999E-01
     2 -1.10979E-01 -2.00591E-01  0.00000E+00  1.00000E+00  9.19999E-01
     3 -3.40819E-01 -5.68415E-01  0.00000E+00  1.00000E+00  9.19999E-01
     1  4.12627E-01  7.90487E-01  0.00000E+00  1.00000E+00  9.59999E-01
     2 -1.33623E-01 -1.90245E-01  0.00000E+00  1.00000E+00  9.59999E-01
     3 -2.83367E-01 -5.98079E-01  0.00000E+00  1.00000E+00  9.59999E-01
     1  3.76654E-01  8.08942E-01  0.00000E+00  1.00000E+00  9.99999E-01
     2 -1.58562E-01 -1.86714E-01  0.00000E+00  1.00000E+00  9.99999E-01
     3 -2.22705E-01 -6.19229E-01  0.00000E+00  1.00000E+00  9.99999E-01
     1  3.39923E-01  8.25778E-01  0.00000E+00  1.00000E+00  1.04000E+00
     2 -1.84139E-01 -1.90323E-01  0.00000E+00  1.00000E+00  1.04000E+00
     3 -1.60555E-01 -6.31520E-01  0.00000E+00  1.00000E+00  1.04000E+00
     1  3.02509E-01  8.40965E-01  0.00000E+00  1.00000E+00  1.08000E+00
     2 -2.08730E-01 -2.01000E-01  0.00000E+00  1.00000E+00  1.08000E+00
     3 -9.86113E-02 -6.35019E-01  0.00000E+00  1.00000E+00  1.08000E+00
     1  2.64488E-01  8.54474E-01  0.00000E+00  1.00000E+00  1.12000E+00
     2 -2.30853E-01 -2.18324E-01  0.00000E+00  1.00000E+00  1.12000E+00
     3 -3.84333E-02 -6.30146E-01  0.00000E+00  1.00000E+00  1.12000E+00
     1  2.25929E-01  8.66282E-01  0.00000E+00  1.00000E+00  1.16000E+00
     2 -2.49238E-01 -2.41608E-01  0.00000E+00  1.00000E+00  1.16000E+00
     3  1.86259E-02 -6.17589E-01  0.00000E+00  1.00000E+00  1.16000E+00
     1  1.86856E-01  8.76373E-01  0.00000E+00  1.00000E+00  1.20000E+00
     2 -2.62852E-01 -2.69986E-01  0.00000E+00  1.00000E+00  1.20000E+00
     3  7.14468E-02 -5.98220E-01  0.00000E+00  1.00000E+00  1.20000E+00
     1  1.47340E-01  8.84753E-01  0.00000E+00  1.00000E+00  1.24000E+00
     2 -2.70897E-01 -3.02485E-01  0.00000E+00  1.00000E+00  1.24000E+00
     3  1.19141E-01 -5.73019E-01  0.00000E+00  1.00000E+00  1.24000E+00
     1  1.07475E-01  8.91429E-01  0.00000E+00  1.00000E+00  1.28000E+00
     2 -2.72787E-01 -3.38076E-01  0.00000E+00  1.00000E+00  1.28000E+00
     3  1.61030E-01 -5.43021E-01  0.00000E+00  1.00000E+00  1.28000E+00
     1  6.73527E-02  8.96405E-01  0.00000E+00  1.00000E+00  1.32000E+00
     2 -2.68121E-01 -3.75714E-01  0.00000E+00  1.00000E+00  1.32000E+00
     3  1.96619E-01 -5.09277E-01  0.00000E+00  1.00000E+00  1.32000E+00
     1  2.70685E-02  8.99688E-01  0.00000E+00  1.00000E+00  1.36000E+00
     2 -2.56653E-01 -4.14349E-01  0.00000E+00  1.00000E+00  1.36000E+00
     3  2.25568E-01 -4.72843E-01  0.00000E+00  1.00000E+00  1.36000E+00
     1 -1.32835E-02  9.01282E-01  0.00000E+00  1.00000E+00  1.40000E+00
     2 -2.38277E-01 -4.52935E-01  0.00000E+00  1.00000E+00  1.40000E+00
     3  2.47678E-01 -4.34769E-01  0.00000E+00  1.00000E+00  1.40000E+00
     1 -5.36092E-02  9.01191E-01  0.00000E+00  1.00000E+00  1.44000E+00
     2 -2.13012E-01 -4.90430E-01  0.00000E+00  1.00000E+00  1.44000E+00
     3  2.62871E-01 -3.96100E-01  0.00000E+00  1.00000E+00  1.44000E+00
     1 -9.38151E-02  8.99418E-01  0.00000E+00  1.00000E+00  1.48000E+00
     2 -1.80995E-01 -5.25794E-01  0.00000E+00  1.00000E+00  1.48000E+00
     3  2.71194E-01 -3.57882E-01  0.00000E+00  1.00000E+00  1.48000E+00
     1 -1.33809E-01  8.95965E-01  0.00000E+00  1.00000E+00  1.52000E+00
     2 -1.42496E-01 -5.57980E-01  0.00000E+00  1.00000E+00  1.52000E+00
     3  2.72822E-01 -3.21161E-01  0.00000E+00  1.00000E+00  1.52000E+00
     1 -1.73499E-01  8.90833E-01  0.00000E+00  1.00000E+00  1.56000E+00
     2 -9.79253E-02 -5.85942E-01  0.00000E+00  1.00000E+00  1.56000E+00
     3  2.68075E-01 -2.86985E-01  0.00000E+00  1.00000E+00  1.56000E+00
     1 -2.12798E-01  8.84024E-01  0.00000E+00  1.00000E+00  1.60000E+00
     2 -4.78595E-02 -6.08644E-01  0.00000E+00  1.00000E+00  1.60000E+00
     3  2.57440E-01 -2.56392E-01  0.00000E+00  1.00000E+00  1.60000E+00
     1 -2.51618E-01  8.75538E-01  0.00000E+00  1.00000E+00  1.64000E+00
     2  6.93294E-03 -6.25083E-01  0.00000E+00  1.00000E+00  1.64000E+00
     3  2.41601E-01 -2.30385E-01  0.00000E+00  1.00000E+00  1.64000E+00
     1 -2.89929E-01  8.65383E-01  0.00000E+00  1.00000E+00  1.68000E+00
     2  6.54666E-02 -6.34330E-01  0.00000E+00  1.00000E+00  1.68000E+00
     3  2.21459E-01 -2.09893E-01  0.00000E+00  1.00000E+00  1.68000E+00
     1 -3.27687E-01  8.53585E-01  0.00000E+00  1.00000E+00  1.72000E+00
     2  1.26525E-01 -6.35596E-01  0.00000E+00  1.00000E+00  1.72000E+00
     3  1.98153E-01 -1.95708E-01  0.00000E+00  1.00000E+00  1.72000E+00
     1 -3.64823E-01  8.40174E-01  0.00000E+00  1.00000E+00  1.76000E+00
     2  1.88671E-01 -6.28305E-01  0.00000E+00  1.00000E+00  1.76000E+00
     3  1.73047E-01 -1.88410E-01  0.00000E+00  1.00000E+00  1.76000E+00
     1 -4.01268E-01  8.25184E-01  0.00000E+00  1.00000E+00  1.80000E+00
     2  2.50285E-01 -6.12185E-01  0.00000E+00  1.00000E+00  1.80000E+00
     3  1.47694E-01 -1.88282E-01  0.00000E+00  1.00000E+00  1.80000E+00
     1 -4.36957E-01  8.08651E-01  0.00000E+00  1.00000E+00  1.84000E+00
     2  3.09658E-01 -5.87340E-01  0.00000E+00  1.00000E+00  1.84000E+00
     3  1.23743E-01 -1.95235E-01  0.00000E+00  1.00000E+00  1.84000E+00
     1 -4.71827E-01  7.90613E-01  0.00000E+00  1.00000E+00  1.88000E+00
     2  3.65103E-01 -5.54288E-01  0.00000E+00  1.00000E+00  1.88000E+00
     3  1.02831E-01 -2.08776E-01  0.00000E+00  1.00000E+00  1.88000E+00
     1 -5.05815E-01  7.71111E-01  0.00000E+00  1.00000E+00  1.92000E+00
     2  4.15094E-01 -5.13951E-01  0.00000E+00  1.00000E+00  1.92000E+00
     3  8.64354E-02 -2.28020E-01  0.00000E+00  1.00000E+00  1.92000E+00
     1 -5.38862E-01  7.50187E-01  0.00000E+00  1.00000E+00  1.96000E+00
     2  4.58381E-01 -4.67577E-01  0.00000E+00  1.00000E+00  1.96000E+00
     3  7.57665E-02 -2.51759E-01  0.00000E+00  1.00000E+00  1.96000E+00
     1 -5.70909E-01  7.27888E-01  0.00000E+00  1.00000E+00  2.00000E+00
     2  4.94069E-01 -4.16639E-01  0.00000E+00  1.00000E+00  2.00000E+00
     3  7.16821E-02 -2.78577E-01  0.00000E+00  1.00000E+00  2.00000E+00
     1 -6.01902E-01  7.04259E-01  0.00000E+00  1.00000E+00  2.04000E+00
     2  5.21640E-01 -3.62702E-01  0.00000E+00  1.00000E+00  2.04000E+00
     3  7.46656E-02 -3.06968E-01  0.00000E+00  1.00000E+00  2.04000E+00
     1 -6.31786E-01  6.79351E-01  0.00000E+00  1.00000E+00  2.08000E+00
     2  5.40927E-01 -3.07323E-01  0.00000E+00  1.00000E+00  2.08000E+00
     3  8.48483E-02 -3.35446E-01  0.00000E+00  1.00000E+00  2.08000E+00
     1 -6.60510E-01  6.53214E-01  0.00000E+00  1.00000E+00  2.12000E+00
     2  5.52063E-01 -2.51965E-01  0.00000E+00  1.00000E+00  2.12000E+00
     3  1.02062E-01 -3.62617E-01  0.00000E+00  1.00000E+00  2.12000E+00
     1 -6.88026E-01  6.25902E-01  0.00000E+00  1.00000E+00  2.16000E+00
     2  5.55420E-01 -1.97955E-01  0.00000E+00  1.00000E+00  2.16000E+00
     3  1.25900E-01 -3.87229E-01  0.00000E+00  1.00000E+00  2.16000E+00
     1 -7.14287E-01  5.97469E-01  0.00000E+00  1.00000E+00  2.20000E+00
     2  5.51541E-01 -1.46463E-01  0.00000E+00  1.00000E+00  2.20000E+00
     3  1.55781E-01 -4.08187E-01  0.00000E+00  1.00000E+00  2.20000E+00
     1 -7.39249E-01  5.67973E-01  0.00000E+00  1.00000E+00  2.24000E+00
     2  5.41102E-01 -9.85033E-02  0.00000E+00  1.00000E+00  2.24000E+00
     3  1.90989E-01 -4.24552E-01  0.00000E+00  1.00000E+00  2.24000E+00
     1 -7.62872E-01  5.37470E-01  0.00000E+00  1.00000E+00  2.28000E+00
     2  5.24873E-01 -5.49414E-02  0.00000E+00  1.00000E+00  2.28000E+00
     3  2.30716E-01 -4.35535E-01  0.00000E+00  1.00000E+00  2.28000E+00
     1 -7.85115E-01  5.06022E-01  0.00000E+00  1.00000E+00  2.32000E+00
     2  5.03697E-01 -1.65076E-02  0.00000E+00  1.00000E+00  2.32000E+00
     3  2.74075E-01 -4.40477E-01  0.00000E+00  1.00000E+00  2.32000E+00
     1 -8.05945E-01  4.73689E-01  0.00000E+00  1.00000E+00  2.36000E+00
     2  4.78481E-01  1.61955E-02  0.00000E+00  1.00000E+00  2.36000E+00
     3  3.20115E-01 -4.38849E-01  0.00000E+00  1.00000E+00  2.36000E+00
     1 -8.25346E-01  4.40560E-01  0.00000E+00  1.00000E+00  2.40000E+00
     2  4.50194E-01  4.26886E-02  0.00000E+00  1.00000E+00  2.40000E+00
     3  3.67823E-01 -4.30243E-01  0.00000E+00  1.00000E+00  2.40000E+00
     1 -8.43299E-01  4.06732E-01  0.00000E+00  1.00000E+00  2.44000E+00
     2  4.19866E-01  6.26201E-02  0.00000E+00  1.00000E+00  2.44000E+00
     3  4.16126E-01 -4.14376E-01  0.00000E+00  1.00000E+00  2.44000E+00
     1 -8.59759E-01  3.72271E-01  0.00000E+00  1.00000E+00  2.48000E+00
     2  3.88587E-01  7.57789E-02  0.00000E+00  1.00000E+00  2.48000E+00
     3  4.63886E-01 -3.91104E-01  0.00000E+00  1.00000E+00  2.48000E+00
     1 -8.74679E-01  3.37244E-01  0.00000E+00  1.00000E+00  2.52000E+00
     2  3.57505E-01  8.21153E-02  0.00000E+00  1.00000E+00  2.52000E+00
     3  5.09909E-01 -3.60443E-01  0.00000E+00  1.00000E+00  2.52000E+00
     1 -8.88016E-01  3.01711E-01  0.00000E+00  1.00000E+00  2.56000E+00
     2  3.27813E-01  8.17700E-02  0.00000E+00  1.00000E+00  2.56000E+00
     3  5.52959E-01 -3.22595E-01  0.00000E+00  1.00000E+00  2.56000E+00
     1 -8.99726E-01  2.65734E-01  0.00000E+00  1.00000E+00  2.60000E+00
     2  3.00721E-01  7.51062E-02  0.00000E+00  1.00000E+00  2.60000E+00
     3  5.91781E-01 -2.77984E-01  0.00000E+00  1.00000E+00  2.60000E+00
     1 -9.09770E-01  2.29370E-01  0.00000E+00  1.00000E+00  2.64000E+00
