#Index            X            Y            Z         Mass         Time
     1  1.00234E+00 -1.96523E-01  0.00000E+00  1.00000E+00  9.90000E-02
     2 -9.17008E-01  2.84396E-01  0.00000E+00  1.00000E+00  9.90000E-02
     3 -9.37749E-02 -8.57842E-02  0.00000E+00  1.00000E+00  9.90000E-02
     1  1.00648E+00 -1.44426E-01  0.00000E+00  1.00000E+00  1.99000E-01
     2 -8.50351E-01  3.19946E-01  0.00000E+00  1.00000E+00  1.99000E-01
     3 -1.90463E-01 -1.67314E-01  0.00000E+00  1.00000E+00  1.99000E-01
     1  9.82480E-01 -8.82622E-02  0.00000E+00  1.00000E+00  2.99000E-01
     2 -7.69215E-01  3.45920E-01  0.00000E+00  1.00000E+00  2.99000E-01
     3 -2.91971E-01 -2.39831E-01  0.00000E+00  1.00000E+00  2.99000E-01
     1  9.32582E-01 -2.96946E-02  0.00000E+00  1.00000E+00  3.99000E-01
     2 -6.74225E-01  3.57577E-01  0.00000E+00  1.00000E+00  3.99000E-01
     3 -3.98280E-01 -2.98074E-01  0.00000E+00  1.00000E+00  3.99000E-01
     1  8.71719E-01  2.89100E-02  0.00000E+00  1.00000E+00  4.99000E-01
     2 -5.68191E-01  3.50324E-01  0.00000E+00  1.00000E+00  4.99000E-01
     3 -5.06720E-01 -3.37209E-01  0.00000E+00  1.00000E+00  4.99000E-01
     1  8.01557E-01  8.72596E-02  0.00000E+00  1.00000E+00  5.99000E-01
     2 -4.55820E-01  3.21454E-01  0.00000E+00  1.00000E+00  5.99000E-01
     3 -6.12197E-01 -3.54472E-01  0.00000E+00  1.00000E+00  5.99000E-01
     1  7.20928E-01  1.45355E-01  0.00000E+00  1.00000E+00  6.99000E-01
     2 -3.41902E-01  2.71502E-01  0.00000E+00  1.00000E+00  6.99000E-01
     3 -7.08754E-01 -3.50399E-01  0.00000E+00  1.00000E+00  6.99000E-01
     1  6.27302E-01  2.02978E-01  0.00000E+00  1.00000E+00  7.99000E-01
     2 -2.28640E-01  2.04181E-01  0.00000E+00  1.00000E+00  7.99000E-01
     3 -7.91659E-01 -3.28484E-01  0.00000E+00  1.00000E+00  7.99000E-01
     1  5.15521E-01  2.58788E-01  0.00000E+00  1.00000E+00  8.99000E-01
     2 -1.13198E-01  1.25667E-01  0.00000E+00  1.00000E+00  8.99000E-01
     3 -8.58703E-01 -2.93677E-01  0.00000E+00  1.00000E+00  8.99000E-01
     1  3.75062E-01  3.06421E-01  0.00000E+00  1.00000E+00  9.99000E-01
     2  1.48998E-02  4.68074E-02  0.00000E+00  1.00000E+00  9.99000E-01
     3 -9.11633E-01 -2.51718E-01  0.00000E+00  1.00000E+00  9.99000E-01
     1  1.92068E-01  3.17235E-01  0.00000E+00  1.00000E+00  1.09900E+00
     2  1.70824E-01 -6.51853E-04  0.00000E+00  1.00000E+00  1.09900E+00
     3 -9.51060E-01 -2.04703E-01  0.00000E+00  1.00000E+00  1.09900E+00
     1  1.80232E-03  2.42817E-01  0.00000E+00  1.00000E+00  1.19900E+00
     2  3.20507E-01  3.29845E-02  0.00000E+00  1.00000E+00  1.19900E+00
     3 -9.76991E-01 -1.53552E-01  0.00000E+00  1.00000E+00  1.19900E+00
     1 -1.47504E-01  1.22182E-01  0.00000E+00  1.00000E+00  1.29900E+00
     2  4.14918E-01  1.08672E-01  0.00000E+00  1.00000E+00  1.29900E+00
     3 -9.88952E-01 -9.86031E-02  0.00000E+00  1.00000E+00  1.29900E+00
     1 -2.77007E-01 -4.75105E-03  0.00000E+00  1.00000E+00  1.39900E+00
     2  4.71623E-01  1.86771E-01  0.00000E+00  1.00000E+00  1.39900E+00
     3 -9.85341E-01 -4.07560E-02  0.00000E+00  1.00000E+00  1.39900E+00
     1 -4.09747E-01 -1.28376E-01  0.00000E+00  1.00000E+00  1.49900E+00
     2  5.09234E-01  2.61490E-01  0.00000E+00  1.00000E+00  1.49900E+00
     3 -9.57835E-01  1.81071E-02  0.00000E+00  1.00000E+00  1.49900E+00
     1 -5.62751E-01 -2.38742E-01  0.00000E+00  1.00000E+00  1.59900E+00
     2  5.34089E-01  3.32826E-01  0.00000E+00  1.00000E+00  1.59900E+00
     3 -8.96061E-01  6.83326E-02  0.00000E+00  1.00000E+00  1.59900E+00
     1 -7.42649E-01 -3.12372E-01  0.00000E+00  1.00000E+00  1.69900E+00
     2  5.48391E-01  4.00432E-01  0.00000E+00  1.00000E+00  1.69900E+00
     3 -7.96789E-01  8.57309E-02  0.00000E+00  1.00000E+00  1.69900E+00
     1 -9.25927E-01 -3.27154E-01  0.00000E+00  1.00000E+00  1.79900E+00
     2  5.53502E-01  4.64565E-01  0.00000E+00  1.00000E+00  1.79900E+00
     3 -6.84936E-01  4.77483E-02  0.00000E+00  1.00000E+00  1.79900E+00
     1 -1.08212E+00 -2.98213E-01  0.00000E+00  1.00000E+00  1.89900E+00
     2  5.44224E-01  5.22250E-01  0.00000E+00  1.00000E+00  1.89900E+00
     3 -5.91484E-01 -3.03784E-02  0.00000E+00  1.00000E+00  1.89900E+00
     1 -1.20811E+00 -2.51193E-01  0.00000E+00  1.00000E+00  1.99900E+00
     2  5.09807E-01  5.67438E-01  0.00000E+00  1.00000E+00  1.99900E+00
     3 -5.19911E-01 -1.22472E-01  0.00000E+00  1.00000E+00  1.99900E+00
     1 -1.31136E+00 -1.98623E-01  0.00000E+00  1.00000E+00  2.09900E+00
     2  4.51226E-01  5.99364E-01  0.00000E+00  1.00000E+00  2.09900E+00
     3 -4.63188E-01 -2.15304E-01  0.00000E+00  1.00000E+00  2.09900E+00
     1 -1.39809E+00 -1.45008E-01  0.00000E+00  1.00000E+00  2.19900E+00
