#Index            X            Y            Z         Mass         Time
     1  1.56632E-08  1.28792E-08  3.47840E-10  1.00000E+02  9.90000E-02
     2 -9.54790E-02  6.93209E-01  1.23792E-07  1.00000E-06  9.90000E-02
     3  5.40301E-01  8.41485E-01  2.49270E-09  1.00000E-06  9.90000E-02
     4 -7.76773E-01  1.28321E+00  1.12548E-10  1.00000E-06  9.90000E-02
     5 -2.31891E-01  4.20298E-01  1.52159E-02  1.00000E-06  9.90000E-02
     1  2.12052E-08  6.26778E-08  9.81199E-10  1.00000E+02  1.99000E-01
     2 -6.73262E-01 -1.90062E-01  1.54678E-07  1.00000E-06  1.99000E-01
     3 -4.16142E-01  9.09338E-01  4.47102E-09  1.00000E-06  1.99000E-01
     4 -1.32902E+00  6.95507E-01  3.83379E-10  1.00000E-06  1.99000E-01
     5 -5.86635E-02 -9.33128E-01 -4.81202E-02  1.00000E-06  1.99000E-01
     1 -9.52716E-10  1.06671E-07  9.35962E-10  1.00000E+02  2.99000E-01
     2  2.80914E-01 -6.41020E-01 -1.64809E-07  1.00000E-06  2.99000E-01
     3 -9.90029E-01  1.41219E-01  3.12488E-09  1.00000E-06  2.99000E-01
     4 -1.49711E+00 -9.32333E-02  7.59785E-10  1.00000E-06  2.99000E-01
     5  7.42551E-01 -1.24331E+00 -4.35965E-02  1.00000E-06  2.99000E-01
     1 -2.69989E-08  1.32007E-07  7.25094E-10  1.00000E+02  3.99000E-01
     2  5.96880E-01  3.65637E-01 -1.08129E-07  1.00000E-06  3.99000E-01
     3 -6.53800E-01 -7.56722E-01 -2.84123E-10  1.00000E-06  3.99000E-01
     4 -1.23247E+00 -8.55025E-01  1.15577E-09  1.00000E-06  3.99000E-01
     5  1.31416E+00 -1.10739E+00 -2.25101E-02  1.00000E-06  3.99000E-01
     1 -4.59901E-08  1.54383E-07  4.66309E-10  1.00000E+02  4.99000E-01
     2 -4.43703E-01  5.40955E-01  1.95788E-07  1.00000E-06  4.99000E-01
     3  2.83461E-01 -9.59002E-01 -2.79347E-09  1.00000E-06  4.99000E-01
     4 -6.11597E-01 -1.36968E+00  1.41322E-09  1.00000E-06  4.99000E-01
     5  1.62570E+00 -7.45596E-01  3.36784E-03  1.00000E-06  4.99000E-01
     1 -7.13623E-08  1.74973E-07  2.13824E-10  1.00000E+02  5.99000E-01
     2 -4.74555E-01 -5.14092E-01  5.53113E-08  1.00000E-06  5.99000E-01
     3  9.60111E-01 -2.79621E-01 -2.24761E-09  1.00000E-06  5.99000E-01
     4  1.86055E-01 -1.48844E+00  1.40143E-09  1.00000E-06  5.99000E-01
     5  1.64944E+00 -2.52469E-01  2.86162E-02  1.00000E-06  5.99000E-01
     1 -9.43118E-08  1.77947E-07  2.85125E-11  1.00000E+02  6.99000E-01
     2  5.74505E-01 -3.99863E-01 -2.10579E-07  1.00000E-06  6.99000E-01
     3  7.54039E-01  6.56839E-01  1.44417E-09  1.00000E-06  6.99000E-01
     4  9.29930E-01 -1.17699E+00  1.09279E-09  1.00000E-06  6.99000E-01
     5  1.30928E+00  2.88279E-01  4.71473E-02  1.00000E-06  6.99000E-01
     1 -9.01898E-08  1.77689E-07  7.81351E-11  1.00000E+02  7.99000E-01
     2  3.17881E-01  6.23527E-01  7.18932E-09  1.00000E-06  7.99000E-01
     3 -1.45289E-01  9.89418E-01  5.28971E-09  1.00000E-06  7.99000E-01
     4  1.40502E+00 -5.25334E-01  6.06394E-10  1.00000E-06  7.99000E-01
     5  4.00443E-01  6.43499E-01  4.21847E-02  1.00000E-06  7.99000E-01
     1 -7.74770E-08  2.13498E-07  8.43817E-10  1.00000E+02  8.99000E-01
     2 -6.61004E-01  2.29094E-01  3.28093E-07  1.00000E-06  8.99000E-01
     3 -9.11059E-01  4.12393E-01  5.56854E-09  1.00000E-06  8.99000E-01
     4  1.47399E+00  2.78161E-01  8.82764E-11  1.00000E-06  8.99000E-01
     5 -4.02434E-01 -4.86479E-01 -3.43840E-02  1.00000E-06  8.99000E-01
     1 -9.90258E-08  2.54422E-07  9.89945E-10  1.00000E+02  9.99000E-01
     2 -1.35815E-01 -6.86434E-01 -7.74679E-08  1.00000E-06  9.99000E-01
     3 -8.39306E-01 -5.43744E-01  1.41077E-09  1.00000E-06  9.99000E-01
     4  1.11692E+00  1.00125E+00 -2.62181E-10  1.00000E-06  9.99000E-01
     5  4.12390E-01 -1.18622E+00 -4.89968E-02  1.00000E-06  9.99000E-01
     1 -1.26882E-07  2.71165E-07  8.28324E-10  1.00000E+02  1.09900E+00
     2  6.98805E-01 -4.08699E-02 -3.05640E-07  1.00000E-06  1.09900E+00
     3  4.00972E-03 -1.00002E+00 -3.33103E-09  1.00000E-06  1.09900E+00
     4  4.36994E-01  1.43494E+00 -2.95525E-10  1.00000E-06  1.09900E+00
     5  1.09332E+00 -1.20348E+00 -3.28350E-02  1.00000E-06  1.09900E+00
     1 -1.35026E-07  2.78988E-07  5.82684E-10  1.00000E+02  1.19900E+00
     2 -5.48161E-02  6.97616E-01  1.62430E-07  1.00000E-06  1.19900E+00
     3  8.43628E-01 -5.36934E-01 -4.47731E-09  1.00000E-06  1.19900E+00
     4 -3.69243E-01  1.45384E+00 -2.28426E-11  1.00000E-06  1.19900E+00
     5  1.52131E+00 -9.26209E-01 -8.27189E-03  1.00000E-06  1.19900E+00
     1 -1.35016E-07  3.00269E-07  3.21397E-10  1.00000E+02  1.29900E+00
     2 -6.83218E-01 -1.50381E-01  2.62180E-07  1.00000E-06  1.29900E+00
     3  9.07622E-01  4.19795E-01 -1.10182E-09  1.00000E-06  1.29900E+00
     4 -1.06875E+00  1.05252E+00  4.21253E-10  1.00000E-06  1.29900E+00
     5  1.67747E+00 -4.81702E-01  1.78562E-02  1.00000E-06  1.29900E+00
     1 -1.42082E-07  3.24147E-07  9.62603E-11  1.00000E+02  1.39900E+00
     2  2.42992E-01 -6.56321E-01 -2.33912E-07  1.00000E-06  1.39900E+00
     3  1.37153E-01  9.90572E-01  3.66399E-09  1.00000E-06  1.39900E+00
     4 -1.45933E+00  3.46956E-01  8.42988E-10  1.00000E-06  1.39900E+00
     5  1.51228E+00  5.12022E-02  4.03699E-02  1.00000E-06  1.39900E+00
     1 -1.42054E-07  3.43581E-07  2.96746E-12  1.00000E+02  1.49900E+00
     2  6.17215E-01  3.30166E-01 -1.97719E-07  1.00000E-06  1.49900E+00
     3 -7.59418E-01  6.50671E-01  5.24357E-09  1.00000E-06  1.49900E+00
     4 -1.42810E+00 -4.58890E-01  1.06716E-09  1.00000E-06  1.49900E+00
     5  8.93859E-01  5.47044E-01  4.96987E-02  1.00000E-06  1.49900E+00
     1 -1.32618E-07  3.83098E-07  4.67878E-10  1.00000E+02  1.59900E+00
     2 -4.11337E-01  5.65968E-01  3.07409E-07  1.00000E-06  1.59900E+00
     3 -9.57864E-01 -2.87394E-01  2.15289E-09  1.00000E-06  1.59900E+00
     4 -9.84084E-01 -1.13210E+00  1.02529E-09  1.00000E-06  1.59900E+00
     5 -3.73396E-01  2.50861E-01  3.20660E-03  1.00000E-06  1.59900E+00
     1 -1.60207E-07  4.38895E-07  9.94028E-10  1.00000E+02  1.69900E+00
     2 -5.03780E-01 -4.85473E-01  1.32083E-07  1.00000E-06  1.69900E+00
     3 -2.75762E-01 -9.61259E-01 -4.37499E-09  1.00000E-06  1.69900E+00
     4 -2.55628E-01 -1.47808E+00  6.23939E-10  1.00000E-06  1.69900E+00
     5  4.39265E-02 -1.01020E+00 -4.94087E-02  1.00000E-06  1.69900E+00
     1 -2.05481E-07  4.61207E-07  9.16399E-10  1.00000E+02  1.79900E+00
     2  5.50173E-01 -4.32718E-01 -3.42751E-07  1.00000E-06  1.79900E+00
     3  6.59845E-01 -7.51413E-01 -1.65877E-08  1.00000E-06  1.79900E+00
     4  5.46715E-01 -1.39684E+00 -2.88548E-09  1.00000E-06  1.79900E+00
     5  8.23214E-01 -1.24463E+00 -4.16458E-02  1.00000E-06  1.79900E+00
     1 -2.29327E-07  4.58141E-07  6.96161E-10  1.00000E+02  1.89900E+00
     2  3.53755E-01  6.03910E-01 -3.70934E-08  1.00000E-06  1.89900E+00
     3  9.88798E-01  1.49260E-01 -1.74314E-08  1.00000E-06  1.89900E+00
