#Index            X            Y            Z         Mass         Time
     1 -3.38644E-01  9.16348E-02  0.00000E+00  1.00000E+00  9.90000E-02
     2  2.11524E+00 -9.21734E-03  0.00000E+00  1.00000E+00  9.90000E-02
     3 -1.77660E+00 -8.24175E-02  0.00000E+00  1.00000E+00  9.90000E-02
     1 -3.43275E-01  1.82633E-01  0.00000E+00  1.00000E+00  1.99000E-01
     2  2.11177E+00 -1.83792E-02  0.00000E+00  1.00000E+00  1.99000E-01
     3 -1.76849E+00 -1.64254E-01  0.00000E+00  1.00000E+00  1.99000E-01
     1 -3.50772E-01  2.72404E-01  0.00000E+00  1.00000E+00  2.99000E-01
     2  2.10599E+00 -2.74317E-02  0.00000E+00  1.00000E+00  2.99000E-01
     3 -1.75522E+00 -2.44973E-01  0.00000E+00  1.00000E+00  2.99000E-01
     1 -3.60831E-01  3.60444E-01  0.00000E+00  1.00000E+00  3.99000E-01
     2  2.09792E+00 -3.63244E-02  0.00000E+00  1.00000E+00  3.99000E-01
     3 -1.73709E+00 -3.24120E-01  0.00000E+00  1.00000E+00  3.99000E-01
     1 -3.73086E-01  4.46351E-01  0.00000E+00  1.00000E+00  4.99000E-01
     2  2.08759E+00 -4.50114E-02  0.00000E+00  1.00000E+00  4.99000E-01
     3 -1.71450E+00 -4.01340E-01  0.00000E+00  1.00000E+00  4.99000E-01
     1 -3.87141E-01  5.29834E-01  0.00000E+00  1.00000E+00  5.99000E-01
     2  2.07501E+00 -5.34518E-02  0.00000E+00  1.00000E+00  5.99000E-01
     3 -1.68787E+00 -4.76383E-01  0.00000E+00  1.00000E+00  5.99000E-01
     1 -4.02603E-01  6.10702E-01  0.00000E+00  1.00000E+00  6.99000E-01
     2  2.06023E+00 -6.16105E-02  0.00000E+00  1.00000E+00  6.99000E-01
     3 -1.65762E+00 -5.49091E-01  0.00000E+00  1.00000E+00  6.99000E-01
     1 -4.19102E-01  6.88846E-01  0.00000E+00  1.00000E+00  7.99000E-01
     2  2.04325E+00 -6.94581E-02  0.00000E+00  1.00000E+00  7.99000E-01
     3 -1.62415E+00 -6.19388E-01  0.00000E+00  1.00000E+00  7.99000E-01
     1 -4.36308E-01  7.64227E-01  0.00000E+00  1.00000E+00  8.99000E-01
     2  2.02412E+00 -7.69705E-02  0.00000E+00  1.00000E+00  8.99000E-01
     3 -1.58782E+00 -6.87256E-01  0.00000E+00  1.00000E+00  8.99000E-01
     1 -4.53927E-01  8.36849E-01  0.00000E+00  1.00000E+00  9.99000E-01
     2  2.00286E+00 -8.41291E-02  0.00000E+00  1.00000E+00  9.99000E-01
     3 -1.54893E+00 -7.52720E-01  0.00000E+00  1.00000E+00  9.99000E-01
     1 -4.71713E-01  9.06753E-01  0.00000E+00  1.00000E+00  1.09900E+00
     2  1.97948E+00 -9.09198E-02  0.00000E+00  1.00000E+00  1.09900E+00
     3 -1.50777E+00 -8.15833E-01  0.00000E+00  1.00000E+00  1.09900E+00
     1 -4.89454E-01  9.73999E-01  0.00000E+00  1.00000E+00  1.19900E+00
     2  1.95401E+00 -9.73329E-02  0.00000E+00  1.00000E+00  1.19900E+00
     3 -1.46455E+00 -8.76666E-01  0.00000E+00  1.00000E+00  1.19900E+00
     1 -5.06977E-01  1.03866E+00  0.00000E+00  1.00000E+00  1.29900E+00
     2  1.92645E+00 -1.03363E-01  0.00000E+00  1.00000E+00  1.29900E+00
     3 -1.41948E+00 -9.35296E-01  0.00000E+00  1.00000E+00  1.29900E+00
     1 -5.24136E-01  1.10081E+00  0.00000E+00  1.00000E+00  1.39900E+00
     2  1.89683E+00 -1.09009E-01  0.00000E+00  1.00000E+00  1.39900E+00
     3 -1.37269E+00 -9.91804E-01  0.00000E+00  1.00000E+00  1.39900E+00
     1 -5.40813E-01  1.16054E+00  0.00000E+00  1.00000E+00  1.49900E+00
     2  1.86515E+00 -1.14271E-01  0.00000E+00  1.00000E+00  1.49900E+00
     3 -1.32433E+00 -1.04627E+00  0.00000E+00  1.00000E+00  1.49900E+00
     1 -5.56909E-01  1.21791E+00  0.00000E+00  1.00000E+00  1.59900E+00
     2  1.83140E+00 -1.19157E-01  0.00000E+00  1.00000E+00  1.59900E+00
     3 -1.27449E+00 -1.09876E+00  0.00000E+00  1.00000E+00  1.59900E+00
     1 -5.72345E-01  1.27301E+00  0.00000E+00  1.00000E+00  1.69900E+00
     2  1.79559E+00 -1.23674E-01  0.00000E+00  1.00000E+00  1.69900E+00
     3 -1.22324E+00 -1.14934E+00  0.00000E+00  1.00000E+00  1.69900E+00
     1 -5.87055E-01  1.32590E+00  0.00000E+00  1.00000E+00  1.79900E+00
     2  1.75770E+00 -1.27836E-01  0.00000E+00  1.00000E+00  1.79900E+00
     3 -1.17065E+00 -1.19807E+00  0.00000E+00  1.00000E+00  1.79900E+00
     1 -6.00985E-01  1.37665E+00  0.00000E+00  1.00000E+00  1.89900E+00
     2  1.71774E+00 -1.31660E-01  0.00000E+00  1.00000E+00  1.89900E+00
     3 -1.11675E+00 -1.24499E+00  0.00000E+00  1.00000E+00  1.89900E+00
     1 -6.14090E-01  1.42531E+00  0.00000E+00  1.00000E+00  1.99900E+00
     2  1.67567E+00 -1.35165E-01  0.00000E+00  1.00000E+00  1.99900E+00
     3 -1.06158E+00 -1.29014E+00  0.00000E+00  1.00000E+00  1.99900E+00
     1 -6.26334E-01  1.47193E+00  0.00000E+00  1.00000E+00  2.09900E+00
     2  1.63148E+00 -1.38377E-01  0.00000E+00  1.00000E+00  2.09900E+00
     3 -1.00515E+00 -1.33355E+00  0.00000E+00  1.00000E+00  2.09900E+00
     1 -6.37687E-01  1.51656E+00  0.00000E+00  1.00000E+00  2.19900E+00
     2  1.58515E+00 -1.41328E-01  0.00000E+00  1.00000E+00  2.19900E+00
     3 -9.47466E-01 -1.37523E+00  0.00000E+00  1.00000E+00  2.19900E+00
