#Index            X            Y            Z         Mass         Time
     1 -2.32778E-01  2.46456E-02  0.00000E+00  1.00000E+00  3.90000E-02
     2 -6.58284E-01 -6.44672E-02  0.00000E+00  1.00000E+00  3.90000E-02
     3  8.91061E-01  3.98215E-02  0.00000E+00  1.00000E+00  3.90000E-02
     1 -2.43363E-01  4.75849E-02  0.00000E+00  1.00000E+00  7.90000E-02
     2 -6.44804E-01 -1.27166E-01  0.00000E+00  1.00000E+00  7.90000E-02
     3  8.88167E-01  7.95813E-02  0.00000E+00  1.00000E+00  7.90000E-02
     1 -2.60326E-01  6.72490E-02  0.00000E+00  1.00000E+00  1.19000E-01
     2 -6.23036E-01 -1.86465E-01  0.00000E+00  1.00000E+00  1.19000E-01
     3  8.83363E-01  1.19216E-01  0.00000E+00  1.00000E+00  1.19000E-01
     1 -2.82745E-01  8.23135E-02  0.00000E+00  1.00000E+00  1.59000E-01
     2 -5.93931E-01 -2.40974E-01  0.00000E+00  1.00000E+00  1.59000E-01
     3  8.76676E-01  1.58661E-01  0.00000E+00  1.00000E+00  1.59000E-01
     1 -3.09482E-01  9.17575E-02  0.00000E+00  1.00000E+00  1.99000E-01
     2 -5.58660E-01 -2.89604E-01  0.00000E+00  1.00000E+00  1.99000E-01
     3  8.68142E-01  1.97846E-01  0.00000E+00  1.00000E+00  1.99000E-01
     1 -3.39295E-01  9.48743E-02  0.00000E+00  1.00000E+00  2.39000E-01
     2 -5.18508E-01 -3.31576E-01  0.00000E+00  1.00000E+00  2.39000E-01
     3  8.57803E-01  2.36702E-01  0.00000E+00  1.00000E+00  2.39000E-01
     1 -3.70915E-01  9.12479E-02  0.00000E+00  1.00000E+00  2.79000E-01
     2 -4.74789E-01 -3.66400E-01  0.00000E+00  1.00000E+00  2.79000E-01
     3  8.45704E-01  2.75152E-01  0.00000E+00  1.00000E+00  2.79000E-01
     1 -4.03103E-01  8.07116E-02  0.00000E+00  1.00000E+00  3.19000E-01
     2 -4.28789E-01 -3.93831E-01  0.00000E+00  1.00000E+00  3.19000E-01
     3  8.31892E-01  3.13119E-01  0.00000E+00  1.00000E+00  3.19000E-01
     1 -4.34684E-01  6.33021E-02  0.00000E+00  1.00000E+00  3.59000E-01
     2 -3.81732E-01 -4.13827E-01  0.00000E+00  1.00000E+00  3.59000E-01
     3  8.16416E-01  3.50525E-01  0.00000E+00  1.00000E+00  3.59000E-01
     1 -4.64560E-01  3.92206E-02  0.00000E+00  1.00000E+00  3.99000E-01
     2 -3.34766E-01 -4.26507E-01  0.00000E+00  1.00000E+00  3.99000E-01
     3  7.99326E-01  3.87287E-01  0.00000E+00  1.00000E+00  3.99000E-01
     1 -4.91707E-01  8.80210E-03  0.00000E+00  1.00000E+00  4.39000E-01
     2 -2.88965E-01 -4.32125E-01  0.00000E+00  1.00000E+00  4.39000E-01
     3  7.80672E-01  4.23323E-01  0.00000E+00  1.00000E+00  4.39000E-01
     1 -5.15171E-01 -2.75031E-02  0.00000E+00  1.00000E+00  4.79000E-01
     2 -2.45330E-01 -4.31046E-01  0.00000E+00  1.00000E+00  4.79000E-01
     3  7.60501E-01  4.58549E-01  0.00000E+00  1.00000E+00  4.79000E-01
     1 -5.34064E-01 -6.91376E-02  0.00000E+00  1.00000E+00  5.19000E-01
     2 -2.04800E-01 -4.23744E-01  0.00000E+00  1.00000E+00  5.19000E-01
