 Body           x           y           z          vx          vy          vz             Time
  1         6.6708E-11  1.3770E-11  3.8314E-12  1.3126E-08  2.8105E-09  7.5237E-10        0.01
  2         9.8146E-01  5.8062E-01  2.1445E-01 -2.1616E+00  7.7995E+00  1.3617E+00        0.01
  3         1.5103E+00 -4.3205E-01 -3.1175E-01  8.3258E-01  6.7837E+00 -1.1253E+00        0.01
  4         1.9880E+00  1.0578E+00  4.1094E-01 -1.2699E+00  5.6824E+00  1.0655E+00        0.01
  5         2.5095E+00 -1.1476E+00 -5.0998E-01  8.8622E-01  5.2133E+00 -9.7706E-01        0.01
  1         2.6354E-10  5.8385E-11  1.5059E-11  2.5774E-08  6.1007E-09  1.4634E-09        0.02
  2         9.5651E-01  6.5746E-01  2.2750E-01 -2.7704E+00  7.4108E+00  1.2229E+00        0.02
  3         1.5168E+00 -3.6302E-01 -3.2272E-01  4.5729E-01  6.8823E+00 -1.0467E+00        0.02
  4         1.9744E+00  1.1148E+00  4.2152E-01 -1.4348E+00  5.5919E+00  1.0308E+00        0.02
  5         2.5179E+00 -1.0947E+00 -5.1973E-01  7.7060E-01  5.2649E+00 -9.5338E-01        0.02
  1         5.8586E-10  1.3849E-10  3.3235E-11  3.7983E-08  9.8338E-09  2.1277E-09        0.03
  2         9.2566E-01  7.3024E-01  2.3915E-01 -3.3306E+00  6.9981E+00  1.0841E+00        0.03
  3         1.5195E+00 -2.9308E-01 -3.3288E-01  7.4197E-02  6.9650E+00 -9.6395E-01        0.03
  4         1.9591E+00  1.1708E+00  4.3176E-01 -1.5951E+00  5.4988E+00  9.9605E-01        0.03
  5         2.5251E+00 -1.0413E+00 -5.2924E-01  6.5311E-01  5.3146E+00 -9.2894E-01        0.03
  1         1.0294E-09  2.5843E-10  5.7866E-11  4.9790E-08  1.3983E-08  2.7409E-09        0.04
  2         8.8939E-01  7.9875E-01  2.4940E-01 -3.8454E+00  6.5646E+00  9.4552E-01        0.04
  3         1.5183E+00 -2.2238E-01 -3.4218E-01 -3.1661E-01  7.0313E+00 -8.7710E-01        0.04
  4         1.9422E+00  1.2258E+00  4.4164E-01 -1.7507E+00  5.4032E+00  9.6122E-01        0.04
  5         2.5311E+00 -9.8735E-01 -5.3850E-01  5.3374E-01  5.3625E+00 -9.0373E-01        0.04
  1         1.5904E-09  4.2229E-10  8.8419E-11  6.1224E-08  1.8530E-08  3.3000E-09        0.05
  2         8.4813E-01  8.6278E-01  2.5826E-01 -4.3181E+00  6.1128E+00  8.0746E-01        0.05
  3         1.5131E+00 -1.5110E-01 -3.5058E-01 -7.1501E-01  7.0804E+00 -7.8604E-01        0.05
  4         1.9237E+00  1.2799E+00  4.5117E-01 -1.9018E+00  5.3053E+00  9.2632E-01        0.05
  5         2.5359E+00 -9.3295E-01 -5.4749E-01  4.1247E-01  5.4085E+00 -8.7774E-01        0.05
  1         2.2650E-09  6.3404E-10  1.2434E-10  7.2312E-08  2.3465E-08  3.8027E-09        0.06
  2         8.0230E-01  9.2217E-01  2.6572E-01 -4.7511E+00  5.6446E+00  6.7001E-01        0.06
  3         1.5038E+00 -7.9418E-02 -3.5804E-01 -1.1209E+00  7.1113E+00 -6.9070E-01        0.06
  4         1.9038E+00  1.3330E+00  4.6035E-01 -2.0485E+00  5.2051E+00  8.9137E-01        0.06
  5         2.5394E+00 -8.7810E-01 -5.5622E-01  2.8928E-01  5.4524E+00 -8.5095E-01        0.06
  1         3.0500E-09  8.9756E-10  1.6504E-10  8.3076E-08  2.8781E-08  4.2471E-09        0.07
  2         7.5228E-01  9.7675E-01  2.7179E-01 -5.1468E+00  5.1614E+00  5.3324E-01        0.07
  3         1.4904E+00 -7.5170E-03 -3.6452E-01 -1.5340E+00  7.1233E+00 -5.9100E-01        0.07
  4         1.8823E+00  1.3851E+00  4.6918E-01 -2.1910E+00  5.1029E+00  8.5640E-01        0.07
  5         2.5417E+00 -8.2282E-01 -5.6468E-01  1.6417E-01  5.4943E+00 -8.2335E-01        0.07
  1         3.9421E-09  1.2167E-09  2.0993E-10  9.3533E-08  3.4478E-08  4.6318E-09        0.08
  2         6.9845E-01  1.0264E+00  2.7649E-01 -5.5069E+00  4.6643E+00  3.9717E-01        0.08
  3         1.4728E+00  6.4405E-02 -3.6996E-01 -1.9543E+00  7.1152E+00 -4.8683E-01        0.08
  4         1.8595E+00  1.4361E+00  4.7765E-01 -2.3293E+00  4.9986E+00  8.2140E-01        0.08
  5         2.5427E+00 -7.6712E-01 -5.7285E-01  3.7101E-02  5.5341E+00 -7.9492E-01        0.08
  1         4.9384E-09  1.5953E-09  2.5840E-10  1.0370E-07  4.0562E-08  4.9559E-09        0.09
  2         6.4116E-01  1.0709E+00  2.7982E-01 -5.8329E+00  4.1540E+00  2.6180E-01        0.09
  3         1.4509E+00  1.3614E-01 -3.7433E-01 -2.3812E+00  7.0858E+00 -3.7812E-01        0.09
  4         1.8353E+00  1.4860E+00  4.8577E-01 -2.4636E+00  4.8924E+00  7.8639E-01        0.09
  5         2.5424E+00 -7.1104E-01 -5.8073E-01 -9.1924E-02  5.5716E+00 -7.6565E-01        0.09
  1         6.0358E-09  2.0374E-09  3.0983E-10  1.1357E-07  4.7039E-08  5.2183E-09        0.10
  2         5.8074E-01  1.1103E+00  2.8178E-01 -6.1260E+00  3.6309E+00  1.2711E-01        0.10
  3         1.4247E+00  2.0746E-01 -3.7759E-01 -2.8146E+00  7.0340E+00 -2.6480E-01        0.10
  4         1.8098E+00  1.5349E+00  4.9354E-01 -2.5939E+00  4.7844E+00  7.5138E-01        0.10
  5         2.5409E+00 -6.5459E-01 -5.8832E-01 -2.2292E-01  5.6067E+00 -7.3552E-01        0.10
  1         7.2316E-09  2.5469E-09  3.6360E-10  1.2317E-07  5.3923E-08  5.4186E-09        0.11
