Time step      Output time step      Final time       Number of bodies
1.000000E-04   1.000000E-02          5.000000E+00           100

 Body        Mass           x           y           z          vx          vy          vz
  1         1.0000E-02  4.7183E-01  1.1664E-01  7.2082E-01  0.0000E+00  0.0000E+00  0.0000E+00
  2         1.0000E-02  6.4657E-01  4.9766E-01  3.4214E-01  0.0000E+00  0.0000E+00  0.0000E+00
  3         1.0000E-02  9.5694E-01  4.0411E-02  1.8720E-01  0.0000E+00  0.0000E+00  0.0000E+00
  4         1.0000E-02  9.0037E-01  3.7476E-01  1.7935E-01  0.0000E+00  0.0000E+00  0.0000E+00
  5         1.0000E-02  9.0776E-01  9.0472E-02  8.6504E-02  0.0000E+00  0.0000E+00  0.0000E+00
  6         1.0000E-02  5.2481E-01  1.3662E-01  6.4107E-01  0.0000E+00  0.0000E+00  0.0000E+00
  7         1.0000E-02  1.8648E-01  7.3793E-01  1.6581E-01  0.0000E+00  0.0000E+00  0.0000E+00
  8         1.0000E-02  9.0726E-01  1.0333E-01  8.5543E-02  0.0000E+00  0.0000E+00  0.0000E+00
  9         1.0000E-02  8.1979E-01  1.9723E-01  4.2113E-01  0.0000E+00  0.0000E+00  0.0000E+00
 10         1.0000E-02  3.2140E-01  4.2013E-01  4.9468E-01  0.0000E+00  0.0000E+00  0.0000E+00
 11         1.0000E-02  4.2743E-01  1.5343E-01  6.1943E-01  0.0000E+00  0.0000E+00  0.0000E+00
 12         1.0000E-02  1.3750E-01  2.2933E-01  9.2862E-02  0.0000E+00  0.0000E+00  0.0000E+00
 13         1.0000E-02  7.4799E-01  3.8500E-01  2.5816E-01  0.0000E+00  0.0000E+00  0.0000E+00
 14         1.0000E-02  9.1962E-01  1.1813E-01  5.1426E-02  0.0000E+00  0.0000E+00  0.0000E+00
 15         1.0000E-02  1.3871E-02  7.7697E-01  4.1293E-01  0.0000E+00  0.0000E+00  0.0000E+00
 16         1.0000E-02  4.7370E-01  6.7464E-01  3.6421E-01  0.0000E+00  0.0000E+00  0.0000E+00
 17         1.0000E-02  7.8119E-01  4.3656E-01  8.9269E-02  0.0000E+00  0.0000E+00  0.0000E+00
 18         1.0000E-02  9.0743E-01  2.4486E-01  1.4917E-02  0.0000E+00  0.0000E+00  0.0000E+00
 19         1.0000E-02  2.0650E-01  7.7522E-01  4.2402E-01  0.0000E+00  0.0000E+00  0.0000E+00
 20         1.0000E-02  3.2896E-01  8.2323E-01  1.8425E-01  0.0000E+00  0.0000E+00  0.0000E+00
 21         1.0000E-02  4.3609E-01  2.4085E-01  7.8701E-01  0.0000E+00  0.0000E+00  0.0000E+00
 22         1.0000E-02  4.5460E-01  1.6544E-01  7.2039E-01  0.0000E+00  0.0000E+00  0.0000E+00
 23         1.0000E-02  3.0613E-01  3.4287E-01  1.9214E-01  0.0000E+00  0.0000E+00  0.0000E+00
