Time step      Output time step      Final time       Number of bodies            Theta
1.000000E-04   1.000000E-02          5.000000E+00           100               1.000000E+00

 Body        Mass           x           y           z          vx          vy          vz
  1         1.0000E-02  4.7144E-01  1.1633E-01  6.4270E-01  0.0000E+00  0.0000E+00  0.0000E+00
  2         1.0000E-02  3.1874E-01  6.1930E-01  5.1779E-01  0.0000E+00  0.0000E+00  0.0000E+00
  3         1.0000E-02  1.2237E-01  4.7298E-01  5.8755E-01  0.0000E+00  0.0000E+00  0.0000E+00
  4         1.0000E-02  1.7176E-01  1.9382E-01  5.4137E-01  0.0000E+00  0.0000E+00  0.0000E+00
  5         1.0000E-02  8.6396E-01  4.0632E-01  2.5127E-01  0.0000E+00  0.0000E+00  0.0000E+00
  6         1.0000E-02  5.0137E-01  4.0807E-02  1.5522E-01  0.0000E+00  0.0000E+00  0.0000E+00
  7         1.0000E-02  6.1969E-01  4.9524E-01  2.3198E-01  0.0000E+00  0.0000E+00  0.0000E+00
  8         1.0000E-02  6.9529E-02  4.0174E-01  7.5824E-01  0.0000E+00  0.0000E+00  0.0000E+00
  9         1.0000E-02  7.4312E-01  4.8654E-01  4.4667E-01  0.0000E+00  0.0000E+00  0.0000E+00
 10         1.0000E-02  5.4505E-01  6.5212E-01  8.4839E-02  0.0000E+00  0.0000E+00  0.0000E+00
 11         1.0000E-02  2.7017E-01  6.6696E-01  3.9611E-01  0.0000E+00  0.0000E+00  0.0000E+00
 12         1.0000E-02  7.8747E-01  2.0020E-01  1.3709E-01  0.0000E+00  0.0000E+00  0.0000E+00
 13         1.0000E-02  5.7111E-01  5.2984E-01  1.9498E-01  0.0000E+00  0.0000E+00  0.0000E+00
 14         1.0000E-02  1.2452E-01  4.0310E-01  8.4001E-02  0.0000E+00  0.0000E+00  0.0000E+00
 15         1.0000E-02  1.2526E-01  6.6275E-01  1.4564E-02  0.0000E+00  0.0000E+00  0.0000E+00
 16         1.0000E-02  5.4647E-01  4.7217E-01  3.6225E-01  0.0000E+00  0.0000E+00  0.0000E+00
 17         1.0000E-02  7.4422E-01  1.3602E-02  4.0122E-01  0.0000E+00  0.0000E+00  0.0000E+00
 18         1.0000E-02  3.0265E-01  2.6949E-01  4.4997E-01  0.0000E+00  0.0000E+00  0.0000E+00
 19         1.0000E-02  8.6294E-01  4.7003E-01  1.6106E-01  0.0000E+00  0.0000E+00  0.0000E+00
 20         1.0000E-02  7.1806E-01  1.8253E-01  6.1834E-01  0.0000E+00  0.0000E+00  0.0000E+00
 21         1.0000E-02  2.0208E-01  2.0607E-01  2.3280E-01  0.0000E+00  0.0000E+00  0.0000E+00
 22         1.0000E-02  5.7686E-01  6.9961E-01  3.5090E-01  0.0000E+00  0.0000E+00  0.0000E+00
 23         1.0000E-02  7.0689E-01  3.0011E-01  3.7795E-01  0.0000E+00  0.0000E+00  0.0000E+00
 24         1.0000E-02  8.9975E-01  4.1257E-01  4.9223E-02  0.0000E+00  0.0000E+00  0.0000E+00
 25         1.0000E-02  4.4307E-01  2.5954E-01  7.9572E-01  0.0000E+00  0.0000E+00  0.0000E+00
 26         1.0000E-02  6.7494E-01  3.8339E-01  2.9238E-02  0.0000E+00  0.0000E+00  0.0000E+00
 27         1.0000E-02  4.4198E-01  1.5964E-01  7.2885E-01  0.0000E+00  0.0000E+00  0.0000E+00
 28         1.0000E-02  5.0013E-01  4.8253E-01  2.4539E-01  0.0000E+00  0.0000E+00  0.0000E+00
 29         1.0000E-02  1.1200E-01  5.9360E-01  3.3867E-01  0.0000E+00  0.0000E+00  0.0000E+00
 30         1.0000E-02  9.8881E-02  3.7984E-01  5.4952E-01  0.0000E+00  0.0000E+00  0.0000E+00
 31         1.0000E-02  8.6946E-01  3.3242E-01  2.7108E-01  0.0000E+00  0.0000E+00  0.0000E+00
 32         1.0000E-02  1.9083E-01  3.8672E-01  4.2661E-01  0.0000E+00  0.0000E+00  0.0000E+00
 33         1.0000E-02  7.4468E-01  2.0333E-01  5.2483E-01  0.0000E+00  0.0000E+00  0.0000E+00
 34         1.0000E-02  6.1452E-01  2.1663E-01  1.0164E-01  0.0000E+00  0.0000E+00  0.0000E+00
 35         1.0000E-02  3.4630E-01  1.8535E-01  3.7917E-01  0.0000E+00  0.0000E+00  0.0000E+00
 36         1.0000E-02  3.8012E-01  6.6682E-01  6.2973E-01  0.0000E+00  0.0000E+00  0.0000E+00
 37         1.0000E-02  2.0322E-02  1.4432E-01  1.9844E-01  0.0000E+00  0.0000E+00  0.0000E+00
 38         1.0000E-02  2.8630E-01  9.3546E-02  6.8746E-01  0.0000E+00  0.0000E+00  0.0000E+00
 39         1.0000E-02  7.0932E-01  4.5817E-01  4.0697E-03  0.0000E+00  0.0000E+00  0.0000E+00
 40         1.0000E-02  8.2213E-01  2.4471E-01  9.7003E-02  0.0000E+00  0.0000E+00  0.0000E+00
 41         1.0000E-02  4.0121E-01  1.3132E-01  7.0346E-01  0.0000E+00  0.0000E+00  0.0000E+00
 42         1.0000E-02  2.3275E-01  5.0852E-01  6.3197E-01  0.0000E+00  0.0000E+00  0.0000E+00
 43         1.0000E-02  4.0521E-01  4.4488E-01  3.3259E-01  0.0000E+00  0.0000E+00  0.0000E+00
 44         1.0000E-02  5.6825E-01  6.6063E-01  4.6548E-01  0.0000E+00  0.0000E+00  0.0000E+00
 45         1.0000E-02  7.0086E-01  8.5320E-02  1.2188E-01  0.0000E+00  0.0000E+00  0.0000E+00
 46         1.0000E-02  4.9850E-01  2.8415E-01  2.2186E-01  0.0000E+00  0.0000E+00  0.0000E+00
 47         1.0000E-02  1.7935E-01  4.4522E-01  6.3177E-01  0.0000E+00  0.0000E+00  0.0000E+00
 48         1.0000E-02  8.6675E-01  3.7137E-01  2.1857E-01  0.0000E+00  0.0000E+00  0.0000E+00
 49         1.0000E-02  8.2684E-01  2.7515E-01  2.2982E-01  0.0000E+00  0.0000E+00  0.0000E+00
 50         1.0000E-02  2.6351E-01  6.4365E-01  1.1106E-01  0.0000E+00  0.0000E+00  0.0000E+00
 51         1.0000E-02  1.6370E-01  2.9367E-01  5.7963E-02  0.0000E+00  0.0000E+00  0.0000E+00
 52         1.0000E-02  8.8041E-01  2.5945E-01  3.4618E-01  0.0000E+00  0.0000E+00  0.0000E+00
 53         1.0000E-02  8.0764E-01  5.6310E-02  4.0749E-01  0.0000E+00  0.0000E+00  0.0000E+00
 54         1.0000E-02  1.6727E-01  9.7018E-01  1.2951E-01  0.0000E+00  0.0000E+00  0.0000E+00
 55         1.0000E-02  6.7450E-01  1.6353E-01  5.6101E-02  0.0000E+00  0.0000E+00  0.0000E+00
 56         1.0000E-02  6.4218E-02  1.0374E-01  9.0296E-01  0.0000E+00  0.0000E+00  0.0000E+00
 57         1.0000E-02  4.7386E-01  1.1812E-02  3.8369E-01  0.0000E+00  0.0000E+00  0.0000E+00
 58         1.0000E-02  6.5866E-01  4.0428E-01  3.6832E-01  0.0000E+00  0.0000E+00  0.0000E+00
 59         1.0000E-02  5.7263E-01  7.9076E-01  2.0432E-01  0.0000E+00  0.0000E+00  0.0000E+00
 60         1.0000E-02  3.2396E-01  8.0016E-01  1.2502E-01  0.0000E+00  0.0000E+00  0.0000E+00
 61         1.0000E-02  5.5277E-01  4.2446E-01  2.3510E-01  0.0000E+00  0.0000E+00  0.0000E+00
 62         1.0000E-02  6.5153E-01  2.0001E-01  1.9165E-01  0.0000E+00  0.0000E+00  0.0000E+00
 63         1.0000E-02  2.7818E-01  1.5179E-01  4.9777E-02  0.0000E+00  0.0000E+00  0.0000E+00
 64         1.0000E-02  6.8493E-01  1.1723E-01  2.7552E-01  0.0000E+00  0.0000E+00  0.0000E+00
 65         1.0000E-02  3.3713E-01  5.9014E-01  2.4709E-01  0.0000E+00  0.0000E+00  0.0000E+00
 66         1.0000E-02  4.1597E-02  9.0510E-01  9.4640E-02  0.0000E+00  0.0000E+00  0.0000E+00
 67         1.0000E-02  9.6831E-01  1.9306E-02  1.6051E-02  0.0000E+00  0.0000E+00  0.0000E+00
 68         1.0000E-02  6.5320E-01  3.8867E-01  3.0301E-01  0.0000E+00  0.0000E+00  0.0000E+00
 69         1.0000E-02  4.5803E-01  8.1603E-01  1.4519E-01  0.0000E+00  0.0000E+00  0.0000E+00
 70         1.0000E-02  3.9084E-01  2.8826E-01  3.8061E-01  0.0000E+00  0.0000E+00  0.0000E+00
 71         1.0000E-02  2.8796E-01  3.9205E-01  1.4570E-01  0.0000E+00  0.0000E+00  0.0000E+00
 72         1.0000E-02  6.6037E-01  7.4772E-02  3.7982E-02  0.0000E+00  0.0000E+00  0.0000E+00
 73         1.0000E-02  1.8582E-01  2.6406E-01  2.9196E-01  0.0000E+00  0.0000E+00  0.0000E+00
 74         1.0000E-02  5.2826E-01  7.5576E-01  2.9642E-01  0.0000E+00  0.0000E+00  0.0000E+00
 75         1.0000E-02  3.6107E-01  1.4565E-01  7.4214E-01  0.0000E+00  0.0000E+00  0.0000E+00
 76         1.0000E-02  5.9202E-01  5.4795E-01  4.4289E-01  0.0000E+00  0.0000E+00  0.0000E+00
 77         1.0000E-02  8.7974E-01  1.9609E-01  3.0597E-01  0.0000E+00  0.0000E+00  0.0000E+00
 78         1.0000E-02  6.7627E-01  3.1328E-02  5.6392E-01  0.0000E+00  0.0000E+00  0.0000E+00
 79         1.0000E-02  4.2762E-01  1.8329E-01  7.6525E-01  0.0000E+00  0.0000E+00  0.0000E+00
 80         1.0000E-02  8.7905E-01  2.1297E-01  2.7325E-01  0.0000E+00  0.0000E+00  0.0000E+00
 81         1.0000E-02  8.0827E-01  4.5994E-01  1.2163E-01  0.0000E+00  0.0000E+00  0.0000E+00
 82         1.0000E-02  3.1308E-01  1.4566E-01  1.4856E-01  0.0000E+00  0.0000E+00  0.0000E+00
 83         1.0000E-02  2.9255E-01  7.5111E-01  3.9379E-01  0.0000E+00  0.0000E+00  0.0000E+00
 84         1.0000E-02  8.7775E-01  1.2091E-01  1.5071E-01  0.0000E+00  0.0000E+00  0.0000E+00
 85         1.0000E-02  9.5085E-01  2.7220E-01  6.7041E-02  0.0000E+00  0.0000E+00  0.0000E+00
 86         1.0000E-02  9.0504E-01  2.7985E-01  9.4340E-02  0.0000E+00  0.0000E+00  0.0000E+00
 87         1.0000E-02  1.0669E-01  8.7425E-02  4.6937E-01  0.0000E+00  0.0000E+00  0.0000E+00
 88         1.0000E-02  9.6139E-01  1.3501E-01  2.3076E-01  0.0000E+00  0.0000E+00  0.0000E+00
 89         1.0000E-02  5.8649E-01  3.1447E-01  5.3233E-01  0.0000E+00  0.0000E+00  0.0000E+00
 90         1.0000E-02  7.9613E-01  5.1131E-01  7.8939E-02  0.0000E+00  0.0000E+00  0.0000E+00
 91         1.0000E-02  6.4527E-01  6.0385E-02  6.7734E-01  0.0000E+00  0.0000E+00  0.0000E+00
 92         1.0000E-02  1.3217E-01  6.1333E-01  5.1445E-01  0.0000E+00  0.0000E+00  0.0000E+00
 93         1.0000E-02  8.0963E-01  5.2762E-01  1.7610E-03  0.0000E+00  0.0000E+00  0.0000E+00
 94         1.0000E-02  1.7447E-01  8.9403E-01  3.1035E-02  0.0000E+00  0.0000E+00  0.0000E+00
 95         1.0000E-02  3.0615E-01  7.4547E-01  4.7691E-01  0.0000E+00  0.0000E+00  0.0000E+00
 96         1.0000E-02  5.3424E-01  2.8411E-01  7.8180E-01  0.0000E+00  0.0000E+00  0.0000E+00
 97         1.0000E-02  9.5493E-01  1.4350E-01  2.2009E-01  0.0000E+00  0.0000E+00  0.0000E+00
