Time step      Output time step      Final time       Number of bodies            Theta
1.000000E-04   1.000000E-02          1.000000E+01            10               1.000000E-01

 Body        Mass           x           y           z          vx          vy          vz
  1         8.6652E-02  1.2605E-01 -4.8999E-01 -7.4753E-01 -4.1599E-01  6.3640E-01  4.6026E-01
  2         2.1575E-02 -4.3301E-01  1.8199E-01 -6.0711E-02  4.5699E-02 -8.0696E-01 -3.6876E-01
  3         4.7800E-02  6.9166E-01 -4.1200E-01 -2.2534E-01 -9.0710E-01  5.9598E-01  6.1845E-01
  4         1.4923E-01 -5.5218E-01 -3.9934E-01 -2.3000E-01 -8.0689E-01 -3.3834E-01  6.6688E-01
  5         1.7060E-01  3.8574E-01 -6.5306E-01 -6.3152E-01 -2.5685E-01 -3.5999E-01  2.9004E-01
  6         1.4096E-01  5.7139E-01  6.2947E-02 -9.3101E-01 -2.4152E-01 -2.1408E-01 -3.3477E-01
  7         1.2368E-01  4.9825E-01 -3.0887E-02 -6.0892E-01 -7.0450E-01  6.3419E-01  9.6094E-01
  8         2.1033E-02 -8.4059E-01 -7.0030E-01 -5.9960E-01  9.0980E-02 -3.6132E-01 -9.0589E-01
  9         1.3319E-01  7.2058E-01 -5.0684E-02 -7.1223E-01 -5.1186E-01  2.3264E-01 -8.9580E-01
 10         1.0528E-01  8.1154E-01 -5.7362E-01 -7.0011E-01  8.2605E-01  1.4814E-01 -6.3140E-01
