Time step      Output time step      Final time       Number of bodies            Theta
1.000000E-04   1.000000E-02          1.000000E+01           100               1.000000E+00

 Body        Mass           x           y           z          vx          vy          vz
  1         9.9678E-03  5.5635E-01 -3.7166E-01 -1.6983E-01 -3.0818E-01  4.8185E-01 -2.7707E-01
  2         2.4819E-03  6.4655E-01 -3.1030E-01 -7.9652E-01  8.1092E-02 -6.0329E-01  7.3319E-01
  3         1.2031E-02  3.3963E-01  3.2732E-03 -8.1043E-01  4.4469E-02  2.9522E-01 -7.3916E-02
  4         5.1802E-03  6.8677E-01 -9.7663E-01 -1.3726E-01 -2.5686E-02 -7.5635E-01 -5.9881E-01
  5         3.1097E-03  8.3474E-01 -5.2306E-01 -4.1806E-01  3.1954E-01  8.4620E-02  6.9481E-01
  6         5.9818E-03 -1.9215E-01  2.2758E-01  6.5900E-02 -8.9355E-01 -6.5585E-01  1.5704E-01
  7         7.2787E-03  1.4649E-01  5.9940E-02 -4.6102E-01  5.3845E-01  8.1550E-01 -3.7494E-01
  8         1.6670E-02  8.4778E-01 -9.8693E-01 -5.0094E-01 -4.0723E-01  5.3067E-01 -2.4994E-01
  9         9.3111E-03  2.2926E-01  4.7553E-01 -7.2086E-01 -5.7832E-01  3.0596E-01  6.9053E-01
 10         1.4394E-02 -4.7797E-01 -1.2464E-01  3.9752E-01  2.7934E-01  5.2204E-01  9.9758E-01
 11         1.2592E-02 -4.7383E-01  3.5795E-01 -1.4108E-02 -3.7741E-01  2.9300E-01 -3.5541E-01
 12         7.9356E-03  7.0738E-02 -6.6286E-01 -2.8711E-01  2.9784E-01 -5.0851E-01  6.3837E-01
 13         1.7532E-02 -1.3515E-01  3.3129E-01 -1.4397E-01 -8.0179E-02 -1.3479E-01 -6.2320E-01
 14         8.7238E-03 -1.2475E-01 -5.4173E-01 -7.1135E-01  7.9540E-01 -2.8479E-01  2.7288E-01
 15         2.5913E-03 -9.6217E-01 -2.4393E-01  3.3490E-01  4.6187E-01 -5.0498E-01  7.2691E-01
 16         2.3695E-03 -9.5126E-01 -7.9548E-01 -8.3116E-01  9.6349E-01  2.4172E-02  2.2117E-01
 17         1.7470E-02  1.4180E-01  3.6280E-01 -5.5175E-01  5.9968E-01  8.1331E-01 -6.4250E-01
 18         1.6590E-02 -3.0305E-01  5.5173E-01  3.0202E-02 -9.1051E-02  9.6084E-01 -6.5513E-01
 19         1.2211E-02  4.9144E-01 -4.5730E-01 -8.4534E-02 -5.8643E-01  6.4281E-01  8.8207E-01
 20         5.8933E-03  5.2309E-01 -7.4513E-01  2.4505E-01  7.2409E-01  4.8574E-02  9.3759E-02
 21         6.1120E-03  1.3737E-01 -1.8721E-02  1.4855E-01  6.5677E-01 -5.6347E-01  2.7286E-01
 22         1.8230E-02 -4.9939E-01 -4.5174E-01  1.8832E-01  8.9265E-01 -4.0417E-01  5.1537E-01
 23         1.2877E-03 -9.1377E-01 -4.2480E-01 -2.9557E-02 -8.4001E-01  5.8686E-01 -1.9415E-01
 24         1.5289E-02 -4.8470E-01  3.6387E-01  2.9882E-01 -5.6169E-01  7.1859E-01 -1.5013E-01
 25         1.6277E-02 -9.5199E-01  8.7378E-01 -7.1864E-01  2.5427E-01  3.9597E-01  2.8171E-01
 26         1.6037E-02  3.3833E-02 -7.0131E-01  2.0453E-01 -1.6290E-01 -8.5908E-02  7.7288E-01
 27         1.7242E-02  7.5459E-01 -6.3567E-01 -1.5006E-01  6.4245E-01 -7.5348E-01  2.5593E-01
 28         1.8411E-02 -1.0576E-01 -6.0022E-02 -5.4147E-01  9.7941E-01  3.0254E-01 -1.7613E-01
 29         3.7288E-03  6.8458E-01 -5.5265E-01 -4.7065E-02 -5.8992E-01  6.7997E-01 -9.4519E-01
 30         7.6786E-05 -1.0858E-02  4.4020E-01 -7.9425E-01 -1.6352E-01 -7.1642E-01  2.6323E-01
 31         1.4372E-02 -8.7654E-01 -1.7810E-01 -8.1894E-01  1.6352E-01  9.3460E-01 -2.7756E-01
 32         3.3244E-03  3.9262E-02 -2.9403E-01 -1.7654E-01 -2.0555E-02  9.4956E-01  5.0914E-02
 33         3.6298E-03 -5.1415E-01 -9.3439E-01 -1.1176E-01  2.2980E-01 -9.9193E-01 -6.6778E-01
 34         1.1639E-02  1.1126E-01  2.3626E-02 -2.1836E-03  7.1439E-01  6.5550E-02 -9.6138E-01
 35         7.0223E-03 -7.9521E-01 -4.6107E-01 -2.7081E-01 -2.8925E-01 -5.9886E-02  7.7347E-01
 36         6.6316E-03  5.7576E-01 -2.0805E-01 -5.7943E-01  9.6720E-01  3.7843E-01  8.4400E-01
 37         1.7177E-02 -8.5829E-01  9.7229E-01 -9.2659E-01 -4.6544E-01  3.8586E-01  5.6482E-01
 38         9.7251E-03 -3.1041E-01  8.0874E-02 -7.6280E-01 -4.3796E-01 -4.3098E-01  7.7981E-01
 39         9.2150E-03  3.8474E-01  3.6370E-01 -9.6530E-01 -9.1408E-01 -7.5415E-01  4.4220E-01
 40         9.5705E-03 -6.3847E-01  6.8822E-01 -4.0301E-01  1.3028E-01 -3.9110E-01  7.3424E-01
 41         1.5257E-02 -4.6231E-01  7.8223E-01 -5.5686E-01 -9.3873E-01  7.3828E-01  2.6071E-01
 42         1.1107E-02 -4.0543E-01 -9.2636E-01 -9.2181E-01 -3.8902E-01  3.5923E-03  8.9534E-01
 43         6.0454E-03 -5.4984E-01 -6.2438E-01 -7.3383E-01  7.6633E-01 -2.1236E-01 -4.3566E-01
 44         8.6544E-03 -2.2967E-01 -1.6098E-02 -5.6998E-02  2.4541E-01 -3.3527E-02 -6.3582E-02
 45         9.3177E-03 -3.5975E-01 -7.6984E-01  6.8496E-01 -9.4811E-03 -3.0783E-01 -6.7823E-01
 46         1.3937E-02  2.4740E-01 -4.9630E-01 -6.6592E-01 -4.6512E-01  7.9691E-01  7.7458E-01
 47         2.0613E-02 -2.2177E-01 -7.4909E-02 -6.7136E-01 -3.8186E-01  8.7152E-01 -2.7720E-01
 48         1.2681E-02  2.1018E-01 -9.4234E-01  2.8776E-01 -9.0313E-01 -7.9675E-01  8.2110E-01
 49         1.9714E-02 -4.4834E-01  3.2543E-01 -5.4985E-01  8.6955E-01 -2.4926E-01 -3.6726E-01
 50         9.3762E-03 -2.3186E-01  6.2880E-01 -7.5504E-01  5.7611E-01 -9.4112E-02 -4.0676E-02
 51         2.0167E-03  2.2225E-01  1.3755E-01 -9.4058E-01 -5.1064E-01  3.2319E-01  6.1709E-01
 52         7.7517E-03 -7.1008E-01  3.4657E-02  6.7582E-01 -5.2790E-01 -5.9743E-02  5.9870E-01
 53         4.9773E-05 -5.1294E-01  8.5618E-01 -6.1505E-01  9.3874E-01  8.5909E-02  3.9610E-03
 54         1.5374E-02 -2.6539E-02 -9.8840E-01  1.3490E-01  9.2045E-01 -9.8280E-01 -2.2635E-01
 55         3.7679E-04  5.2691E-01 -2.8725E-01 -2.7237E-01 -9.6054E-01 -2.4278E-01  3.2918E-01
 56         1.6964E-02  4.4579E-01  1.9371E-01 -4.2217E-01 -9.5202E-01  5.8796E-01 -3.0722E-01
 57         1.5203E-02 -2.1545E-02 -5.7349E-01  4.4724E-01 -3.3935E-01  4.0708E-01  2.8672E-02
 58         6.7226E-03 -1.2566E-01  6.4044E-01 -6.5892E-01 -7.9769E-01 -9.4247E-01  1.4567E-01
 59         1.8741E-02 -6.6079E-01  1.2763E-01 -9.3174E-01 -2.3152E-01  9.3357E-02  9.5349E-01
 60         1.4843E-03 -8.7622E-01 -1.6390E-01  2.4180E-01 -4.0663E-01  3.5449E-01 -1.9273E-01
 61         2.2224E-03 -7.1361E-01  5.4964E-01 -4.3386E-01 -5.2857E-02  7.7149E-01 -4.4915E-01
 62         2.3695E-03  2.7937E-01 -8.7676E-01 -6.5221E-01 -2.6800E-01  2.5364E-02 -2.7478E-01
 63         1.7170E-02  7.1450E-02  3.0335E-01 -6.7738E-01 -5.8451E-01  3.5632E-01  7.7513E-01
 64         6.4997E-04  7.2074E-01 -1.0092E-01 -9.8338E-01 -2.4635E-01 -8.2082E-01  9.8384E-01
 65         1.9692E-03 -4.0136E-01  6.2694E-01 -1.1594E-01 -3.1997E-01  7.3540E-01  4.2688E-01
 66         3.6049E-04  5.1945E-01 -6.4275E-02 -7.3637E-01 -7.7011E-01 -4.2055E-01 -7.9899E-01
 67         6.2864E-03 -1.6519E-02  2.1671E-01 -8.3222E-01  4.9762E-01  7.9672E-01 -6.7913E-01
 68         9.9835E-03  1.3353E-01 -2.1860E-01 -9.7732E-01  1.5686E-01  8.2046E-01 -3.9904E-01
 69         1.6076E-02  3.9805E-01 -3.0481E-01 -1.3673E-01  7.9970E-01  1.2557E-02  7.2144E-01
 70         1.4021E-03 -3.2005E-01  7.6842E-01 -5.9228E-01  8.7342E-01  7.3290E-01  7.1219E-01
 71         4.0411E-03 -1.2331E-01 -7.5995E-01 -7.3339E-01 -3.4063E-01  1.3024E-01 -3.7287E-01
 72         1.7308E-02  2.8709E-01 -6.7325E-01 -5.1541E-01  4.4617E-01 -2.7377E-01 -1.6238E-01
 73         7.5773E-03  3.4386E-01  4.3650E-01 -8.0547E-01 -1.6343E-01  6.1308E-01 -8.1091E-01
 74         1.5064E-02  4.5094E-01 -3.8786E-02 -6.6242E-01  9.7583E-01  9.3244E-01  6.0918E-01
 75         1.5949E-02 -3.1709E-01 -9.7030E-01 -8.7268E-01 -7.8215E-01 -4.2142E-01  2.1577E-01
 76         1.5414E-02  2.5906E-01 -2.1877E-01 -9.4581E-01 -4.7607E-01  5.1075E-01  2.8494E-01
 77         9.5605E-03  2.0620E-02  6.8900E-01 -7.2054E-01 -5.0459E-01  7.3235E-01  4.3897E-02
 78         1.3709E-02  5.2516E-01 -5.3950E-01 -3.1795E-01 -1.3447E-01  7.6832E-01 -6.0234E-01
 79         2.0740E-02 -2.1038E-01 -8.4698E-01  7.3896E-02 -3.6464E-01 -4.5422E-01  3.9125E-01
 80         2.0014E-02 -6.2386E-01  8.3553E-01 -3.4641E-01  7.5720E-01  6.4259E-01 -8.8055E-01
 81         1.1648E-02  3.7984E-01 -4.1394E-01  1.6890E-01  7.0840E-01 -9.1441E-01 -6.0280E-02
 82         2.0447E-02  8.6321E-01 -8.8819E-01 -9.2995E-01 -1.4247E-01 -5.9632E-01  1.3099E-02
 83         1.9176E-02  6.3641E-01 -8.3865E-01 -7.3427E-01 -4.8050E-01 -7.5298E-01  5.7315E-01
 84         2.9843E-03 -6.2439E-01  7.5811E-01 -7.2199E-01  1.7211E-01 -7.0601E-01  3.8317E-01
 85         8.8632E-03 -5.3678E-01 -7.9181E-01 -4.1184E-01  7.0217E-01  9.8421E-02 -9.4088E-01
 86         1.3059E-02  8.5952E-01 -9.2986E-01 -8.8011E-01  8.2601E-01 -5.5482E-01  5.1948E-01
 87         8.8274E-03 -8.5353E-01 -2.6803E-01 -8.9987E-01  9.0029E-02 -8.8243E-01 -2.3184E-01
 88         1.4657E-02 -6.3782E-01  4.5398E-02 -7.2648E-01  8.0290E-01 -7.9061E-01 -2.9152E-01
 89         1.7235E-02 -4.9277E-01  3.8144E-04 -9.5002E-01  3.8182E-01  5.1876E-01  1.8213E-01
 90         2.0556E-03  2.4688E-01 -4.5497E-01 -2.0733E-01  4.6684E-01 -2.0465E-01  3.4519E-02
 91         1.2597E-02  1.3322E-01  3.8333E-01 -4.9839E-01 -3.1262E-01  9.7590E-01 -4.0765E-01
 92         1.5683E-03 -5.3323E-01 -3.0421E-01 -9.9842E-01 -1.7333E-02 -5.5507E-01 -1.3060E-01
 93         9.4977E-03 -5.8163E-01  4.5329E-01  1.8746E-01  7.2050E-01  7.1465E-01 -9.1963E-02
 94         1.4800E-02 -9.1478E-01  5.9162E-01 -7.8597E-01 -9.5555E-01  3.5610E-01 -8.0290E-01
 95         2.8320E-03  2.3049E-01  3.6661E-01 -6.6242E-01  1.2448E-01 -1.6976E-01  7.1532E-01
 96         8.6564E-03 -7.4396E-01 -6.8569E-01  3.8526E-01  7.8082E-01 -4.3946E-01 -3.6670E-02
 97         6.2902E-04  1.2910E-01 -3.1145E-04  1.0833E-01  4.2159E-01  9.3504E-01 -2.3479E-01
 98         6.3794E-03  7.4842E-01 -8.3814E-01 -6.9554E-01 -9.1842E-01 -3.6074E-01 -9.4213E-01
 99         1.6747E-03 -8.9054E-01 -8.8553E-01 -6.9281E-01  8.6832E-01  8.6289E-02 -3.1133E-01
100         1.7850E-02 -8.8569E-01  9.4552E-01 -5.6007E-01  5.2391E-01  5.2577E-01  3.7787E-01
