Time step      Output time step      Final time       Number of bodies            Theta
1.000000E-04   1.000000E-02          1.000000E+01          1000               1.000000E+00

  Body         Mass           x           y           z          vx          vy          vz
     1         9.6024E-04 -3.4525E-01  1.0073E-01  3.4606E-01 -3.7070E-01 -6.0100E-04 -9.4382E-01
     2         2.3909E-04 -1.3005E-01  4.9663E-01 -6.8991E-01 -2.6309E-01 -3.1840E-01  5.9650E-01
     3         1.8513E-03  3.5597E-01  2.9950E-01 -9.4586E-01 -7.8018E-01  6.7320E-01 -8.6489E-01
     4         9.3712E-04  8.3729E-02  3.1123E-01 -9.2528E-01 -8.3418E-01  8.6939E-01  6.5744E-01
     5         1.9353E-03 -4.3350E-01  2.6321E-01 -9.7033E-03 -5.4852E-01  8.0993E-01 -7.5849E-01
     6         1.6068E-03  3.9327E-01  7.8477E-02 -9.8611E-01  1.1078E-01 -1.3285E-01  7.2765E-01
     7         5.3063E-04 -1.6639E-01  5.2541E-01 -4.2337E-01  8.0843E-01  5.1355E-01  7.0901E-01
     8         2.3053E-05  4.4148E-01 -3.6957E-02 -8.5444E-02 -1.5804E-01  7.0693E-01 -5.5244E-01
     9         1.3208E-03 -4.3556E-01  5.0416E-01 -6.5660E-01 -8.2485E-01 -5.8028E-01  6.3131E-01
    10         1.9743E-03 -2.7873E-01 -9.1555E-01 -2.3045E-01  7.3254E-01  7.0064E-01 -4.0509E-01
    11         2.0195E-03 -1.9224E-01 -4.7833E-02  3.0810E-02 -2.7025E-01  8.9123E-01  5.6684E-01
    12         6.1742E-04 -4.2005E-01  4.5324E-01  1.6427E-01  2.7115E-01 -7.8883E-01 -8.2095E-01
    13         2.0029E-04 -8.8105E-01 -2.9823E-01  5.9128E-01 -4.3444E-02  2.9717E-01 -9.7844E-03
    14         8.3135E-04  8.9027E-01 -8.8096E-01 -3.5871E-01  7.4486E-01 -6.5885E-01  9.8632E-01
    15         1.9181E-03  5.1549E-01 -9.4742E-01 -4.5985E-01 -4.6969E-01 -4.9939E-01 -2.9736E-02
    16         1.5040E-03 -8.8023E-01  6.1157E-02 -9.1148E-01 -4.7155E-01 -3.0000E-01  3.4946E-01
    17         3.1988E-04 -7.9260E-01  6.4070E-01 -6.9963E-02  8.4600E-01 -9.7721E-01  6.1297E-01
