Time step      Output time step      Final time       Number of bodies            Theta
1.000000E-02   1.000000E-01          5.000000E+01            25               5.000000E-01

  Body         Mass           x           y           z          vx          vy          vz
     1         4.3233E-02  9.3232E-01 -7.6401E-01 -9.4650E-01  7.7121E-02  3.8816E-01 -3.0835E-01
     2         1.0681E-02 -9.8133E-01 -8.4805E-01  1.3876E-01 -2.6570E-01 -6.2711E-01 -7.4504E-01
     3         9.1478E-02 -2.0556E-03 -9.7211E-01 -3.4485E-01 -2.9199E-01  3.9943E-01  2.6341E-01
     4         8.4665E-02  2.7192E-02  3.1816E-02 -8.2816E-01 -5.5750E-01  3.4988E-01  2.8220E-01
     5         1.7362E-02  2.3575E-01 -1.8802E-01 -1.4780E-01  9.9439E-01  5.6118E-02  9.3210E-01
     6         3.1113E-03 -4.4176E-02 -8.8293E-01  5.1345E-01 -4.5204E-01 -3.4799E-01 -8.5881E-01
     7         1.9253E-03  1.4861E-01 -2.6876E-03 -7.7280E-01 -8.2344E-01  6.3575E-01 -6.1581E-01
     8         4.3225E-02 -5.7744E-01  7.3068E-01 -2.0403E-01  4.3795E-01 -3.3837E-01  3.5273E-01
     9         8.9115E-02 -8.1939E-01  5.2865E-01 -9.9369E-01  4.1057E-02 -6.2199E-02  3.6099E-01
    10         2.2062E-02  7.8106E-01 -3.9914E-01 -5.8442E-01  9.6029E-01  9.3763E-01  6.7515E-01
    11         1.4119E-02  6.9289E-01  1.2925E-02 -7.7853E-01  9.4850E-01 -4.9671E-01  2.6919E-01
    12         2.3616E-02  7.0715E-01 -1.6632E-01 -9.3464E-01  7.7195E-01 -7.9416E-01 -7.5774E-01
    13         1.1809E-03  6.9140E-01 -6.5157E-01 -7.6626E-01 -8.7883E-01 -5.2203E-02 -7.3380E-02
    14         4.0851E-02 -4.6608E-01 -3.9382E-02  1.2954E-01  9.5382E-01 -5.7102E-01 -4.5259E-01
    15         4.6029E-02 -8.0444E-01  5.0117E-01  5.8761E-02  9.3142E-01  8.2972E-01 -7.6147E-01
    16         2.7825E-02 -9.8140E-01 -9.0841E-01  8.9002E-01 -1.1458E-01 -1.0082E-01  5.4202E-01
    17         2.8299E-02 -5.5166E-01 -3.9293E-01 -8.9757E-01 -5.0097E-01 -2.0880E-01  8.3557E-01
    18         7.7595E-02 -5.0169E-01  1.3622E-02  4.2958E-01 -4.6175E-02 -2.6032E-01  4.0908E-01
    19         7.5403E-02  6.5491E-01 -8.7142E-01  4.5037E-02  1.8358E-01 -5.7017E-01 -6.7937E-01
    20         8.2316E-02  5.2458E-01 -2.4149E-01 -9.7128E-01  3.2390E-01 -6.0032E-01  8.6095E-01
    21         8.0063E-02  2.5218E-01 -8.2617E-01 -2.8826E-01 -6.5134E-01  6.3277E-01 -5.9682E-01
    22         1.8387E-02 -9.7493E-01  1.2218E-01  1.3978E-01 -6.4845E-04  2.0468E-01  4.6907E-01
    23         2.4816E-02  8.8256E-01 -5.3717E-01 -9.1504E-01 -2.0704E-01  9.9651E-01  9.8087E-03
    24         9.7848E-03 -7.0406E-01 -8.5116E-01 -7.1105E-02 -8.8298E-01  2.8525E-01 -6.2360E-01
    25         4.2855E-02  5.9884E-02 -8.8656E-01 -3.5252E-01  4.2698E-01  7.3083E-01 -7.9147E-01
