Time step      Output time step      Final time       Number of bodies            Theta
1.000000E-02   1.000000E-01          5.000000E+01           250               1.000000E+00

  Body         Mass           x           y           z          vx          vy          vz
     1         3.5847E-03 -3.8815E-01  4.6460E-01 -1.9171E-01 -9.3816E-01  3.7883E-02 -3.1784E-01
     2         8.9149E-04 -8.4160E-01 -2.8544E-01 -4.4418E-01 -7.4562E-01  3.3490E-01 -2.6451E-02
     3         3.6136E-03 -2.0992E-02  4.6859E-01 -6.3862E-01  4.9578E-01 -2.4730E-01  8.1122E-01
     4         2.0051E-04  7.3007E-01 -9.4835E-01 -6.5297E-01  2.4586E-01  7.4045E-01 -7.8591E-01
     5         3.1318E-03 -8.0460E-01 -2.0306E-01  2.8286E-01  3.6328E-01  3.3874E-01  4.4300E-02
     6         1.9940E-03 -2.6869E-01  8.4563E-02  1.8271E-01 -7.4409E-01  2.7086E-01 -6.9592E-01
     7         2.8929E-03 -4.3005E-01  8.6886E-01 -7.4518E-01 -6.9844E-01 -4.2186E-01  6.7608E-01
     8         7.5659E-03 -2.5484E-01  2.0522E-01 -6.0200E-01 -6.9680E-01 -9.6703E-01 -4.5944E-02
     9         3.7390E-03 -4.3310E-01 -1.1556E-01 -5.3046E-01 -9.6884E-01  7.9759E-01  7.2755E-01
    10         6.1764E-03  1.9490E-01  2.7453E-01 -7.1824E-01  9.9437E-01  6.5010E-01  9.9583E-01
    11         2.9725E-03  6.5681E-01  5.9869E-02 -8.2772E-01  2.6865E-01  9.4297E-01  3.4469E-01
    12         2.0023E-03 -9.9002E-01 -6.7834E-01  4.5412E-01  1.7801E-01 -6.3208E-01 -6.9576E-01
    13         5.1181E-03 -9.5027E-01  2.0086E-03 -5.4634E-01 -4.6644E-02  6.5283E-01 -1.2036E-01
    14         6.6058E-03  2.6938E-01  4.4941E-01 -6.4407E-01 -6.8713E-01  4.2580E-03  2.2212E-02
    15         5.9787E-03 -2.7260E-02 -4.0365E-01 -4.0160E-01 -8.9821E-01  1.4423E-01 -9.9124E-01
    16         5.4694E-03  1.0591E-01  1.3895E-01 -9.2105E-01  6.1073E-01 -6.2909E-02  8.3156E-01
    17         4.0269E-03  8.9146E-01 -9.0337E-01 -5.5431E-01  1.2941E-01  3.0361E-01 -8.9363E-01
    18         4.8104E-03 -7.8786E-01 -1.1794E-01  1.2765E-01  4.5419E-01 -2.1549E-01 -6.8126E-01
    19         1.5657E-03 -3.0720E-01 -2.7796E-01  4.0826E-01  9.6298E-01  6.9497E-01 -2.1717E-01
    20         7.2822E-03 -4.5609E-01  8.5494E-01 -6.3339E-01 -2.8211E-01  5.9083E-01 -9.4008E-01
    21         7.8437E-04 -2.8548E-01 -2.7085E-01 -4.6307E-01  1.5251E-01 -1.7526E-01  6.7266E-01
    22         7.5012E-03  5.7265E-01 -4.1506E-01 -6.1308E-01 -2.0989E-01 -5.3607E-01  7.0682E-03
    23         6.6656E-03 -3.4461E-01  8.5255E-01 -6.8506E-01  3.7749E-01 -2.3760E-01  4.0900E-01
    24         4.5201E-03 -8.4375E-01 -3.0366E-03 -7.6963E-01 -7.9614E-01  6.9133E-01  3.0007E-01
    25         6.7502E-03  4.3613E-02 -1.7436E-01  4.3474E-01  7.6264E-01  2.7877E-01 -4.3751E-01
    26         4.4124E-03 -6.6282E-02 -1.1121E-01  9.1751E-02  8.0661E-01  3.2698E-01 -6.5898E-01
    27         3.9087E-03  7.9311E-01 -6.6658E-01 -3.6805E-01 -4.9645E-01 -2.9296E-01  5.9285E-01
    28         2.9342E-03 -8.4880E-01 -4.6765E-01 -4.3907E-01  4.9972E-01  6.1381E-01 -1.2440E-01
    29         2.5156E-03  1.6671E-02 -3.5843E-01 -8.4497E-01 -8.6189E-01  1.3953E-01  2.8688E-01
    30         1.7999E-03 -8.7478E-01  3.0677E-01 -6.7393E-01  1.2242E-01 -7.4977E-01  4.8682E-01
    31         7.2751E-03  1.5279E-01 -3.2994E-01 -6.8979E-01  1.6679E-02  4.5874E-01  2.5466E-01
    32         4.5248E-03  4.7001E-01 -2.3812E-01 -5.1696E-01  3.4846E-03 -3.9938E-01 -2.6446E-01
    33         5.4621E-03 -8.5124E-01 -9.9516E-02  6.5978E-01 -7.7992E-01  2.8618E-02  6.4806E-02
    34         5.0139E-03 -9.3374E-01  5.5694E-01 -6.7665E-01 -7.4891E-01  1.9897E-02  7.6174E-02
    35         2.4528E-03 -8.6833E-01 -4.0261E-01  6.1929E-01 -7.6800E-01 -1.9480E-01  2.4091E-01
    36         6.5829E-04  1.9371E-01  4.3306E-01 -2.8991E-01 -7.2481E-01 -6.1522E-01  9.5254E-01
    37         5.8536E-03 -8.7272E-01 -8.4050E-01  1.4074E-01 -6.9622E-01  2.8961E-01  5.1334E-01
    38         2.3260E-03 -1.8409E-01 -9.6301E-01 -9.3141E-01 -3.0239E-01  8.0466E-01  6.2488E-01
    39         6.4237E-03 -8.7536E-01 -4.3580E-01  7.1030E-01 -5.3520E-01  3.4394E-01  8.2933E-01
    40         1.3557E-03 -8.3881E-01  8.9242E-01 -3.7618E-01  7.1773E-01 -9.9881E-02  3.6641E-01
    41         7.4956E-03 -5.5744E-01 -5.6711E-01 -4.9654E-01  4.5496E-01  1.0752E-01  6.4924E-02
    42         2.3857E-03  6.1021E-02 -3.2561E-01  3.8745E-01  3.6084E-01  1.4902E-01  8.6968E-01
    43         1.0872E-03  7.5950E-01 -3.8740E-01 -4.2186E-01  3.3611E-01  8.4342E-01  1.8422E-01
    44         2.5420E-03 -5.3913E-01  2.8768E-02  3.1413E-01  5.5437E-01  4.3515E-01 -6.5282E-01
    45         5.5503E-04  4.6928E-01 -3.8629E-01 -6.8996E-02 -8.6922E-01  4.9776E-01 -6.4738E-01
    46         3.6667E-03 -5.7533E-01  7.2012E-01 -7.4866E-01 -5.0462E-01 -9.9969E-01 -1.0349E-01
    47         3.0591E-03 -7.0007E-01  7.6914E-01 -5.1746E-01 -9.6114E-01 -4.7952E-01  9.3842E-01
