Time step      Output time step      Final time       Number of bodies            Theta
1.000000E-04   1.000000E-02          5.000000E+00           100               1.000000E+00

 Body        Mass           x           y           z          vx          vy          vz
  1         1.0000E-02  4.7093E-01  1.1720E-01  2.1602E-02  0.0000E+00  0.0000E+00  0.0000E+00
  2         1.0000E-02  6.9817E-01  2.1830E-01  5.2679E-01  0.0000E+00  0.0000E+00  0.0000E+00
  3         1.0000E-02  1.6929E-01  3.8999E-01  8.2217E-01  0.0000E+00  0.0000E+00  0.0000E+00
  4         1.0000E-02  1.1595E-01  3.9752E-01  7.8350E-02  0.0000E+00  0.0000E+00  0.0000E+00
  5         1.0000E-02  9.2881E-01  3.2025E-01  1.7084E-01  0.0000E+00  0.0000E+00  0.0000E+00
  6         1.0000E-02  7.8776E-01  7.7172E-02  1.5984E-01  0.0000E+00  0.0000E+00  0.0000E+00
  7         1.0000E-02  2.6633E-01  1.2449E-01  7.8489E-02  0.0000E+00  0.0000E+00  0.0000E+00
  8         1.0000E-02  4.2610E-01  7.9734E-01  1.6047E-01  0.0000E+00  0.0000E+00  0.0000E+00
  9         1.0000E-02  4.5307E-01  2.1925E-01  6.5708E-02  0.0000E+00  0.0000E+00  0.0000E+00
 10         1.0000E-02  1.2532E-01  3.2503E-01  8.4225E-01  0.0000E+00  0.0000E+00  0.0000E+00
 11         1.0000E-02  4.5271E-01  1.7535E-01  4.3034E-01  0.0000E+00  0.0000E+00  0.0000E+00
 12         1.0000E-02  2.8250E-01  2.3345E-01  1.0974E-01  0.0000E+00  0.0000E+00  0.0000E+00
 13         1.0000E-02  4.9151E-01  8.1045E-02  7.7794E-01  0.0000E+00  0.0000E+00  0.0000E+00
 14         1.0000E-02  7.5598E-01  4.0628E-01  4.8254E-01  0.0000E+00  0.0000E+00  0.0000E+00
 15         1.0000E-02  5.6789E-01  6.0000E-01  9.3673E-02  0.0000E+00  0.0000E+00  0.0000E+00
 16         1.0000E-02  1.2066E-01  4.9188E-01  3.9507E-02  0.0000E+00  0.0000E+00  0.0000E+00
 17         1.0000E-02  9.3884E-01  2.4185E-01  1.4274E-01  0.0000E+00  0.0000E+00  0.0000E+00
 18         1.0000E-02  2.4943E-01  1.0168E-01  5.9386E-03  0.0000E+00  0.0000E+00  0.0000E+00
 19         1.0000E-02  5.9726E-01  4.4090E-01  2.9105E-02  0.0000E+00  0.0000E+00  0.0000E+00
 20         1.0000E-02  7.7691E-01  5.9777E-02  3.3683E-01  0.0000E+00  0.0000E+00  0.0000E+00
 21         1.0000E-02  2.3357E-01  5.9255E-01  5.9180E-01  0.0000E+00  0.0000E+00  0.0000E+00
 22         1.0000E-02  8.1700E-01  3.4866E-01  2.9875E-02  0.0000E+00  0.0000E+00  0.0000E+00
 23         1.0000E-02  8.4014E-01  1.3773E-01  1.9860E-01  0.0000E+00  0.0000E+00  0.0000E+00
 24         1.0000E-02  4.6186E-01  8.2510E-01  4.8375E-02  0.0000E+00  0.0000E+00  0.0000E+00
 25         1.0000E-02  9.6947E-01  1.0455E-01  1.3884E-01  0.0000E+00  0.0000E+00  0.0000E+00
 26         1.0000E-02  9.3189E-01  2.7609E-01  1.2785E-01  0.0000E+00  0.0000E+00  0.0000E+00
 27         1.0000E-02  2.2332E-01  8.0684E-01  3.9587E-01  0.0000E+00  0.0000E+00  0.0000E+00
 28         1.0000E-02  1.1826E-01  7.1474E-01  6.6113E-01  0.0000E+00  0.0000E+00  0.0000E+00
