        Time         x1          y1          z1          x2          y2          z2          x3          y3          z3          x4          y4          z4          x5          y5          z5          x6          y6          z6          x7          y7          z7          x8          y8          z8          x9          y9          z9         x10         y10         z10 
        0.01  1.2194E-01 -4.8357E-01 -7.4284E-01 -4.3253E-01  1.7381E-01 -6.4454E-02  6.8247E-01 -4.0597E-01 -2.1917E-01 -5.6031E-01 -4.0276E-01 -2.2328E-01  3.8315E-01 -6.5663E-01 -6.2861E-01  5.6897E-01  6.0708E-02 -9.3426E-01  4.9124E-01 -2.4524E-02 -5.9932E-01 -8.3964E-01 -7.0393E-01 -6.0873E-01  7.1526E-01 -4.8335E-02 -7.2129E-01  8.1981E-01 -5.7208E-01 -7.0647E-01
        0.02  1.1803E-01 -4.7717E-01 -7.3808E-01 -4.3203E-01  1.6557E-01 -6.8234E-02  6.7322E-01 -3.9992E-01 -2.1316E-01 -5.6838E-01 -4.0617E-01 -2.1658E-01  3.8056E-01 -6.6006E-01 -6.2572E-01  5.6661E-01  5.8315E-02 -9.3726E-01  4.8441E-01 -1.8247E-02 -5.8992E-01 -8.3862E-01 -7.0752E-01 -6.1784E-01  7.0964E-01 -4.5984E-02 -7.3038E-01  8.2793E-01 -5.7045E-01 -7.1281E-01
        0.03  1.1429E-01 -4.7080E-01 -7.3324E-01 -4.3150E-01  1.5728E-01 -7.2050E-02  6.6393E-01 -3.9385E-01 -2.0730E-01 -5.7641E-01 -4.0958E-01 -2.0991E-01  3.7798E-01 -6.6335E-01 -6.2287E-01  5.6431E-01  5.5772E-02 -9.3999E-01  4.7776E-01 -1.2060E-02 -5.8072E-01 -8.3754E-01 -7.1108E-01 -6.2691E-01  7.0374E-01 -4.3626E-02 -7.3950E-01  8.3591E-01 -5.6873E-01 -7.1912E-01
        0.04  1.1074E-01 -4.6444E-01 -7.2834E-01 -4.3093E-01  1.4892E-01 -7.5904E-02  6.5457E-01 -3.8776E-01 -2.0159E-01 -5.8439E-01 -4.1298E-01 -2.0327E-01  3.7541E-01 -6.6652E-01 -6.2004E-01  5.6207E-01  5.3078E-02 -9.4246E-01  4.7126E-01 -5.9656E-03 -5.7172E-01 -8.3640E-01 -7.1460E-01 -6.3595E-01  6.9757E-01 -4.1255E-02 -7.4867E-01  8.4375E-01 -5.6693E-01 -7.2540E-01
        0.05  1.0735E-01 -4.5810E-01 -7.2337E-01 -4.3034E-01  1.4051E-01 -7.9794E-02  6.4517E-01 -3.8166E-01 -1.9602E-01 -5.9232E-01 -4.1638E-01 -1.9666E-01  3.7283E-01 -6.6955E-01 -6.1724E-01  5.5991E-01  5.0234E-02 -9.4465E-01  4.6489E-01  3.4311E-05 -5.6291E-01 -8.3520E-01 -7.1809E-01 -6.4495E-01  6.9113E-01 -3.8866E-02 -7.5789E-01  8.5145E-01 -5.6504E-01 -7.3166E-01
        0.06  1.0414E-01 -4.5178E-01 -7.1835E-01 -4.2972E-01  1.3203E-01 -8.3720E-02  6.3572E-01 -3.7554E-01 -1.9060E-01 -6.0020E-01 -4.1977E-01 -1.9007E-01  3.7026E-01 -6.7245E-01 -6.1447E-01  5.5784E-01  4.7238E-02 -9.4657E-01  4.5865E-01  5.9387E-03 -5.5429E-01 -8.3394E-01 -7.2154E-01 -6.5393E-01  6.8443E-01 -3.6453E-02 -7.6719E-01  8.5903E-01 -5.6307E-01 -7.3789E-01
        0.07  1.0109E-01 -4.4549E-01 -7.1327E-01 -4.2908E-01  1.2349E-01 -8.7682E-02  6.2622E-01 -3.6940E-01 -1.8532E-01 -6.0804E-01 -4.2316E-01 -1.8350E-01  3.6769E-01 -6.7522E-01 -6.1172E-01  5.5586E-01  4.4086E-02 -9.4818E-01  4.5251E-01  1.1747E-02 -5.4584E-01 -8.3263E-01 -7.2496E-01 -6.6287E-01  6.7747E-01 -3.4009E-02 -7.7657E-01  8.6647E-01 -5.6103E-01 -7.4410E-01
        0.08  9.8194E-02 -4.3921E-01 -7.0813E-01 -4.2840E-01  1.1489E-01 -9.1681E-02  6.1667E-01 -3.6324E-01 -1.8019E-01 -6.1582E-01 -4.2654E-01 -1.7697E-01  3.6512E-01 -6.7786E-01 -6.0900E-01  5.5400E-01  4.0776E-02 -9.4949E-01  4.4646E-01  1.7459E-02 -5.3757E-01 -8.3125E-01 -7.2834E-01 -6.7178E-01  6.7025E-01 -3.1527E-02 -7.8607E-01  8.7379E-01 -5.5891E-01 -7.5028E-01
        0.09  9.5459E-02 -4.3295E-01 -7.0295E-01 -4.2770E-01  1.0623E-01 -9.5715E-02  6.0707E-01 -3.5708E-01 -1.7519E-01 -6.2356E-01 -4.2992E-01 -1.7046E-01  3.6254E-01 -6.8037E-01 -6.0630E-01  5.5227E-01  3.7302E-02 -9.5047E-01  4.4050E-01  2.3074E-02 -5.2946E-01 -8.2983E-01 -7.3170E-01 -6.8065E-01  6.6276E-01 -2.8998E-02 -7.9570E-01  8.8099E-01 -5.5671E-01 -7.5643E-01
        0.10  9.2876E-02 -4.2671E-01 -6.9772E-01 -4.2697E-01  9.7507E-02 -9.9785E-02  5.9743E-01 -3.5089E-01 -1.7033E-01 -6.3126E-01 -4.3328E-01 -1.6397E-01  3.5997E-01 -6.8277E-01 -6.0362E-01  5.5070E-01  3.3657E-02 -9.5109E-01  4.3461E-01  2.8593E-02 -5.2151E-01 -8.2834E-01 -7.3502E-01 -6.8950E-01  6.5499E-01 -2.6412E-02 -8.0550E-01  8.8807E-01 -5.5444E-01 -7.6257E-01
