        Time         x1          y1          z1          x2          y2          z2          x3          y3          z3          x4          y4          z4          x5          y5          z5          x6          y6          z6          x7          y7          z7          x8          y8          z8          x9          y9          z9         x10         y10         z10         x11         y11         z11         x12         y12         z12         x13         y13         z13         x14         y14         z14         x15         y15         z15         x16         y16         z16         x17         y17         z17         x18         y18         z18         x19         y19         z19         x20         y20         z20         x21         y21         z21         x22         y22         z22         x23         y23         z23         x24         y24         z24         x25         y25         z25 
        0.01  7.2600E-01 -2.9287E-01 -3.1892E-01 -8.1738E-01 -4.2130E-02  4.5701E-01 -1.0869E-01  5.9063E-02 -7.3529E-01  8.7750E-01 -7.1110E-01 -5.8799E-01 -5.5640E-01  4.5161E-01 -5.2929E-02  2.3465E-01  1.1236E-01 -1.9519E-01 -2.1053E-01  2.4767E-01 -6.5363E-01 -2.4010E-01 -9.7769E-01 -7.6248E-01  1.6221E-01 -5.5983E-01  3.8900E-01 -1.2793E-01  7.7775E-01 -6.9539E-01 -3.9680E-01 -5.0593E-02 -2.2563E-01 -7.9587E-01  2.3204E-01 -7.8037E-01  4.9476E-02 -6.0869E-01  2.9249E-01  6.5486E-02  3.9239E-01 -3.9835E-01  2.5502E-01 -9.9952E-01  4.6015E-01 -9.1125E-01  1.3617E-03  4.3344E-01 -3.0639E-01  5.4164E-01 -4.9570E-01 -1.6144E-01  4.9447E-01 -2.8307E-02 -6.2834E-01 -3.8319E-01 -3.5787E-01 -8.3306E-02 -8.3297E-01  6.4039E-01  5.9790E-03  4.5341E-01 -4.0887E-01 -6.1756E-01  4.5372E-02 -7.8968E-01 -3.3802E-01 -5.5680E-01  3.9260E-01 -5.5127E-01 -6.6923E-01  5.0808E-01 -4.9665E-01 -6.0888E-01  3.7750E-01
        0.02  7.3559E-01 -2.9469E-01 -3.1734E-01 -8.2362E-01 -4.4874E-02  4.5216E-01 -1.1454E-01  5.8241E-02 -7.2578E-01  8.6800E-01 -7.1010E-01 -5.8889E-01 -5.6176E-01  4.5168E-01 -6.1245E-02  2.3337E-01  1.0801E-01 -1.8649E-01 -2.0768E-01  2.4028E-01 -6.5922E-01 -2.3526E-01 -9.7575E-01 -7.5387E-01  1.5210E-01 -5.6517E-01  3.8660E-01 -1.2476E-01  7.8098E-01 -6.9886E-01 -3.8901E-01 -4.5025E-02 -2.1903E-01 -7.9990E-01  2.2311E-01 -7.8187E-01  5.3891E-02 -6.1246E-01  2.9956E-01  6.1614E-02  4.0173E-01 -3.9030E-01  2.5214E-01 -1.0059E+00  4.5526E-01 -9.0953E-01  4.7389E-03  4.2836E-01 -3.1054E-01  5.4330E-01 -4.9460E-01 -1.6326E-01  4.8865E-01 -2.8268E-02 -6.2087E-01 -3.9207E-01 -3.5925E-01 -7.8878E-02 -8.3234E-01  6.4161E-01 -3.2257E-03  4.6016E-01 -4.0828E-01 -6.2159E-01  4.8214E-02 -7.8436E-01 -3.3241E-01 -5.6164E-01  3.9568E-01 -5.4776E-01 -6.7236E-01  5.0118E-01 -4.9329E-01 -6.0570E-01  3.8565E-01
        0.03  7.4513E-01 -2.9649E-01 -3.1576E-01 -8.3017E-01 -4.7425E-02  4.4717E-01 -1.2044E-01  5.7493E-02 -7.1618E-01  8.5846E-01 -7.0906E-01 -5.8977E-01 -5.6703E-01  4.5168E-01 -6.9603E-02  2.3200E-01  1.0371E-01 -1.7784E-01 -2.0476E-01  2.3274E-01 -6.6477E-01 -2.3042E-01 -9.7377E-01 -7.4522E-01  1.4192E-01 -5.7052E-01  3.8415E-01 -1.2158E-01  7.8412E-01 -7.0228E-01 -3.8119E-01 -3.9407E-02 -2.1246E-01 -8.0379E-01  2.1409E-01 -7.8333E-01  5.8295E-02 -6.1619E-01  3.0665E-01  5.7055E-02  4.1156E-01 -3.8240E-01  2.4921E-01 -1.0122E+00  4.5037E-01 -9.0769E-01  8.0595E-03  4.2327E-01 -3.1460E-01  5.4486E-01 -4.9346E-01 -1.6511E-01  4.8276E-01 -2.8324E-02 -6.1334E-01 -4.0086E-01 -3.6061E-01 -7.4473E-02 -8.3167E-01  6.4277E-01 -1.2135E-02  4.6653E-01 -4.0757E-01 -6.2561E-01  5.1118E-02 -7.7898E-01 -3.2691E-01 -5.6651E-01  3.9876E-01 -5.4418E-01 -6.7541E-01  4.9419E-01 -4.8994E-01 -6.0262E-01  3.9405E-01
        0.04  7.5462E-01 -2.9829E-01 -3.1418E-01 -8.3703E-01 -4.9734E-02  4.4202E-01 -1.2641E-01  5.6827E-02 -7.0648E-01  8.4890E-01 -7.0799E-01 -5.9063E-01 -5.7222E-01  4.5163E-01 -7.8001E-02  2.3053E-01  9.9435E-02 -1.6924E-01 -2.0176E-01  2.2504E-01 -6.7028E-01 -2.2559E-01 -9.7174E-01 -7.3656E-01  1.3165E-01 -5.7588E-01  3.8166E-01 -1.1842E-01  7.8715E-01 -7.0563E-01 -3.7335E-01 -3.3740E-02 -2.0592E-01 -8.0751E-01  2.0498E-01 -7.8474E-01  6.2696E-02 -6.1989E-01  3.1379E-01  5.1824E-02  4.2181E-01 -3.7471E-01  2.4625E-01 -1.0184E+00  4.4546E-01 -9.0570E-01  1.1312E-02  4.1816E-01 -3.1855E-01  5.4633E-01 -4.9228E-01 -1.6696E-01  4.7681E-01 -2.8479E-02 -6.0576E-01 -4.0957E-01 -3.6196E-01 -7.0089E-02 -8.3097E-01  6.4388E-01 -2.0756E-02  4.7255E-01 -4.0672E-01 -6.2961E-01  5.4087E-02 -7.7353E-01 -3.2152E-01 -5.7141E-01  4.0186E-01 -5.4051E-01 -6.7837E-01  4.8710E-01 -4.8664E-01 -5.9968E-01  4.0269E-01
        0.05  7.6407E-01 -3.0009E-01 -3.1262E-01 -8.4418E-01 -5.1743E-02  4.3671E-01 -1.3243E-01  5.6251E-02 -6.9670E-01  8.3930E-01 -7.0689E-01 -5.9147E-01 -5.7731E-01  4.5153E-01 -8.6439E-02  2.2898E-01  9.5196E-02 -1.6067E-01 -1.9867E-01  2.1714E-01 -6.7575E-01 -2.2075E-01 -9.6967E-01 -7.2787E-01  1.2130E-01 -5.8126E-01  3.7912E-01 -1.1525E-01  7.9009E-01 -7.0893E-01 -3.6548E-01 -2.8020E-02 -1.9942E-01 -8.1108E-01  1.9577E-01 -7.8609E-01  6.7104E-02 -6.2353E-01  3.2097E-01  4.5933E-02  4.3241E-01 -3.6725E-01  2.4324E-01 -1.0246E+00  4.4054E-01 -9.0359E-01  1.4482E-02  4.1305E-01 -3.2241E-01  5.4770E-01 -4.9106E-01 -1.6883E-01  4.7079E-01 -2.8735E-02 -5.9813E-01 -4.1819E-01 -3.6330E-01 -6.5729E-02 -8.3022E-01  6.4494E-01 -2.9098E-02  4.7827E-01 -4.0570E-01 -6.3359E-01  5.7121E-02 -7.6802E-01 -3.1625E-01 -5.7634E-01  4.0496E-01 -5.3675E-01 -6.8124E-01  4.7991E-01 -4.8341E-01 -5.9697E-01  4.1158E-01
        0.06  7.7347E-01 -3.0188E-01 -3.1105E-01 -8.5161E-01 -5.3394E-02  4.3123E-01 -1.3853E-01  5.5776E-02 -6.8682E-01  8.2967E-01 -7.0576E-01 -5.9230E-01 -5.8231E-01  4.5137E-01 -9.4913E-02  2.2733E-01  9.0989E-02 -1.5215E-01 -1.9551E-01  2.0901E-01 -6.8115E-01 -2.1591E-01 -9.6755E-01 -7.1916E-01  1.1084E-01 -5.8668E-01  3.7651E-01 -1.1209E-01  7.9294E-01 -7.1216E-01 -3.5759E-01 -2.2248E-02 -1.9296E-01 -8.1447E-01  1.8647E-01 -7.8739E-01  7.1536E-02 -6.2710E-01  3.2824E-01  3.9397E-02  4.4330E-01 -3.6006E-01  2.4020E-01 -1.0308E+00  4.3561E-01 -9.0135E-01  1.7556E-02  4.0792E-01 -3.2616E-01  5.4896E-01 -4.8979E-01 -1.7072E-01  4.6471E-01 -2.9096E-02 -5.9045E-01 -4.2674E-01 -3.6463E-01 -6.1392E-02 -8.2944E-01  6.4594E-01 -3.7167E-02  4.8372E-01 -4.0448E-01 -6.3757E-01  6.0222E-02 -7.6246E-01 -3.1108E-01 -5.8129E-01  4.0807E-01 -5.3289E-01 -6.8400E-01  4.7263E-01 -4.8028E-01 -5.9454E-01  4.2070E-01
        0.07  7.8282E-01 -3.0367E-01 -3.0950E-01 -8.5929E-01 -5.4629E-02  4.2556E-01 -1.4469E-01  5.5415E-02 -6.7687E-01  8.2000E-01 -7.0460E-01 -5.9310E-01 -5.8721E-01  4.5114E-01 -1.0342E-01  2.2558E-01  8.6811E-02 -1.4367E-01 -1.9225E-01  2.0059E-01 -6.8647E-01 -2.1107E-01 -9.6538E-01 -7.1043E-01  1.0027E-01 -5.9216E-01  3.7380E-01 -1.0894E-01  7.9568E-01 -7.1532E-01 -3.4967E-01 -1.6420E-02 -1.8654E-01 -8.1767E-01  1.7708E-01 -7.8862E-01  7.6012E-02 -6.3056E-01  3.3562E-01  3.2227E-02  4.5442E-01 -3.5317E-01  2.3711E-01 -1.0369E+00  4.3067E-01 -8.9899E-01  2.0520E-02  4.0278E-01 -3.2981E-01  5.5012E-01 -4.8848E-01 -1.7261E-01  4.5857E-01 -2.9563E-02 -5.8273E-01 -4.3520E-01 -3.6594E-01 -5.7079E-02 -8.2861E-01  6.4688E-01 -4.4970E-02  4.8892E-01 -4.0305E-01 -6.4155E-01  6.3389E-02 -7.5685E-01 -3.0604E-01 -5.8628E-01  4.1118E-01 -5.2892E-01 -6.8664E-01  4.6527E-01 -4.7727E-01 -5.9246E-01  4.3001E-01
        0.08  7.9213E-01 -3.0545E-01 -3.0795E-01 -8.6717E-01 -5.5397E-02  4.1971E-01 -1.5092E-01  5.5179E-02 -6.6684E-01  8.1031E-01 -7.0340E-01 -5.9389E-01 -5.9202E-01  4.5086E-01 -1.1197E-01  2.2375E-01  8.2663E-02 -1.3523E-01 -1.8891E-01  1.9184E-01 -6.9168E-01 -2.0624E-01 -9.6317E-01 -7.0167E-01  8.9568E-02 -5.9777E-01  3.7096E-01 -1.0580E-01  7.9833E-01 -7.1842E-01 -3.4172E-01 -1.0537E-02 -1.8016E-01 -8.2067E-01  1.6759E-01 -7.8979E-01  8.0548E-02 -6.3382E-01  3.4318E-01  2.4431E-02  4.6571E-01 -3.4661E-01  2.3399E-01 -1.0429E+00  4.2572E-01 -8.9652E-01  2.3363E-02  3.9764E-01 -3.3336E-01  5.5119E-01 -4.8710E-01 -1.7452E-01  4.5236E-01 -3.0140E-02 -5.7496E-01 -4.4359E-01 -3.6725E-01 -5.2789E-02 -8.2775E-01  6.4777E-01 -5.2512E-02  4.9391E-01 -4.0138E-01 -6.4554E-01  6.6622E-02 -7.5119E-01 -3.0111E-01 -5.9128E-01  4.1430E-01 -5.2484E-01 -6.8913E-01  4.5784E-01 -4.7440E-01 -5.9079E-01  4.3945E-01
        0.09  8.0138E-01 -3.0724E-01 -3.0641E-01 -8.7520E-01 -5.5654E-02  4.1368E-01 -1.5722E-01  5.5081E-02 -6.5675E-01  8.0058E-01 -7.0217E-01 -5.9465E-01 -5.9674E-01  4.5051E-01 -1.2055E-01  2.2181E-01  7.8543E-02 -1.2682E-01 -1.8549E-01  1.8273E-01 -6.9672E-01 -2.0140E-01 -9.6092E-01 -6.9289E-01  7.8761E-02 -6.0362E-01  3.6792E-01 -1.0266E-01  8.0089E-01 -7.2145E-01 -3.3375E-01 -4.5954E-03 -1.7382E-01 -8.2347E-01  1.5802E-01 -7.9087E-01  8.5106E-02 -6.3671E-01  3.5101E-01  1.6019E-02  4.7714E-01 -3.4041E-01  2.3082E-01 -1.0489E+00  4.2077E-01 -8.9396E-01  2.6073E-02  3.9249E-01 -3.3679E-01  5.5214E-01 -4.8567E-01 -1.7644E-01  4.4610E-01 -3.0830E-02 -5.6714E-01 -4.5190E-01 -3.6853E-01 -4.8524E-02 -8.2685E-01  6.4859E-01 -5.9795E-02  4.9871E-01 -3.9947E-01 -6.4954E-01  6.9918E-02 -7.4549E-01 -2.9631E-01 -5.9631E-01  4.1742E-01 -5.2064E-01 -6.9149E-01  4.5036E-01 -4.7168E-01 -5.8957E-01  4.4894E-01
        0.10  8.1059E-01 -3.0902E-01 -3.0487E-01 -8.8330E-01 -5.5374E-02  4.0745E-01 -1.6358E-01  5.5130E-02 -6.4662E-01  7.9082E-01 -7.0090E-01 -5.9539E-01 -6.0135E-01  4.5011E-01 -1.2916E-01  2.1979E-01  7.4449E-02 -1.1846E-01 -1.8200E-01  1.7320E-01 -7.0153E-01 -1.9656E-01 -9.5862E-01 -6.8408E-01  6.7986E-02 -6.0987E-01  3.6467E-01 -9.9542E-02  8.0336E-01 -7.2442E-01 -3.2576E-01  1.4052E-03 -1.6752E-01 -8.2604E-01  1.4837E-01 -7.9187E-01  8.9478E-02 -6.3899E-01  3.5913E-01  6.9955E-03  4.8865E-01 -3.3459E-01  2.2762E-01 -1.0549E+00  4.1581E-01 -8.9131E-01  2.8645E-02  3.8733E-01 -3.4012E-01  5.5300E-01 -4.8418E-01 -1.7837E-01  4.3977E-01 -3.1634E-02 -5.5929E-01 -4.6013E-01 -3.6981E-01 -4.4285E-02 -8.2591E-01  6.4936E-01 -6.6824E-02  5.0334E-01 -3.9728E-01 -6.5356E-01  7.3275E-02 -7.3975E-01 -2.9162E-01 -6.0136E-01  4.2053E-01 -5.1634E-01 -6.9370E-01  4.4285E-01 -4.6908E-01 -5.8881E-01  4.5838E-01
