        Time         x1          y1          z1          x2          y2          z2          x3          y3          z3 
        0.01 -1.6999E-01 -1.8820E-01 -8.3893E-01  6.4745E-01 -7.0916E-01 -4.5581E-02 -8.5711E-01 -8.0658E-01 -8.3721E-03
        0.02 -1.7287E-01 -1.9733E-01 -8.3047E-01  6.5733E-01 -7.1864E-01 -3.9899E-02 -8.4980E-01 -8.1101E-01 -1.3548E-02
        0.03 -1.7576E-01 -2.0648E-01 -8.2198E-01  6.6718E-01 -7.2812E-01 -3.4235E-02 -8.4246E-01 -8.1542E-01 -1.8745E-02
        0.04 -1.7866E-01 -2.1565E-01 -8.1346E-01  6.7699E-01 -7.3759E-01 -2.8587E-02 -8.3510E-01 -8.1981E-01 -2.3961E-02
        0.05 -1.8158E-01 -2.2483E-01 -8.0492E-01  6.8676E-01 -7.4704E-01 -2.2957E-02 -8.2772E-01 -8.2419E-01 -2.9199E-02
        0.06 -1.8451E-01 -2.3404E-01 -7.9636E-01  6.9649E-01 -7.5649E-01 -1.7343E-02 -8.2031E-01 -8.2855E-01 -3.4458E-02
        0.07 -1.8745E-01 -2.4326E-01 -7.8776E-01  7.0619E-01 -7.6592E-01 -1.1746E-02 -8.1288E-01 -8.3290E-01 -3.9738E-02
        0.08 -1.9041E-01 -2.5251E-01 -7.7914E-01  7.1584E-01 -7.7535E-01 -6.1656E-03 -8.0543E-01 -8.3722E-01 -4.5041E-02
        0.09 -1.9339E-01 -2.6178E-01 -7.7050E-01  7.2546E-01 -7.8476E-01 -6.0097E-04 -7.9796E-01 -8.4153E-01 -5.0368E-02
        0.10 -1.9638E-01 -2.7107E-01 -7.6182E-01  7.3504E-01 -7.9417E-01  4.9476E-03 -7.9045E-01 -8.4582E-01 -5.5718E-02
        0.11 -1.9938E-01 -2.8039E-01 -7.5311E-01  7.4458E-01 -8.0357E-01  1.0480E-02 -7.8293E-01 -8.5009E-01 -6.1092E-02
        0.12 -2.0241E-01 -2.8973E-01 -7.4438E-01  7.5408E-01 -8.1295E-01  1.5997E-02 -7.7538E-01 -8.5433E-01 -6.6491E-02
        0.13 -2.0545E-01 -2.9909E-01 -7.3561E-01  7.6354E-01 -8.2233E-01  2.1499E-02 -7.6780E-01 -8.5856E-01 -7.1916E-02
        0.14 -2.0852E-01 -3.0848E-01 -7.2681E-01  7.7297E-01 -8.3170E-01  2.6985E-02 -7.6019E-01 -8.6276E-01 -7.7368E-02
        0.15 -2.1160E-01 -3.1790E-01 -7.1798E-01  7.8236E-01 -8.4106E-01  3.2456E-02 -7.5256E-01 -8.6694E-01 -8.2846E-02
        0.16 -2.1470E-01 -3.2734E-01 -7.0912E-01  7.9171E-01 -8.5041E-01  3.7912E-02 -7.4490E-01 -8.7110E-01 -8.8353E-02
        0.17 -2.1783E-01 -3.3682E-01 -7.0022E-01  8.0103E-01 -8.5975E-01  4.3353E-02 -7.3720E-01 -8.7522E-01 -9.3889E-02
        0.18 -2.2098E-01 -3.4632E-01 -6.9129E-01  8.1030E-01 -8.6908E-01  4.8780E-02 -7.2948E-01 -8.7933E-01 -9.9455E-02
        0.19 -2.2415E-01 -3.5586E-01 -6.8232E-01  8.1954E-01 -8.7841E-01  5.4191E-02 -7.2173E-01 -8.8340E-01 -1.0505E-01
        0.20 -2.2734E-01 -3.6542E-01 -6.7332E-01  8.2875E-01 -8.8772E-01  5.9589E-02 -7.1394E-01 -8.8744E-01 -1.1068E-01
        0.21 -2.3057E-01 -3.7503E-01 -6.6428E-01  8.3791E-01 -8.9703E-01  6.4971E-02 -7.0612E-01 -8.9146E-01 -1.1634E-01
        0.22 -2.3382E-01 -3.8467E-01 -6.5519E-01  8.4704E-01 -9.0632E-01  7.0340E-02 -6.9826E-01 -8.9544E-01 -1.2204E-01
        0.23 -2.3709E-01 -3.9434E-01 -6.4607E-01  8.5613E-01 -9.1561E-01  7.5695E-02 -6.9037E-01 -8.9938E-01 -1.2777E-01
        0.24 -2.4040E-01 -4.0406E-01 -6.3691E-01  8.6519E-01 -9.2489E-01  8.1035E-02 -6.8245E-01 -9.0329E-01 -1.3353E-01
        0.25 -2.4374E-01 -4.1382E-01 -6.2771E-01  8.7421E-01 -9.3416E-01  8.6362E-02 -6.7448E-01 -9.0717E-01 -1.3934E-01
        0.26 -2.4711E-01 -4.2362E-01 -6.1846E-01  8.8320E-01 -9.4343E-01  9.1675E-02 -6.6647E-01 -9.1100E-01 -1.4518E-01
        0.27 -2.5051E-01 -4.3347E-01 -6.0916E-01  8.9214E-01 -9.5268E-01  9.6974E-02 -6.5843E-01 -9.1479E-01 -1.5107E-01
        0.28 -2.5395E-01 -4.4337E-01 -5.9982E-01  9.0106E-01 -9.6193E-01  1.0226E-01 -6.5034E-01 -9.1853E-01 -1.5700E-01
        0.29 -2.5743E-01 -4.5332E-01 -5.9043E-01  9.0994E-01 -9.7117E-01  1.0753E-01 -6.4220E-01 -9.2223E-01 -1.6297E-01
        0.30 -2.6094E-01 -4.6332E-01 -5.8098E-01  9.1878E-01 -9.8040E-01  1.1279E-01 -6.3402E-01 -9.2587E-01 -1.6899E-01
        0.31 -2.6450E-01 -4.7339E-01 -5.7149E-01  9.2759E-01 -9.8962E-01  1.1804E-01 -6.2580E-01 -9.2946E-01 -1.7505E-01
        0.32 -2.6810E-01 -4.8351E-01 -5.6194E-01  9.3636E-01 -9.9883E-01  1.2327E-01 -6.1752E-01 -9.3299E-01 -1.8117E-01
        0.33 -2.7175E-01 -4.9370E-01 -5.5233E-01  9.4510E-01 -1.0080E+00  1.2849E-01 -6.0918E-01 -9.3646E-01 -1.8734E-01
        0.34 -2.7545E-01 -5.0397E-01 -5.4266E-01  9.5380E-01 -1.0172E+00  1.3370E-01 -6.0080E-01 -9.3986E-01 -1.9356E-01
        0.35 -2.7920E-01 -5.1431E-01 -5.3293E-01  9.6247E-01 -1.0264E+00  1.3889E-01 -5.9235E-01 -9.4320E-01 -1.9984E-01
        0.36 -2.8300E-01 -5.2473E-01 -5.2313E-01  9.7110E-01 -1.0356E+00  1.4407E-01 -5.8384E-01 -9.4645E-01 -2.0617E-01
        0.37 -2.8687E-01 -5.3524E-01 -5.1327E-01  9.7970E-01 -1.0448E+00  1.4924E-01 -5.7527E-01 -9.4962E-01 -2.1257E-01
        0.38 -2.9079E-01 -5.4585E-01 -5.0334E-01  9.8827E-01 -1.0540E+00  1.5440E-01 -5.6664E-01 -9.5270E-01 -2.1904E-01
        0.39 -2.9478E-01 -5.5657E-01 -4.9333E-01  9.9680E-01 -1.0631E+00  1.5954E-01 -5.5793E-01 -9.5568E-01 -2.2557E-01
        0.40 -2.9884E-01 -5.6739E-01 -4.8324E-01  1.0053E+00 -1.0723E+00  1.6467E-01 -5.4914E-01 -9.5855E-01 -2.3218E-01
        0.41 -3.0298E-01 -5.7835E-01 -4.7307E-01  1.0138E+00 -1.0814E+00  1.6979E-01 -5.4028E-01 -9.6130E-01 -2.3886E-01
        0.42 -3.0720E-01 -5.8944E-01 -4.6282E-01  1.0222E+00 -1.0906E+00  1.7490E-01 -5.3133E-01 -9.6392E-01 -2.4562E-01
        0.43 -3.1150E-01 -6.0068E-01 -4.5248E-01  1.0306E+00 -1.0997E+00  1.7999E-01 -5.2228E-01 -9.6640E-01 -2.5246E-01
        0.44 -3.1589E-01 -6.1209E-01 -4.4205E-01  1.0390E+00 -1.1088E+00  1.8507E-01 -5.1315E-01 -9.6872E-01 -2.5939E-01
        0.45 -3.2039E-01 -6.2368E-01 -4.3152E-01  1.0473E+00 -1.1179E+00  1.9014E-01 -5.0391E-01 -9.7086E-01 -2.6641E-01
        0.46 -3.2499E-01 -6.3549E-01 -4.2089E-01  1.0556E+00 -1.1270E+00  1.9520E-01 -4.9456E-01 -9.7280E-01 -2.7352E-01
        0.47 -3.2970E-01 -6.4754E-01 -4.1015E-01  1.0639E+00 -1.1361E+00  2.0025E-01 -4.8509E-01 -9.7452E-01 -2.8073E-01
        0.48 -3.3454E-01 -6.5985E-01 -3.9931E-01  1.0721E+00 -1.1452E+00  2.0528E-01 -4.7550E-01 -9.7597E-01 -2.8804E-01
        0.49 -3.3951E-01 -6.7247E-01 -3.8836E-01  1.0803E+00 -1.1543E+00  2.1031E-01 -4.6577E-01 -9.7714E-01 -2.9545E-01
        0.50 -3.4462E-01 -6.8544E-01 -3.7730E-01  1.0885E+00 -1.1634E+00  2.1532E-01 -4.5590E-01 -9.7796E-01 -3.0297E-01
        0.51 -3.4988E-01 -6.9883E-01 -3.6613E-01  1.0967E+00 -1.1725E+00  2.2032E-01 -4.4587E-01 -9.7840E-01 -3.1058E-01
        0.53 -3.5531E-01 -7.1269E-01 -3.5487E-01  1.1048E+00 -1.1815E+00  2.2531E-01 -4.3569E-01 -9.7837E-01 -3.1828E-01
        0.54 -3.6089E-01 -7.2712E-01 -3.4353E-01  1.1128E+00 -1.1906E+00  2.3028E-01 -4.2533E-01 -9.7780E-01 -3.2605E-01
        0.55 -3.6665E-01 -7.4221E-01 -3.3215E-01  1.1209E+00 -1.1997E+00  2.3525E-01 -4.1481E-01 -9.7659E-01 -3.3387E-01
        0.56 -3.7256E-01 -7.5811E-01 -3.2077E-01  1.1289E+00 -1.2087E+00  2.4020E-01 -4.0413E-01 -9.7462E-01 -3.4167E-01
