        Time         x1          y1          z1          x2          y2          z2          x3          y3          z3          x4          y4          z4          x5          y5          z5          x6          y6          z6          x7          y7          z7          x8          y8          z8          x9          y9          z9         x10         y10         z10         x11         y11         z11         x12         y12         z12         x13         y13         z13         x14         y14         z14         x15         y15         z15         x16         y16         z16         x17         y17         z17         x18         y18         z18         x19         y19         z19         x20         y20         z20         x21         y21         z21         x22         y22         z22         x23         y23         z23         x24         y24         z24         x25         y25         z25         x26         y26         z26         x27         y27         z27         x28         y28         z28         x29         y29         z29         x30         y30         z30         x31         y31         z31         x32         y32         z32         x33         y33         z33         x34         y34         z34         x35         y35         z35         x36         y36         z36         x37         y37         z37         x38         y38         z38         x39         y39         z39         x40         y40         z40         x41         y41         z41         x42         y42         z42         x43         y43         z43         x44         y44         z44         x45         y45         z45         x46         y46         z46         x47         y47         z47         x48         y48         z48         x49         y49         z49         x50         y50         z50 
        0.10 -8.0312E-02 -4.9756E-01 -2.4942E-01 -3.1129E-01 -7.3583E-01 -6.5216E-01  3.8042E-01  9.4288E-02 -5.5180E-01  2.7085E-02 -5.8808E-01  5.8539E-01 -6.4757E-01  5.9447E-01 -7.0797E-01  5.3484E-01 -8.4045E-01 -3.7097E-01  6.9211E-01 -4.7562E-02 -2.7928E-01 -6.1593E-02 -4.9040E-02 -3.0912E-01 -2.5372E-02  5.5725E-01 -8.5691E-01  3.1453E-01  1.5862E-01 -4.0187E-01  4.6911E-01  3.9564E-02 -7.5857E-01  9.1225E-01 -3.6472E-01 -1.0789E+00  1.2278E-01  1.6001E-01 -6.3855E-01  5.4000E-01 -6.4714E-01 -1.6674E-01 -8.5293E-01 -5.2204E-01 -3.3074E-01 -8.1464E-01 -9.4297E-01 -6.3525E-01 -7.5301E-01  5.1774E-01 -7.5461E-01  4.3333E-02  4.2052E-01 -4.6235E-01  4.5068E-01 -2.6613E-01 -5.3775E-01 -2.0278E-02  5.6952E-01 -8.7561E-01 -6.9973E-01 -3.5694E-01  4.1169E-01 -3.4662E-01  4.3223E-01 -8.9657E-01  9.2551E-02 -9.7060E-01 -2.6922E-01  6.4484E-01 -2.4410E-01 -5.7748E-01 -5.8301E-01 -5.9648E-01  5.5725E-01 -4.4801E-01 -1.0804E-01 -3.7156E-01  3.7435E-03  2.4190E-01 -4.1092E-01  3.2789E-01  3.4124E-01 -6.0762E-01 -3.6253E-01 -6.6710E-01  5.2117E-01  8.0473E-02 -9.4757E-01  3.5194E-01  1.5960E-02 -2.2437E-01 -8.5421E-01  3.9929E-01  1.4665E-01 -5.6387E-01  3.2948E-01 -7.8033E-01 -2.0377E-01  2.8474E-01  1.4224E-01 -5.4623E-01 -6.5918E-02  4.9405E-01 -2.6313E-01 -7.6784E-01 -6.8872E-01 -8.0735E-01  1.4897E-01 -9.1225E-01 -3.4384E-01 -2.4878E-01 -3.5894E-01 -7.8127E-01 -7.7736E-01  6.6050E-01 -5.0869E-01  4.0071E-01 -6.7579E-01 -9.3840E-01 -1.9879E-01  6.9169E-01 -7.2281E-01 -1.5946E-01  4.3244E-01 -4.6808E-01 -8.4672E-01 -8.5058E-01 -5.2224E-01  3.1008E-01 -3.7334E-01 -4.4735E-01 -9.3152E-01 -9.7484E-01 -2.1296E-01 -8.6401E-01 -9.2014E-01 -6.7436E-01  8.6076E-01 -1.7629E-01 -8.4797E-01  8.9895E-01 -8.5932E-01 -5.7898E-01  3.3416E-01 -4.9796E-01  1.2521E-01  5.0089E-01 -5.5718E-01 -4.3965E-01
        0.21 -1.2214E-01 -4.3588E-01 -3.0295E-01 -2.7089E-01 -6.3752E-01 -6.2162E-01  4.7275E-01  1.0238E-01 -5.1359E-01 -1.7358E-02 -5.9600E-01  5.4313E-01 -6.6627E-01  6.2122E-01 -7.9029E-01  4.2567E-01 -8.1374E-01 -4.1632E-01  7.6779E-01  2.4180E-02 -2.1931E-01 -9.4154E-02 -1.4479E-01 -2.1209E-01  9.7672E-02  5.4935E-01 -8.4100E-01  3.4947E-01  2.4176E-01 -3.8900E-01  3.7221E-01  2.3879E-02 -7.6546E-01  9.8226E-01 -3.5669E-01 -1.1586E+00  4.8596E-02  4.4180E-02 -6.6366E-01  5.9996E-01 -5.6998E-01 -7.9528E-02 -8.7225E-01 -4.6731E-01 -3.3691E-01 -9.0552E-01 -9.1805E-01 -5.9427E-01 -7.0702E-01  4.5488E-01 -7.1739E-01  8.1837E-02  3.3586E-01 -3.9125E-01  4.2895E-01 -3.3601E-01 -5.2583E-01  6.5864E-02  5.3332E-01 -8.0467E-01 -7.3474E-01 -2.9014E-01  4.9328E-01 -3.8309E-01  5.0146E-01 -8.8153E-01  9.0653E-02 -1.0440E+00 -2.1125E-01  6.4716E-01 -2.5092E-01 -5.9548E-01 -6.5004E-01 -5.8884E-01  5.0984E-01 -3.5803E-01 -2.0105E-01 -2.6918E-01  6.3813E-02  3.1635E-01 -4.5471E-01  2.7351E-01  2.7034E-01 -5.0929E-01 -3.4960E-01 -6.7580E-01  4.3185E-01  2.7112E-03 -1.0178E+00  3.0137E-01 -6.5536E-02 -2.3713E-01 -8.1850E-01  4.1590E-01  9.8805E-02 -4.2865E-01  2.3892E-01 -7.8717E-01 -1.9148E-01  4.1810E-01  4.4959E-02 -6.2144E-01 -1.5239E-01  5.2711E-01 -3.8533E-01 -6.9046E-01 -7.4173E-01 -8.0543E-01  2.5283E-01 -8.2543E-01 -3.3302E-01 -2.2041E-01 -3.8923E-01 -8.6199E-01 -7.8280E-01  6.6421E-01 -4.9934E-01  4.3399E-01 -5.9444E-01 -8.7970E-01 -1.6484E-01  6.3738E-01 -7.0537E-01 -2.0140E-01  5.0484E-01 -4.0846E-01 -7.3879E-01 -9.1354E-01 -5.7784E-01  3.6443E-01 -3.3763E-01 -4.4555E-01 -8.6489E-01 -1.0146E+00 -1.5607E-01 -8.6422E-01 -9.3325E-01 -5.6378E-01  9.4589E-01 -1.1650E-01 -8.5368E-01  9.0116E-01 -7.8059E-01 -5.7622E-01  2.7384E-01 -5.5586E-01  1.1803E-01  3.8331E-01 -5.2908E-01 -5.2074E-01
        0.32 -1.5788E-01 -3.7093E-01 -3.5871E-01 -2.2606E-01 -5.3321E-01 -5.8790E-01  5.3516E-01  1.2130E-01 -4.4873E-01 -6.2160E-02 -6.0399E-01  4.9281E-01 -6.8033E-01  6.3599E-01 -8.6628E-01  3.0322E-01 -7.7533E-01 -4.5233E-01  8.3147E-01  9.3570E-02 -1.6748E-01 -1.2173E-01 -2.4240E-01 -1.2310E-01  1.5133E-01  5.2610E-01 -7.7639E-01  3.7827E-01  3.0573E-01 -4.0206E-01  2.7040E-01  8.2296E-03 -7.5277E-01  1.0468E+00 -3.4723E-01 -1.2324E+00 -1.7286E-02 -7.1086E-02 -6.8122E-01  6.4927E-01 -4.9022E-01  1.1933E-03 -8.8566E-01 -4.1424E-01 -3.4472E-01 -9.5717E-01 -8.7735E-01 -5.3885E-01 -6.5246E-01  3.9336E-01 -6.7797E-01  1.2646E-01  2.3784E-01 -3.3698E-01  4.0183E-01 -4.0162E-01 -5.0845E-01  1.5662E-01  4.8866E-01 -7.2903E-01 -7.6530E-01 -2.2772E-01  5.7088E-01 -4.1547E-01  5.6702E-01 -8.5858E-01  9.3783E-02 -1.1021E+00 -1.5522E-01  6.3346E-01 -2.5616E-01 -6.0915E-01 -7.1285E-01 -5.8050E-01  4.5761E-01 -2.5852E-01 -2.9521E-01 -1.7050E-01  1.3691E-01  3.8606E-01 -4.9370E-01  2.2937E-01  1.8283E-01 -3.9751E-01 -3.3601E-01 -6.8225E-01  3.3792E-01 -7.4414E-02 -1.0819E+00  2.4526E-01 -1.4349E-01 -2.4788E-01 -7.7426E-01  4.4191E-01  4.3264E-02 -3.4075E-01  1.4865E-01 -7.8898E-01 -1.9096E-01  5.6207E-01 -4.3044E-02 -6.6422E-01 -2.8505E-01  5.3448E-01 -4.8932E-01 -6.1177E-01 -7.9537E-01 -7.9490E-01  3.5380E-01 -7.2625E-01 -3.0662E-01 -1.8558E-01 -4.1495E-01 -9.3485E-01 -7.8133E-01  6.6193E-01 -4.9328E-01  4.6466E-01 -5.0611E-01 -8.1105E-01 -1.2922E-01  5.7096E-01 -6.8296E-01 -1.8928E-01  5.8617E-01 -3.7688E-01 -6.4893E-01 -9.7733E-01 -6.3941E-01  4.3400E-01 -3.0711E-01 -4.7283E-01 -7.9425E-01 -1.0494E+00 -1.0374E-01 -9.5057E-01 -9.7526E-01 -4.8397E-01  1.0217E+00 -5.9003E-02 -8.5531E-01  8.9548E-01 -6.9605E-01 -5.7256E-01  2.1113E-01 -6.1391E-01  1.0091E-01  2.6550E-01 -4.8698E-01 -5.9875E-01
        0.43 -1.8701E-01 -3.0313E-01 -4.1596E-01 -1.7455E-01 -4.2133E-01 -5.5041E-01  5.7692E-01  1.3469E-01 -3.7600E-01 -1.0708E-01 -6.1188E-01  4.3370E-01 -6.8549E-01  6.4356E-01 -9.3551E-01  1.7674E-01 -7.2279E-01 -4.7444E-01  8.8412E-01  1.6014E-01 -1.2267E-01 -1.4804E-01 -3.4492E-01 -4.4869E-02  2.0819E-01  4.5958E-01 -6.6088E-01  3.9752E-01  3.4763E-01 -4.2142E-01  1.6501E-01 -1.0610E-02 -7.2641E-01  1.1068E+00 -3.3675E-01 -1.3012E+00 -7.8175E-02 -1.8865E-01 -6.9330E-01  6.8989E-01 -4.0859E-01  7.4773E-02 -8.9308E-01 -3.6269E-01 -3.5358E-01 -9.9980E-01 -8.4347E-01 -4.7575E-01 -5.8950E-01  3.3292E-01 -6.3690E-01  2.0656E-01  1.0547E-01 -3.0072E-01  3.7005E-01 -4.5876E-01 -4.9073E-01  2.4385E-01  4.3795E-01 -6.4887E-01 -7.9246E-01 -1.6869E-01  6.4356E-01 -4.4487E-01  6.2715E-01 -8.2745E-01  9.7455E-02 -1.1471E+00 -9.9930E-02  6.0510E-01 -2.6134E-01 -6.1802E-01 -7.7163E-01 -5.7154E-01  4.0066E-01 -1.4467E-01 -3.8673E-01 -7.5875E-02  2.1675E-01  4.4109E-01 -5.2996E-01  1.9258E-01  1.0087E-01 -2.8578E-01 -3.1960E-01 -6.8682E-01  2.3881E-01 -1.5044E-01 -1.1394E+00  1.8385E-01 -2.1120E-01 -2.5395E-01 -7.2147E-01  4.6929E-01  2.3861E-04 -2.7486E-01  6.2446E-02 -7.8230E-01 -1.9443E-01  6.9623E-01 -1.3532E-01 -6.9187E-01 -4.1382E-01  5.3885E-01 -5.7122E-01 -5.3141E-01 -8.4822E-01 -7.7683E-01  4.4403E-01 -6.1946E-01 -2.7865E-01 -1.4573E-01 -4.3545E-01 -9.9735E-01 -7.7248E-01  6.5382E-01 -4.8967E-01  4.9032E-01 -4.1012E-01 -7.2952E-01 -9.4927E-02  4.9564E-01 -6.5318E-01 -1.7394E-01  6.5657E-01 -3.7590E-01 -5.6092E-01 -1.0342E+00 -6.9776E-01  4.9828E-01 -2.9788E-01 -5.2131E-01 -7.2021E-01 -1.0792E+00 -5.4941E-02 -1.0379E+00 -9.7782E-01 -4.2636E-01  1.0893E+00 -3.6875E-03 -8.5352E-01  8.8101E-01 -6.0563E-01 -5.6807E-01  1.4584E-01 -6.7142E-01  7.3119E-02  1.5535E-01 -4.3360E-01 -6.6895E-01
        0.54 -2.0746E-01 -2.3515E-01 -4.7956E-01 -1.1684E-01 -2.9574E-01 -5.1088E-01  6.0343E-01  1.4150E-01 -3.0214E-01 -1.5169E-01 -6.1951E-01  3.6465E-01 -6.8185E-01  6.4624E-01 -9.9696E-01  5.0701E-02 -6.5841E-01 -4.8971E-01  9.2663E-01  2.2322E-01 -8.3953E-02 -1.6616E-01 -4.6183E-01  1.6892E-02  3.4872E-01  3.7136E-01 -5.5250E-01  4.1203E-01  3.7501E-01 -4.4186E-01  5.7186E-02 -3.5699E-02 -6.9003E-01  1.1629E+00 -3.2549E-01 -1.3660E+00 -1.3848E-01 -3.1003E-01 -6.9879E-01  7.2321E-01 -3.2541E-01  1.4068E-01 -8.9447E-01 -3.1263E-01 -3.6302E-01 -1.0382E+00 -8.1221E-01 -4.0934E-01 -5.1826E-01  2.7511E-01 -5.9422E-01  2.1309E-01 -9.3583E-02 -1.6665E-01  3.3679E-01 -5.0854E-01 -4.7504E-01  3.2013E-01  3.8079E-01 -5.5207E-01 -8.1687E-01 -1.1196E-01  7.1142E-01 -4.7213E-01  6.7971E-01 -7.8742E-01  9.8767E-02 -1.1809E+00 -4.5335E-02  5.5703E-01 -2.7415E-01 -6.2110E-01 -8.2627E-01 -5.6211E-01  3.3900E-01 -3.2083E-02 -4.5700E-01  2.8186E-02  3.0409E-01  4.7689E-01 -5.7313E-01  1.8228E-01  3.1148E-02 -2.0771E-01 -2.9849E-01 -6.8928E-01  1.3383E-01 -2.2493E-01 -1.1898E+00  1.1756E-01 -2.5114E-01 -2.5425E-01 -6.5900E-01  4.9406E-01 -3.4843E-02 -2.2281E-01 -2.1496E-02 -7.6716E-01 -1.9674E-01  8.1439E-01 -2.3714E-01 -7.0800E-01 -5.3843E-01  5.3884E-01 -6.5560E-01 -4.4884E-01 -9.0073E-01 -7.5238E-01  5.2508E-01 -5.0442E-01 -2.5649E-01 -1.0235E-01 -4.5124E-01 -1.0482E+00 -7.5544E-01  6.4005E-01 -4.8852E-01  5.1439E-01 -3.0265E-01 -6.3036E-01 -6.1453E-02  4.1450E-01 -6.1790E-01 -1.5882E-01  7.1781E-01 -3.8077E-01 -4.7094E-01 -1.0834E+00 -7.5321E-01  5.6314E-01 -2.8890E-01 -5.9247E-01 -6.4261E-01 -1.1038E+00 -8.7034E-03 -1.1147E+00 -9.5649E-01 -3.7589E-01  1.1498E+00  4.9643E-02 -8.4881E-01  8.5626E-01 -5.0909E-01 -5.6250E-01  7.7037E-02 -7.2698E-01  3.4060E-02  4.7249E-02 -3.7249E-01 -7.3061E-01
        0.65 -2.1700E-01 -1.7360E-01 -5.5502E-01 -6.7727E-02 -1.6079E-01 -4.7984E-01  6.1803E-01  1.4101E-01 -2.3043E-01 -1.9515E-01 -6.2668E-01  2.8390E-01 -6.7156E-01  6.4509E-01 -1.0498E+00 -7.4362E-02 -5.8420E-01 -4.9981E-01  9.5983E-01  2.8224E-01 -5.0527E-02 -1.7337E-01 -5.8478E-01  7.0898E-02  4.2923E-01  3.5657E-01 -4.5496E-01  4.1385E-01  3.8532E-01 -4.7021E-01 -5.1991E-02 -6.9287E-02 -6.4605E-01  1.2157E+00 -3.1363E-01 -1.4271E+00 -1.9614E-01 -4.2742E-01 -6.9437E-01  7.4995E-01 -2.4078E-01  1.9863E-01 -8.8977E-01 -2.6409E-01 -3.7269E-01 -1.0731E+00 -7.8213E-01 -3.4107E-01 -4.4127E-01  2.1915E-01 -5.5119E-01  2.0661E-01 -2.6166E-01 -4.4828E-02  3.0274E-01 -5.4884E-01 -4.5833E-01  4.2171E-01  3.2798E-01 -4.2736E-01 -8.3892E-01 -5.6907E-02  7.7484E-01 -4.9972E-01  7.2165E-01 -7.3915E-01  9.6037E-02 -1.2049E+00  7.8809E-03  4.5636E-01 -2.6749E-01 -5.5190E-01 -8.7659E-01 -5.5239E-01  2.7260E-01  7.1003E-02 -5.2955E-01  1.2509E-01  3.9881E-01  4.8103E-01 -6.0836E-01  1.8047E-01 -5.0840E-02 -1.3633E-01 -2.6952E-01 -6.8862E-01  2.1985E-02 -2.9786E-01 -1.2325E+00  4.7086E-02 -2.5678E-01 -2.6187E-01 -5.9150E-01  5.1498E-01 -6.4620E-02 -1.8121E-01 -1.0248E-01 -7.4421E-01 -1.9479E-01  9.1670E-01 -3.4102E-01 -7.1593E-01 -6.5762E-01  5.3786E-01 -7.4080E-01 -3.6368E-01 -9.5318E-01 -7.2352E-01  5.9674E-01 -3.8224E-01 -2.4232E-01 -5.7109E-02 -4.6295E-01 -1.0865E+00 -7.2955E-01  6.2059E-01 -4.9138E-01  6.1279E-01 -2.2569E-01 -5.7707E-01 -2.6867E-02  3.2780E-01 -5.7880E-01 -1.4341E-01  7.7093E-01 -3.8898E-01 -3.7838E-01 -1.1241E+00 -8.0485E-01  4.8847E-01 -2.3939E-01 -7.1736E-01 -5.6030E-01 -1.1230E+00  3.5445E-02 -1.1785E+00 -9.1697E-01 -3.2847E-01  1.2041E+00  1.0110E-01 -8.4146E-01  8.1932E-01 -4.0606E-01 -5.5522E-01  2.4392E-03 -7.7805E-01 -1.7112E-02 -7.1189E-02 -3.0577E-01 -7.8096E-01
        0.76 -2.1794E-01 -1.2483E-01 -6.3608E-01 -2.6233E-02 -2.9714E-02 -4.5844E-01  6.2283E-01  1.3267E-01 -1.6309E-01 -2.3545E-01 -6.3400E-01  1.8773E-01 -6.5718E-01  6.4021E-01 -1.0938E+00 -1.9960E-01 -5.0132E-01 -5.0973E-01  9.8451E-01  3.3673E-01 -2.1692E-02 -1.7668E-01 -7.1415E-01  1.1442E-01  4.4750E-01  3.9135E-01 -3.2033E-01  4.0971E-01  3.6073E-01 -4.9038E-01 -1.6754E-01 -1.1484E-01 -5.9515E-01  1.2655E+00 -3.0128E-01 -1.4851E+00 -2.4687E-01 -5.3486E-01 -6.8314E-01  7.7047E-01 -1.5490E-01  2.4829E-01 -8.7876E-01 -2.1720E-01 -3.8238E-01 -1.1051E+00 -7.5276E-01 -2.7183E-01 -3.5923E-01  1.6039E-01 -5.0813E-01  1.9926E-01 -4.2412E-01  6.5167E-02  2.6584E-01 -5.7953E-01 -4.3976E-01  5.3697E-01  3.2266E-01 -3.2171E-01 -8.5888E-01 -3.2387E-03  8.3423E-01 -5.2874E-01  7.5364E-01 -6.8680E-01  8.8721E-02 -1.2197E+00  5.8468E-02  3.7024E-01 -2.3618E-01 -4.6583E-01 -9.2247E-01 -5.4256E-01  2.0131E-01  1.6878E-01 -6.0517E-01  2.1030E-01  4.9219E-01  4.6576E-01 -6.2507E-01  1.8247E-01 -1.3799E-01 -7.2221E-02 -2.2503E-01 -6.8561E-01 -9.7637E-02 -3.7028E-01 -1.2663E+00 -2.6249E-02 -2.4189E-01 -2.6383E-01 -5.2280E-01  5.3255E-01 -9.0996E-02 -1.4884E-01 -1.7846E-01 -7.1658E-01 -1.8450E-01  1.0072E+00 -4.4283E-01 -7.1686E-01 -7.6936E-01  5.3774E-01 -8.2147E-01 -2.7594E-01 -1.0036E+00 -6.9219E-01  6.5863E-01 -2.5257E-01 -2.3530E-01 -1.1969E-02 -4.7141E-01 -1.1128E+00 -6.9601E-01  5.9619E-01 -4.9991E-01  6.8925E-01 -1.7531E-01 -5.3728E-01  9.2348E-03  2.3449E-01 -5.3662E-01 -1.2799E-01  8.1667E-01 -3.9936E-01 -2.8366E-01 -1.1565E+00 -8.5138E-01  3.8471E-01 -1.8934E-01 -7.9487E-01 -4.7061E-01 -1.1378E+00  7.6498E-02 -1.2271E+00 -8.6176E-01 -2.8181E-01  1.2525E+00  1.5078E-01 -8.3164E-01  7.6782E-01 -2.9509E-01 -5.4484E-01 -8.1451E-02 -8.1984E-01 -8.0976E-02 -1.9821E-01 -2.4238E-01 -8.1541E-01
        0.87 -2.0459E-01 -8.4106E-02 -7.0113E-01  1.3626E-02  9.6943E-02 -4.4203E-01  6.1970E-01  1.1634E-01 -1.0235E-01 -2.6877E-01 -6.4687E-01  7.3812E-02 -6.4095E-01  6.3155E-01 -1.1298E+00 -3.2406E-01 -4.1539E-01 -5.2715E-01  1.0014E+00  3.8638E-01  3.1033E-03 -1.8009E-01 -8.4007E-01  1.4305E-01  4.7186E-01  4.0028E-01 -2.0578E-01  4.0730E-01  3.2693E-01 -5.0352E-01 -3.0115E-01 -1.7016E-01 -5.6145E-01  1.3128E+00 -2.8853E-01 -1.5404E+00 -2.9297E-01 -6.3510E-01 -6.6462E-01  7.8508E-01 -6.8173E-02  2.8932E-01 -8.6125E-01 -1.7217E-01 -3.9193E-01 -1.1350E+00 -7.2396E-01 -2.0236E-01 -2.7125E-01  9.5129E-02 -4.6592E-01  1.8881E-01 -5.8413E-01  1.6560E-01  2.2416E-01 -6.0186E-01 -4.1875E-01  6.4236E-01  3.0998E-01 -2.2324E-01 -8.7696E-01  4.9206E-02  8.8995E-01 -5.5788E-01  7.7752E-01 -6.3179E-01  7.6953E-02 -1.2262E+00  1.0545E-01  2.8398E-01 -2.0359E-01 -3.7550E-01 -9.6393E-01 -5.3292E-01  1.2477E-01  2.6139E-01 -6.7800E-01  2.8442E-01  5.7780E-01  4.3584E-01 -6.2757E-01  1.8719E-01 -2.2802E-01 -1.6452E-02 -2.3476E-01 -7.4308E-01 -2.5948E-01 -4.4207E-01 -1.2895E+00 -9.9472E-02 -2.1877E-01 -2.5941E-01 -4.6220E-01  5.4947E-01 -1.1481E-01 -1.2634E-01 -2.2930E-01 -6.7889E-01 -1.5679E-01  1.0896E+00 -5.4078E-01 -7.1366E-01 -8.7457E-01  5.3649E-01 -8.9718E-01 -1.8653E-01 -1.0486E+00 -6.5853E-01  7.0820E-01 -1.1427E-01 -2.3290E-01  3.1955E-02 -4.7737E-01 -1.1291E+00 -6.5636E-01  5.6888E-01 -5.1345E-01  7.5606E-01 -1.3230E-01 -4.9126E-01  4.6040E-02  1.3300E-01 -4.9160E-01 -1.1293E-01  8.5561E-01 -4.1121E-01 -1.8773E-01 -1.1814E+00 -8.9218E-01  2.7787E-01 -1.3981E-01 -8.5942E-01 -3.7335E-01 -1.1505E+00  1.0959E-01 -1.2569E+00 -7.9205E-01 -2.3355E-01  1.2957E+00  1.9874E-01 -8.1946E-01  7.0044E-01 -1.5930E-01 -5.2373E-01 -1.7760E-01 -8.4322E-01 -1.5528E-01 -3.2334E-01 -1.8001E-01 -8.3379E-01
        0.98 -1.9267E-01 -5.0749E-02 -7.5506E-01  6.4517E-02  2.1639E-01 -4.4176E-01  6.1199E-01  9.2213E-02 -5.1085E-02 -2.9462E-01 -6.6471E-01 -6.0709E-02 -6.2408E-01  6.1938E-01 -1.1591E+00 -4.4146E-01 -3.2823E-01 -5.4543E-01  1.0108E+00  4.3085E-01  2.4123E-02 -1.8494E-01 -9.5948E-01  1.5676E-01  4.9991E-01  3.9428E-01 -9.7303E-02  4.0444E-01  2.8540E-01 -5.1249E-01 -4.2610E-01 -2.2660E-01 -5.3304E-01  1.3578E+00 -2.7545E-01 -1.5932E+00 -3.3547E-01 -7.3017E-01 -6.3845E-01  7.9410E-01  1.8925E-02  3.2136E-01 -8.3713E-01 -1.2942E-01 -4.0127E-01 -1.1640E+00 -6.9528E-01 -1.3364E-01 -1.7770E-01  2.1739E-02 -4.2602E-01  1.7523E-01 -7.4189E-01  2.5857E-01  1.7642E-01 -6.1733E-01 -3.9492E-01  7.4061E-01  2.8186E-01 -1.2416E-01 -8.9334E-01  1.0051E-01  9.4228E-01 -5.8600E-01  7.9321E-01 -5.7459E-01  6.0905E-02 -1.2252E+00  1.4850E-01  1.9666E-01 -1.7025E-01 -2.8213E-01 -1.0014E+00 -5.2428E-01  4.2286E-02  3.4837E-01 -7.4597E-01  3.4850E-01  6.5475E-01  3.9530E-01 -6.2093E-01  1.9306E-01 -3.1877E-01  3.0029E-02 -3.0975E-01 -8.2261E-01 -3.8204E-01 -5.1061E-01 -1.3030E+00 -1.7205E-01 -1.9466E-01 -2.5262E-01 -4.0711E-01  5.6785E-01 -1.3128E-01 -1.1347E-01 -2.5605E-01 -6.4690E-01 -1.3576E-01  1.1662E+00 -6.3539E-01 -7.0807E-01 -9.7442E-01  5.3319E-01 -9.6913E-01 -9.7470E-02 -1.0858E+00 -6.2168E-01  7.4282E-01  2.9611E-02 -2.3138E-01  7.4394E-02 -4.8125E-01 -1.1367E+00 -6.1147E-01  5.4096E-01 -5.3030E-01  8.0169E-01 -9.6506E-02 -4.4445E-01  7.8465E-02  2.4520E-02 -4.3830E-01 -9.8466E-02  8.8820E-01 -4.2403E-01 -9.1660E-02 -1.1995E+00 -9.2725E-01  1.6759E-01 -9.1008E-02 -9.1451E-01 -2.7340E-01 -1.1576E+00  1.3377E-01 -1.2599E+00 -7.0895E-01 -1.7908E-01  1.3338E+00  2.4506E-01 -8.0502E-01  6.5433E-01  4.1609E-03 -4.7310E-01 -2.8083E-01 -8.4277E-01 -2.3408E-01 -4.4154E-01 -1.1719E-01 -8.3832E-01
        1.09 -1.8142E-01 -2.1347E-02 -8.0081E-01  1.2014E-01  3.2070E-01 -4.4420E-01  6.0338E-01  6.1761E-02 -1.1566E-02 -2.6597E-01 -6.3648E-01 -2.2294E-01 -6.0672E-01  6.0400E-01 -1.1831E+00 -5.4663E-01 -2.2737E-01 -5.4492E-01  1.0131E+00  4.6951E-01  4.1428E-02 -1.9140E-01 -1.0771E+00  1.6041E-01  5.3026E-01  3.7503E-01  6.1503E-03  4.0074E-01  2.3624E-01 -5.1677E-01 -5.4565E-01 -2.8919E-01 -5.0886E-01  1.4006E+00 -2.6210E-01 -1.6437E+00 -3.7457E-01 -8.2171E-01 -6.0268E-01  7.9783E-01  1.0574E-01  3.4403E-01 -8.0622E-01 -8.9567E-02 -4.1055E-01 -1.1963E+00 -6.6228E-01 -7.0113E-02 -7.8664E-02 -5.9226E-02 -3.8752E-01  1.5937E-01 -8.9624E-01  3.4471E-01  1.2208E-01 -6.2711E-01 -3.6818E-01  8.2951E-01  2.3851E-01 -2.7603E-02 -9.0815E-01  1.5073E-01  9.9145E-01 -6.1179E-01  8.0065E-01 -5.1640E-01  4.0102E-02 -1.2167E+00  1.8755E-01  1.0795E-01 -1.3700E-01 -1.8936E-01 -1.0371E+00 -5.1890E-01 -4.6977E-02  4.2941E-01 -8.1029E-01  4.0490E-01  7.2413E-01  3.4613E-01 -6.0718E-01  1.9787E-01 -4.0804E-01  6.6988E-02 -3.7829E-01 -8.9364E-01 -4.8678E-01 -5.7550E-01 -1.3081E+00 -2.4494E-01 -1.6851E-01 -2.4486E-01 -3.5322E-01  5.8468E-01 -1.3599E-01 -1.0565E-01 -2.9514E-01 -6.3497E-01 -1.1909E-01  1.2382E+00 -7.2725E-01 -7.0081E-01 -1.0699E+00  5.2767E-01 -1.0380E+00 -1.1308E-02 -1.1143E+00 -5.8126E-01  7.6374E-01  1.7264E-01 -2.2764E-01  1.1517E-01 -4.8325E-01 -1.1369E+00 -5.6283E-01  5.1325E-01 -5.4826E-01  8.3292E-01 -5.4557E-02 -3.9080E-01  1.0838E-01 -8.8132E-02 -3.7957E-01 -8.4689E-02  9.1480E-01 -4.3739E-01  3.5331E-03 -1.2117E+00 -9.5691E-01  5.4012E-02 -4.3544E-02 -9.6088E-01 -1.7140E-01 -1.1544E+00  1.5172E-01 -1.2148E+00 -6.2362E-01 -1.0116E-01  1.3674E+00  2.8981E-01 -7.8846E-01  6.1389E-01  1.6351E-01 -4.0921E-01 -3.8292E-01 -8.2587E-01 -3.1480E-01 -5.5295E-01 -5.5753E-02 -8.3340E-01
