        Time         x1          y1          z1          x2          y2          z2          x3          y3          z3          x4          y4          z4          x5          y5          z5 
        0.01  6.6708E-11  1.3770E-11  3.8314E-12  9.8146E-01  5.8062E-01  2.1445E-01  1.5103E+00 -4.3205E-01 -3.1175E-01  1.9880E+00  1.0578E+00  4.1094E-01  2.5095E+00 -1.1476E+00 -5.0998E-01
        0.02  2.6354E-10  5.8385E-11  1.5059E-11  9.5651E-01  6.5746E-01  2.2750E-01  1.5168E+00 -3.6302E-01 -3.2272E-01  1.9744E+00  1.1148E+00  4.2152E-01  2.5179E+00 -1.0947E+00 -5.1973E-01
        0.03  5.8586E-10  1.3849E-10  3.3235E-11  9.2566E-01  7.3024E-01  2.3915E-01  1.5195E+00 -2.9308E-01 -3.3288E-01  1.9591E+00  1.1708E+00  4.3176E-01  2.5251E+00 -1.0413E+00 -5.2924E-01
        0.04  1.0294E-09  2.5843E-10  5.7866E-11  8.8939E-01  7.9875E-01  2.4940E-01  1.5183E+00 -2.2238E-01 -3.4218E-01  1.9422E+00  1.2258E+00  4.4164E-01  2.5311E+00 -9.8735E-01 -5.3850E-01
        0.05  1.5904E-09  4.2229E-10  8.8419E-11  8.4813E-01  8.6278E-01  2.5826E-01  1.5131E+00 -1.5110E-01 -3.5058E-01  1.9237E+00  1.2799E+00  4.5117E-01  2.5359E+00 -9.3295E-01 -5.4749E-01
        0.06  2.2650E-09  6.3404E-10  1.2434E-10  8.0230E-01  9.2217E-01  2.6572E-01  1.5038E+00 -7.9418E-02 -3.5804E-01  1.9038E+00  1.3330E+00  4.6035E-01  2.5394E+00 -8.7810E-01 -5.5622E-01
        0.07  3.0500E-09  8.9756E-10  1.6504E-10  7.5228E-01  9.7675E-01  2.7179E-01  1.4904E+00 -7.5170E-03 -3.6452E-01  1.8823E+00  1.3851E+00  4.6918E-01  2.5417E+00 -8.2282E-01 -5.6468E-01
        0.08  3.9421E-09  1.2167E-09  2.0993E-10  6.9845E-01  1.0264E+00  2.7649E-01  1.4728E+00  6.4405E-02 -3.6996E-01  1.8595E+00  1.4361E+00  4.7765E-01  2.5427E+00 -7.6712E-01 -5.7285E-01
        0.09  4.9384E-09  1.5953E-09  2.5840E-10  6.4116E-01  1.0709E+00  2.7982E-01  1.4509E+00  1.3614E-01 -3.7433E-01  1.8353E+00  1.4860E+00  4.8577E-01  2.5424E+00 -7.1104E-01 -5.8073E-01
        0.10  6.0358E-09  2.0374E-09  3.0983E-10  5.8074E-01  1.1103E+00  2.8178E-01  1.4247E+00  2.0746E-01 -3.7759E-01  1.8098E+00  1.5349E+00  4.9354E-01  2.5409E+00 -6.5459E-01 -5.8832E-01
