        Time         x1          y1          z1          x2          y2          z2          x3          y3          z3 
        0.10  1.3404E-02  1.0523E-01  0.0000E+00  1.4126E+00 -2.0943E-02  0.0000E+00 -1.4260E+00 -8.4291E-02  0.0000E+00
        0.20  1.3900E-02  2.0940E-01  0.0000E+00  1.4031E+00 -4.1460E-02  0.0000E+00 -1.4170E+00 -1.6794E-01  0.0000E+00
        0.30  1.4925E-02  3.1153E-01  0.0000E+00  1.3875E+00 -6.1145E-02  0.0000E+00 -1.4024E+00 -2.5038E-01  0.0000E+00
        0.40  1.6723E-02  4.1079E-01  0.0000E+00  1.3658E+00 -7.9625E-02  0.0000E+00 -1.3826E+00 -3.3116E-01  0.0000E+00
        0.50  1.9557E-02  5.0653E-01  0.0000E+00  1.3383E+00 -9.6570E-02  0.0000E+00 -1.3579E+00 -4.0996E-01  0.0000E+00
        0.60  2.3671E-02  5.9829E-01  0.0000E+00  1.3051E+00 -1.1170E-01  0.0000E+00 -1.3288E+00 -4.8659E-01  0.0000E+00
        0.70  2.9262E-02  6.8572E-01  0.0000E+00  1.2664E+00 -1.2477E-01  0.0000E+00 -1.2957E+00 -5.6095E-01  0.0000E+00
        0.80  3.6471E-02  7.6858E-01  0.0000E+00  1.2224E+00 -1.3559E-01  0.0000E+00 -1.2589E+00 -6.3299E-01  0.0000E+00
        0.90  4.5388E-02  8.4669E-01  0.0000E+00  1.1734E+00 -1.4399E-01  0.0000E+00 -1.2187E+00 -7.0270E-01  0.0000E+00
        1.00  5.6055E-02  9.1995E-01  0.0000E+00  1.1193E+00 -1.4984E-01  0.0000E+00 -1.1754E+00 -7.7010E-01  0.0000E+00
        1.10  6.8471E-02  9.8824E-01  0.0000E+00  1.0605E+00 -1.5304E-01  0.0000E+00 -1.1290E+00 -8.3519E-01  0.0000E+00
        1.20  8.2599E-02  1.0515E+00  0.0000E+00  9.9698E-01 -1.5351E-01  0.0000E+00 -1.0796E+00 -8.9796E-01  0.0000E+00
        1.30  9.8373E-02  1.1095E+00  0.0000E+00  9.2888E-01 -1.5119E-01  0.0000E+00 -1.0273E+00 -9.5836E-01  0.0000E+00
        1.40  1.1570E-01  1.1624E+00  0.0000E+00  8.5630E-01 -1.4606E-01  0.0000E+00 -9.7200E-01 -1.0163E+00  0.0000E+00
        1.50  1.3444E-01  1.2099E+00  0.0000E+00  7.7935E-01 -1.3813E-01  0.0000E+00 -9.1379E-01 -1.0717E+00  0.0000E+00
        1.60  1.5446E-01  1.2518E+00  0.0000E+00  6.9812E-01 -1.2746E-01  0.0000E+00 -8.5257E-01 -1.1244E+00  0.0000E+00
        1.70  1.7555E-01  1.2882E+00  0.0000E+00  6.1275E-01 -1.1416E-01  0.0000E+00 -7.8830E-01 -1.1741E+00  0.0000E+00
        1.80  1.9750E-01  1.3188E+00  0.0000E+00  5.2342E-01 -9.8387E-02  0.0000E+00 -7.2092E-01 -1.2205E+00  0.0000E+00
        1.90  2.2004E-01  1.3436E+00  0.0000E+00  4.3040E-01 -8.0401E-02  0.0000E+00 -6.5044E-01 -1.2632E+00  0.0000E+00
        2.00  2.4286E-01  1.3623E+00  0.0000E+00  3.3406E-01 -6.0521E-02  0.0000E+00 -5.7691E-01 -1.3017E+00  0.0000E+00
        2.10  2.6561E-01  1.3748E+00  0.0000E+00  2.3492E-01 -3.9136E-02  0.0000E+00 -5.0053E-01 -1.3357E+00  0.0000E+00
        2.20  2.8791E-01  1.3812E+00  0.0000E+00  1.3369E-01 -1.6666E-02  0.0000E+00 -4.2159E-01 -1.3645E+00  0.0000E+00
        2.30  3.0934E-01  1.3813E+00  0.0000E+00  3.1223E-02  6.4858E-03  0.0000E+00 -3.4056E-01 -1.3878E+00  0.0000E+00
        2.40  3.2948E-01  1.3752E+00  0.0000E+00 -7.1464E-02  2.9989E-02  0.0000E+00 -2.5802E-01 -1.4052E+00  0.0000E+00
        2.50  3.4793E-01  1.3631E+00  0.0000E+00 -1.7332E-01  5.3632E-02  0.0000E+00 -1.7460E-01 -1.4167E+00  0.0000E+00
        2.60  3.6428E-01  1.3451E+00  0.0000E+00 -2.7333E-01  7.7338E-02  0.0000E+00 -9.0948E-02 -1.4224E+00  0.0000E+00
        2.70  3.7819E-01  1.3214E+00  0.0000E+00 -3.7059E-01  1.0114E-01  0.0000E+00 -7.6027E-03 -1.4225E+00  0.0000E+00
        2.80  3.8938E-01  1.2922E+00  0.0000E+00 -4.6437E-01  1.2513E-01  0.0000E+00  7.4989E-02 -1.4173E+00  0.0000E+00
        2.90  3.9760E-01  1.2578E+00  0.0000E+00 -5.5411E-01  1.4945E-01  0.0000E+00  1.5651E-01 -1.4073E+00  0.0000E+00
        3.00  4.0264E-01  1.2185E+00  0.0000E+00 -6.3938E-01  1.7421E-01  0.0000E+00  2.3674E-01 -1.3928E+00  0.0000E+00
        3.10  4.0434E-01  1.1745E+00  0.0000E+00 -7.1990E-01  1.9951E-01  0.0000E+00  3.1556E-01 -1.3740E+00  0.0000E+00
        3.20  4.0258E-01  1.1260E+00  0.0000E+00 -7.9547E-01  2.2542E-01  0.0000E+00  3.9288E-01 -1.3514E+00  0.0000E+00
        3.30  3.9726E-01  1.0732E+00  0.0000E+00 -8.6593E-01  2.5195E-01  0.0000E+00  4.6867E-01 -1.3251E+00  0.0000E+00
        3.40  3.8830E-01  1.0162E+00  0.0000E+00 -9.3119E-01  2.7909E-01  0.0000E+00  5.4289E-01 -1.2953E+00  0.0000E+00
        3.50  3.7564E-01  9.5528E-01  0.0000E+00 -9.9116E-01  3.0679E-01  0.0000E+00  6.1552E-01 -1.2621E+00  0.0000E+00
        3.60  3.5926E-01  8.9045E-01  0.0000E+00 -1.0458E+00  3.3498E-01  0.0000E+00  6.8651E-01 -1.2254E+00  0.0000E+00
        3.70  3.3913E-01  8.2185E-01  0.0000E+00 -1.0949E+00  3.6354E-01  0.0000E+00  7.5580E-01 -1.1854E+00  0.0000E+00
        3.80  3.1529E-01  7.4958E-01  0.0000E+00 -1.1386E+00  3.9235E-01  0.0000E+00  8.2328E-01 -1.1419E+00  0.0000E+00
        3.90  2.8780E-01  6.7373E-01  0.0000E+00 -1.1766E+00  4.2122E-01  0.0000E+00  8.8882E-01 -1.0950E+00  0.0000E+00
        4.00  2.5678E-01  5.9440E-01  0.0000E+00 -1.2090E+00  4.4995E-01  0.0000E+00  9.5219E-01 -1.0444E+00  0.0000E+00
        4.10  2.2240E-01  5.1172E-01  0.0000E+00 -1.2355E+00  4.7831E-01  0.0000E+00  1.0131E+00 -9.9003E-01  0.0000E+00
        4.20  1.8495E-01  4.2586E-01  0.0000E+00 -1.2563E+00  5.0602E-01  0.0000E+00  1.0713E+00 -9.3189E-01  0.0000E+00
        4.30  1.4480E-01  3.3710E-01  0.0000E+00 -1.2710E+00  5.3276E-01  0.0000E+00  1.1262E+00 -8.6986E-01  0.0000E+00
        4.40  1.0241E-01  2.4581E-01  0.0000E+00 -1.2799E+00  5.5817E-01  0.0000E+00  1.1774E+00 -8.0398E-01  0.0000E+00
        4.50  5.8338E-02  1.5254E-01  0.0000E+00 -1.2827E+00  5.8186E-01  0.0000E+00  1.2244E+00 -7.3440E-01  0.0000E+00
        4.60  1.3167E-02  5.8002E-02  0.0000E+00 -1.2797E+00  6.0344E-01  0.0000E+00  1.2665E+00 -6.6144E-01  0.0000E+00
        4.70 -3.2538E-02 -3.6938E-02  0.0000E+00 -1.2709E+00  6.2249E-01  0.0000E+00  1.3034E+00 -5.8556E-01  0.0000E+00
        4.80 -7.8303E-02 -1.3131E-01  0.0000E+00 -1.2564E+00  6.3864E-01  0.0000E+00  1.3347E+00 -5.0733E-01  0.0000E+00
        4.90 -1.2379E-01 -2.2413E-01  0.0000E+00 -1.2366E+00  6.5152E-01  0.0000E+00  1.3604E+00 -4.2739E-01  0.0000E+00
        5.00 -1.6878E-01 -3.1448E-01  0.0000E+00 -1.2118E+00  6.6084E-01  0.0000E+00  1.3806E+00 -3.4636E-01  0.0000E+00
        5.10 -2.1321E-01 -4.0158E-01  0.0000E+00 -1.1821E+00  6.6634E-01  0.0000E+00  1.3953E+00 -2.6476E-01  0.0000E+00
        5.20 -2.5704E-01 -4.8481E-01  0.0000E+00 -1.1480E+00  6.6784E-01  0.0000E+00  1.4050E+00 -1.8303E-01  0.0000E+00
        5.30 -3.0031E-01 -5.6369E-01  0.0000E+00 -1.1096E+00  6.6517E-01  0.0000E+00  1.4099E+00 -1.0148E-01  0.0000E+00
